"Department","Course Code","Title","Credits","Description"
"General Studies (GEN ST)","GEN ST 263","Advanced Discovery Seminar","3/5, max. 10","GEN ST 263 Advanced Discovery Seminar (3/5, max. 10)Small intensive faculty-led seminar for transfer students with a focus on inquiry, writing, and research. Credit/no-credit only. Offered: A."
"General Studies (GEN ST)","GEN ST 264","Undergraduate Research Seminar","1-5, max. 10","GEN ST 264 Undergraduate Research Seminar (1-5, max. 10)Introduces transfer students to undergraduate research. Covers a wide spectrum of academic disciplines and interests. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 270","Peer Educator Practicum","1-3, max. 12","GEN ST 270 Peer Educator Practicum (1-3, max. 12)Instruction and practice in facilitation and teaching with a focus on delivering resources and strategies to peers and building community. For Peer Educators in the First-year Interest Group (FIG) program. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 297","Undergraduate Seminar","1-3, max. 3","GEN ST 297 Undergraduate Seminar (1-3, max. 3)Small-group discussion with faculty representing a wide spectrum of academic disciplines. Topics include faculty's research techniques or findings, concentrated reading in his/her area of interest, or illustrated problems and alternative related to the study of a particular academic discipline. Class structure varies based on instructor. Credit/no-credit only. Offered: AWSp."
"General Studies (GEN ST)","GEN ST 298","Special Topics","1-5, max. 10","GEN ST 298 Special Topics (1-5, max. 10)Varied topics related to academic engagement taught at the introductory level. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 299","Undergraduate Research: Ways of Knowing","1-5, max. 10","GEN ST 299 Undergraduate Research: Ways of Knowing (1-5, max. 10)Covers various ways of acquiring knowledge through research. Helps students understand basic research methodology from a variety of academic disciplines. Includes development of a research proposal. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 300","Colloquium on Education, Learning, and Society","1, max. 3","GEN ST 300 Colloquium on Education, Learning, and Society (1, max. 3) SScCreates a learning community among Education minor students and their instructors. Students learn from researchers and practicing educators about current pedagogical projects and theories. Fosters self-reflexive projects to build understanding of learning pathways."
"General Studies (GEN ST)","GEN ST 301","Learning Leadership in Theory and Practice","2-4","GEN ST 301 Learning Leadership in Theory and Practice (2-4)Explores leadership techniques and principle using readings, case, lectures, and large group discussions designed to increase knowledge of leadership theory and practice as well as develop leadership potential. Uses small group sessions incorporating experiential exercises, self-reflection, and leadership conversations. Credit/no-credit only. Offered: jointly with B A 391."
"General Studies (GEN ST)","GEN ST 305","Career and Life Strategies","1-3, max. 3","GEN ST 305 Career and Life Strategies (1-3, max. 3)Builds upon academic and experiential learning experiences. Students develop a long-term plan for academic study, professional goals, and community involvement. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 310","Career Mentorship","1-3, max. 3","GEN ST 310 Career Mentorship (1-3, max. 3)Explores internship and career options through mentorship with a working professional. Includes developing professional skills and understanding different employment sectors. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 340","Community Fieldwork: Law","1-5, max. 5","GEN ST 340 Community Fieldwork: Law (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 341","Community Fieldwork: Law","1-5, max. 5","GEN ST 341 Community Fieldwork: Law (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 342","Community Fieldwork: Health","1-5, max. 5","GEN ST 342 Community Fieldwork: Health (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 343","Community Fieldwork: Health","1-5, max. 5","GEN ST 343 Community Fieldwork: Health (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 344","Community Fieldwork: Social Services","1-5, max. 5","GEN ST 344 Community Fieldwork: Social Services (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 345","Community Engagement Practicum","1-5, max. 10","GEN ST 345 Community Engagement Practicum (1-5, max. 10)Utilizes disciplinary lenses to understand community issues and assets within the context of systems, funding, and organizational structure. Required community engagement component. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 346","Community Engagement: Education","1-5, max. 10","GEN ST 346 Community Engagement: Education (1-5, max. 10)Utilizes disciplinary lenses to understand educational systems and practices including school structure and funding, barriers to equitable education, and strategies for students success. Required community engagement component. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 347","Community Fieldwork: Education","1-5, max. 5","GEN ST 347 Community Fieldwork: Education (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 348","Community Fieldwork: Special Topics","1-5, max. 5","GEN ST 348 Community Fieldwork: Special Topics (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 349","Community Fieldwork: Special Topics","1-5, max. 5","GEN ST 349 Community Fieldwork: Special Topics (1-5, max. 5)Credit/no-credit only."
"General Studies (GEN ST)","GEN ST 350","Internship Practice and Reflection","1-6, max. 18","GEN ST 350 Internship Practice and Reflection (1-6, max. 18)Connects an internship experience at an organization, company, or agency with structured reflection on knowledge acquisition and application, organizational culture, personal values, and professional future. Course equivalent to: BISSKL 350. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 360","Study Abroad: Arts & Humanities","1-5, max. 15","GEN ST 360 Study Abroad: Arts & Humanities (1-5, max. 15) A&HStudy of ideas or concepts in the arts or humanities. For participants in a UW Study Abroad program. Specific content varies and must be individually evaluated. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 361","Study Abroad: Social Sciences","1-5, max. 15","GEN ST 361 Study Abroad: Social Sciences (1-5, max. 15) SScStudy of ideas or concepts in the social sciences. For participants in a UW Study Abroad program. Specific content varies and must be individually evaluated. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 362","Study Abroad: Natural Sciences","1-5, max. 15","GEN ST 362 Study Abroad: Natural Sciences (1-5, max. 15) NScStudy of ideas or concepts in the natural sciences. For participants in a UW Study Abroad program. Specific content varies and must be individually evaluated. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 363","Study Abroad","1-5, max. 15","GEN ST 363 Study Abroad (1-5, max. 15)For participants in a UW Study Abroad program. Specific content varies and must be individually evaluated. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 370","Peer Facilitator Practicum","1-3, max. 3","GEN ST 370 Peer Facilitator Practicum (1-3, max. 3)Instruction and practice in facilitation, resource sharing, teaching, and mentoring with a focus on peer relationships and community. For students selected to serve as UW Orientation Leaders. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 375","Tutoring and Coaching in Higher Education","1-3, max. 10","GEN ST 375 Tutoring and Coaching in Higher Education (1-3, max. 10)Focuses on best practices in peer tutoring and coaching, including active learning and equitable education. For students selected to work as academic tutors and success coaches. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 391","Independent Study","1-5, max. 15","GEN ST 391 Independent Study (1-5, max. 15)Supervised study with a faculty member in their area of expertise. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 399","Undergraduate Research: Practice & Presentation","1-5, max. 12","GEN ST 399 Undergraduate Research: Practice & Presentation (1-5, max. 12)Students prepare research findings and implications to be shared in written, visual, and/or oral formats. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 410","Graduate School Introduction","1-3, max. 3","GEN ST 410 Graduate School Introduction (1-3, max. 3)Overview of graduate and professional school structure and opportunities. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 411","Graduate School Exploration","1-3, max. 3","GEN ST 411 Graduate School Exploration (1-3, max. 3)Explores graduate and professional school opportunities. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 412","Graduate School Application","1-3, max. 3","GEN ST 412 Graduate School Application (1-3, max. 3)Preparation for application to graduate and/or professional school. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 440","Community Engagement Facilitation","1-5, max. 10","GEN ST 440 Community Engagement Facilitation (1-5, max. 10)Advanced practice in the peer facilitation of community engagement, including providing context for community issues and providing feedback on experience reflection. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 470","Advanced Peer Educator Practicum","1-3, max. 12","GEN ST 470 Advanced Peer Educator Practicum (1-3, max. 12)Advanced practice in facilitation and teaching including a focus on peer observation and feedback. Includes reflection on leadership philosophy and skill development. For experienced Peer Educators in the First-year Interest Group (FIG) program. Course equivalent to: B CUSP 203. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 498","Advanced Special Topics","1-5, max. 10","GEN ST 498 Advanced Special Topics (1-5, max. 10)Varied topics related to academic engagement taught at the advanced level. Credit/no-credit only. Offered: AWSpS."
"General Studies (GEN ST)","GEN ST 499","Undergraduate Research","1-6, max. 12","GEN ST 499 Undergraduate Research (1-6, max. 12)Develops research ideas, practices, and their implication for applications in particular contexts. Mentoring and guidance from UW or visiting faculty may be individual, in a class setting, or within investigative teams. Credit/no-credit only. Offered: AWSpS."
"Individualized Studies (INDIV)","INDIV 493","Senior Study","5","INDIV 493 Senior Study (5)For Individualized Studies majors only. Faculty supervisor required. Offered: AWSpS."
"Geography (GEOG)","GEOG 123","Introduction to Globalization","5","GEOG 123 Introduction to Globalization (5) SSc, DIVProvides an introduction to the debates over globalization. Focuses on the growth and intensification of global ties. Addresses the resulting inequalities and tensions, as well as the new opportunities for cultural and political exchange. Topics include the impacts on government, finance, labor, culture, the environment, health, and activism. Course equivalent to: BIS 282. Course overlaps with: TPOL S 123."
"Geography (GEOG)","GEOG 180","Introduction to Global Health: Disparities, Determinants, Policies, and Outcomes","5","GEOG 180 Introduction to Global Health: Disparities, Determinants, Policies, and Outcomes (5) SScProvides an introduction to global health, including: the burden and distribution of disease and mortality; the determinants of global health disparities; the making of global health policies; and the outcomes of global health interventions. Course equivalent to: T HLTH 285. Course overlaps with: B HLTH 201. Offered: jointly with G H 101/JSIS B 180; AWSp."
"Geography (GEOG)","GEOG 195","Special Topics in Geography","1-5, max. 10","GEOG 195 Special Topics in Geography (1-5, max. 10) SSc"
"Geography (GEOG)","GEOG 200","Introduction to Human Geography","5","GEOG 200 Introduction to Human Geography (5) SScPatterns and systems of human occupancy of the world. Emphasis on economic and cultural processes, dynamic change, functional relations, networks, and nature-social relations."
"Geography (GEOG)","GEOG 203","Introduction to Migration","5","GEOG 203 Introduction to Migration (5) SSc, DIVIntroduces contemporary issues in international migration. Covers the relationship between contemporary human mobility and changes in the global economy; gendered migration; transnationalism; refugee and asylum issues; and immigrant integration. Offered: A."
"Geography (GEOG)","GEOG 205","Our Global Environment: Physical and Human Dimensions","5","GEOG 205 Our Global Environment: Physical and Human Dimensions (5) NScExplores environmental systems using a geographic perspective that emphasizes spatial patterns of phenomena, relationships between different places, and interconnections between people and environment. Evaluates causes, consequences, and solutions to environmental problems. Topics include climate, atmosphere, water, ecosystems, and soils."
"Geography (GEOG)","GEOG 207","Economic Geography","5","GEOG 207 Economic Geography (5) SScThe changing locations and spatial patterns of economic activity, including: production in agriculture, manufacturing, and services; spatial economic principles of trade, transportation, communications, and corporate organization; regional economic development, and the diffusion of technological innovation. Offered: A."
"Geography (GEOG)","GEOG 208","Geography of the World Economy: Regional Fortunes and the Rise of Global Markets","5","GEOG 208 Geography of the World Economy: Regional Fortunes and the Rise of Global Markets (5) SScExamines the relationship between the globalization of economic activity and regional development. Topics include international trade, colonialism, industrial capitalism, advanced capitalism, and the globalization of labor markets."
"Geography (GEOG)","GEOG 230","Geographies of Global Inequality","5","GEOG 230 Geographies of Global Inequality (5) SSc, DIVAddresses increasing global inequalities by focusing on shifting spatial division of labor and the role of the international development industry in shaping economic and social inequality. Examines relationships between economic globalization, development industry, and rising global inequality: reviews the history and record of the international development project, and asks what it means to say that Western, advanced economies are not the norm."
"Geography (GEOG)","GEOG 236","Development and Challenge in Greater China","5","GEOG 236 Development and Challenge in Greater China (5) SScStudies the geography of development processes, patterns, and problems in ""Greater China"": mainland China, Taiwan, and Hong Kong. Covers physical geography, history, and economic and political systems, with major focus on geographical issues in China's development: agriculture, population, industry and trade, and relations with Hong Kong and Taiwan. Offered: jointly with JSIS A 236."
"Geography (GEOG)","GEOG 245","Introduction to Population Science","5","GEOG 245 Introduction to Population Science (5) SSc, DIV, RSNIntroduces the scope and methods of population science as a spatial science. Explores the characteristics and dynamics of populations across the United States. Topics include immigration policy, fertility and mortality differences, health and well-being, political redistricting, segregation, and internal migration of populations. Examines regional and local scales of variation using data science techniques and geographic information systems."
"Geography (GEOG)","GEOG 258","Digital Geographies","5","GEOG 258 Digital Geographies (5) SScExplores the use and societal impacts of contemporary digital spatial technologies. Focuses on internet mapping, handheld geographic technologies, location-based services, spatial applications of social media, the geoweb, and traditional GIS. Develops hands-on experience using online digital spatial tools for geovisual representation, and skills for evaluation/critique of digital data and maps."
"Geography (GEOG)","GEOG 262","Geographies of Everyday Life","5","GEOG 262 Geographies of Everyday Life (5) SScExplores the spaces, places, and social relations of people's everyday life. Emphasizes how geographical relations shape where people live, work, and play, as well as the streets they move along and the buildings marking their daily paths and routines. Provides frameworks to trace connections between the local and broader processes, practices, and relations of power, such as government policy and economic globalization."
"Geography (GEOG)","GEOG 270","Geographies of International Development and Environmental Change","5","GEOG 270 Geographies of International Development and Environmental Change (5) SScExplores how concepts, theories, and ideologies of international development and environmental issues interrelate. Approaches development and environment through several interconnected topics: population, consumption, carbon, land, and water. Examines how these issues connect people and places around the world."
"Geography (GEOG)","GEOG 271","Geography of Food and Eating","5","GEOG 271 Geography of Food and Eating (5) SSc, DIVExamines development of world food economy, current responses to instabilities and crises, and issues relating to obesity, hunger, and inequality in relation to food systems. Explores political, social, and economic dimensions of food and eating in particular spaces, places, environments, contexts, and regions. Uses the theme of food and eating to examine key concepts from human geography and thereby provides an introduction to the discipline."
"Geography (GEOG)","GEOG 272","Geographies of Environmental Justice","5","GEOG 272 Geographies of Environmental Justice (5) SSc, DIVDraws on political ecology and cultural geography frameworks to think through social constructions of nature: where we live, where we play, and where we work. Looks at the role of markers of difference (gender, race, nationality) in debates around equity and justice. Offered: Sp."
"Geography (GEOG)","GEOG 276","Introduction to Political Geography","5","GEOG 276 Introduction to Political Geography (5) SScExamines both the geography of politics and the politics of geography at a variety of spatial scales and in different global locations. Typical topics include: geographies of the state and state power; geopolitics and globalization; national and local politics, and other politics of culture, health, nature, and the body."
"Geography (GEOG)","GEOG 277","Geography of Cities","5","GEOG 277 Geography of Cities (5) SSc, DIVExplores economic, cultural, social and political dynamics of cities - their location, functions, and internal structure, including economic activities, housing, and social geography.  Topics include economic restructuring; suburbanization and urban sprawl; urban planning; inner-city gentrification; and how issues of class, race, and gender are embedded in the geographies of cities."
"Geography (GEOG)","GEOG 280","Introduction to the Geography of Health and Healthcare","5","GEOG 280 Introduction to the Geography of Health and Healthcare (5) SScConcepts of health from a geographical viewpoint, including human-environment relations, development, geographical patterns of disease, and health systems in developed and developing countries."
"Geography (GEOG)","GEOG 295","Special Topics in Geography","1-5, max. 10","GEOG 295 Special Topics in Geography (1-5, max. 10) SSc"
"Geography (GEOG)","GEOG 298","Study Abroad: Geography","1-5, max. 10","GEOG 298 Study Abroad: Geography (1-5, max. 10) SScFor participants in study abroad program. Specific course content varies. Courses do not automatically apply to major/minor requirements but may, depending on course content, count toward various major requirements. Offered: AWSpS."
"Geography (GEOG)","GEOG 301","Cultural Geography","5","GEOG 301 Cultural Geography (5) SScAnalysis of cultural processes in the formation of landscape, environment, region, and place in their relationship to individual and group identities and activities"
"Geography (GEOG)","GEOG 302","The Pacific Northwest","5","GEOG 302 The Pacific Northwest (5) SScFocus on radical histories of past and ongoing struggles across the region, its human geographies, and ecological futures. Explores ongoing settler colonial practices, competing ideas of growth and development, technological transformations, urban-rural dynamics, labor organizing across a multitude of industries, race-place-ecological histories, and contemporary social movements."
"Geography (GEOG)","GEOG 303","Contemporary European Migration","5","GEOG 303 Contemporary European Migration (5) SScProvides a theoretical and empirical understanding of contemporary migration processes and patterns in Europe. Introduces the different migration regimes and integration practices of selected European states. Analyzes the impact of globalization, the ever-changing role of the European Union, and the importance of international, national, and urban policy on immigrant lives. Offered: jointly with JSIS A 304; W."
"Geography (GEOG)","GEOG 310","Immigrant America: Trends and Policies from a Geographic Perspective","5","GEOG 310 Immigrant America: Trends and Policies from a Geographic Perspective (5) SSc, DIVU.S. immigration trends and policies from a geographic perspective. Topics include where immigrants come from, where they settle in the United States (and why they settle in those particular places), these locations, immigrant employment enclaves, effects of U.S. immigration policy on immigrant settlement and employment patterns, unauthorized immigration, citizenship, and barriers to immigrant social and economic mobility in the United States."
"Geography (GEOG)","GEOG 315","Explanation and Understanding in Geography","5","GEOG 315 Explanation and Understanding in Geography (5) SScCovers the beginning steps in the research process. Introduces the discipline of geography, the department, and current faculty through the research aims of explanation and understanding that frame social scientific inquiry. Students develop basic library and writing skills as preparation for future research methods classes and independent research."
"Geography (GEOG)","GEOG 317","Geographic Information and Spatial Analysis","5","GEOG 317 Geographic Information and Spatial Analysis (5) SSc, RSNIntegrates geographic information systems and spatial data analysis, emphasizing the appropriate selection of methods, procedures for research design, and interpretation of findings. Topics include descriptive and inferential methods, spatial patterns and statistics, and correlation and spatial autocorrelation. Applications use SPSS and ArcMap software."
"Geography (GEOG)","GEOG 323","Globalization and You","5","GEOG 323 Globalization and You (5) SScOffers an evidence-based analysis of globalization that addresses how individuals are affected personally as well as economically amidst the market-led processes of global integration. Offered: jointly with JSIS D 323."
"Geography (GEOG)","GEOG 326","Quantitative Methods in Geography","5","GEOG 326 Quantitative Methods in Geography (5) SSc, RSNIntroduction to quantitative methods in geography, with a primary focus on statistical techniques. Examines the basic concepts, reasoning, and procedures geographers use in developing, analyzing, applying, and presenting quantitative methods. Topics include: generating and describing data; elementary probability, hypothesis testing, comparative tests; finding relationships; and using and misusing statistics."
"Geography (GEOG)","GEOG 327","Critical Remote Sensing","5","GEOG 327 Critical Remote Sensing (5) SSc, RSNIntegrates critique of remote sensing process with development of basic skills in remote sensing, emphasizing reflexivity, data literacy, and awareness of the politics and subjectivities of satellite imagery, data collection, analysis and applications. Includes history and ethics of remote sensing, visual aesthetics, spatial patterns and statistics, and change detection. Course overlaps with: JSIS B 456. Recommended: GEOG 317."
"Geography (GEOG)","GEOG 328","Web-Based Geographic Information Systems","5","GEOG 328 Web-Based Geographic Information Systems (5) SScProvides essential knowledge of Web geographic information systems (GIS) project management, the latest geospatial technologies for building modern Web GIS applications, and real-world case studies. Focuses on theories and principles behind Web GIS, including sys architecture, front-end coding, responsive design, and Web analyses. Includes Web programming and GIS development. Prerequisite: GEOG 360."
"Geography (GEOG)","GEOG 330","Latin America: Landscapes of Change","5","GEOG 330 Latin America: Landscapes of Change (5) SScExamines operation of economic, social, and political processes across countries of Latin America - on international, national, and local scales - to understand common issues facing the region and different impacts in particular countries. Topics include internationalization of Latin American economies; agrarian and urban change; popular movements."
"Geography (GEOG)","GEOG 331","Global Poverty and Care","5","GEOG 331 Global Poverty and Care (5) SSc, DIVExplores the causes and patterns of global poverty, and the urgent need for studies of care in both academic work and public policy. Considers the possibilities and challenges of caring across distance, and ways to respectfully engage with people in different places."
"Geography (GEOG)","GEOG 332","Black Feminist Geographies","5","GEOG 332 Black Feminist Geographies (5) SSc, DIVStereotypes about blackness, gender, and sexuality are enmeshed with how we think, feel, and move about the landscapes we move through - and black people are often seen threatening presences that ""need"" to be policed, contained, and completely erased. This course considers how black feminist approaches to geographic space reveal ways that these restrictive understandings of blackness, gender, and sexuality are refused and redefined. Offered: jointly with GWSS 332."
"Geography (GEOG)","GEOG 335","Geography of the Developing World","5","GEOG 335 Geography of the Developing World (5) SScExplores international development and how it shapes global imagery across countries of the global North and South. Examines historical ideas, key institutions (such as the World Bank and United Nations), and practices that shape contemporary development. Analyzes how power, inequality, and resistance shape landscapes of poverty, inequity, and growth by reviewing real-world case studies from Africa, Latin America, Asia, and the Middle East. Offered: jointly with JSIS B 335."
"Geography (GEOG)","GEOG 336","Development and Challenge in China","5","GEOG 336 Development and Challenge in China (5) SScExamines the geography of China's development since 1949. Introduces China's physical geography, history, and economic and political system. Emphasizes China's uneven development in agriculture, population, industry, and trade. Also examines problems China faces in meeting its internal food demand, as well as the external processes of globalization."
"Geography (GEOG)","GEOG 337","Migration and Development in China","5","GEOG 337 Migration and Development in China (5) SScExamines patterns of China's internal migration in different periods in relation to economic development. Explores how the state-created dual structure and the household registration system enables China to have a huge class of super-exploitable migrant labor and become the world's premier low-end manufacturing center."
"Geography (GEOG)","GEOG 342","Geography of Inequality","5","GEOG 342 Geography of Inequality (5) SSc, DIVGeographies of social, political, and economic inequality. Focus is usually on North American cities. Examines the theoretical underpinning of inequality. Explores topics such as the spatial distribution of wealth and poverty, the geographies of exclusion, and discrimination in paid employment and housing."
"Geography (GEOG)","GEOG 343","Comparative Geographies of Youth","5","GEOG 343 Comparative Geographies of Youth (5) SScExamines how three key global processes - rising levels of formal education, changing health regimes , and environmental transformation - are shaping youth in the US and South Asia. Examines ways young people rework broader structures, paying particular attention to their economic livelihoods, cultural practices, and political engagements. Offered: jointly with JSIS B 347; A."
"Geography (GEOG)","GEOG 344","Migration in the Global Economy","5","GEOG 344 Migration in the Global Economy (5) SScAnalyzes the relationship between human mobility in the late twentieth century and changes in the global economy. Allows students to gain familiarity with scholarly research on international migration from a diversity of approaches and methods. Offered: jointly with JSIS B 344."
"Geography (GEOG)","GEOG 360","GIS and Mapping","5","GEOG 360 GIS and Mapping (5) SSc, RSNIntroduction to mapping and geographic information systems.  Topics include: Representation of spatial objects, their attributes, and relationships in desktop and online GIS; common spatial operations and geoprocessing in GIS; principles of cartographic visualization, communication, and critique; narrative mapping and spatial humanities; ethics, society and GIS. Course overlaps with: BIS 343."
"Geography (GEOG)","GEOG 362","GIS Presentation, Analysis, and Problem-Solving","3","GEOG 362 GIS Presentation, Analysis, and Problem-Solving (3)Introduces students to the systems, science, and study of geographic information systems (GIS), including what gives GIS its enduring importance, it core principles, its applications, its unique analysis methods, and the practices and dilemmas that often accompany the use and communication of geographic information. Cannot be taken if credit received for GEOG 360. Credit/no-credit only."
"Geography (GEOG)","GEOG 370","Environmental Conservation: Geographic Perspectives","5","GEOG 370 Environmental Conservation: Geographic Perspectives (5) SScExplores how environmental conservation is shaped by scientific, political, cultural, and economic forces acting across both space and time. Specific topics include environmental history, wilderness preservation, national parks, forest management, community-based conservation, global political ecology, and environmental justice."
"Geography (GEOG)","GEOG 371","World Hunger and Agricultural Development","5","GEOG 371 World Hunger and Agricultural Development (5) SScAddresses world hunger and poverty in relation to agricultural development, food security policy, the globalization of food and agriculture and social movements. Explores the problem and historical persistence of hunger across geographic scale and examines the debates about how hunger can be eradicated."
"Geography (GEOG)","GEOG 373","Food and Community: Cultural Practices in the Hispanic World","5","GEOG 373 Food and Community: Cultural Practices in the Hispanic World (5) SSc, DIVIntersections of food and community in Hispanic cultures. Past and present practices. Food and material culture, urban design, foodways and gender roles, food and race, diet and hygiene, religious, and civic celebrations, and food preparation techniques. Offered: jointly with JEW ST 362/SPAN 362; S."
"Geography (GEOG)","GEOG 374","Food Cultures, Race, and Identity in the Hispanic and Sephardic Worlds","3","GEOG 374 Food Cultures, Race, and Identity in the Hispanic and Sephardic Worlds (3) SSc, DIVFood cultures and practices and their intersections with the construction of racial or racialized identities in the Hispanic and Sephardic worlds. Addresses issues of diversity through examining the role of food in creating power differentials and racialized identities. Food practices in the Hispanic and Sephardic worlds in a broad geographic area and time period. Offered: jointly with JEW ST 324/SPAN 325."
"Geography (GEOG)","GEOG 375","Geopolitics","5","GEOG 375 Geopolitics (5) SSc, DIVAn introduction to both political geography and geopolitics, addressing the fundamental links between power and space. Topics covered include: theories of power, space, and modernity; the formation of modern states; international geopolitics in the aftermath of the Cold War; the post-colonial nation-state; and the geopolitics of resistance. Offered: jointly with JSIS B 375."
"Geography (GEOG)","GEOG 377","Urban Political Geography","5","GEOG 377 Urban Political Geography (5) SScExamines how the spatial structure of cities and towns affects and is affected by political processes. Considers both traditional and newer forms of politics, as global and local issues. Special attention paid to where politics takes place within local contexts across state, civil society, home, and the body."
"Geography (GEOG)","GEOG 378","Policing the City","5","GEOG 378 Policing the City (5) SScInvestigates how and why formal and informal order is established in urban areas, how this order produces advantages and disadvantages, and possibilities of alternative visions of order. Topics include formal means of control (zoning, laws, policing, building codes) and informal means of control (gossip, ostracism, peer pressure, local politics). Offered: jointly with LSJ 378; A."
"Geography (GEOG)","GEOG 380","Geographical Patterns of Health and Disease","5","GEOG 380 Geographical Patterns of Health and Disease (5) SScGeography of infectious and chronic diseases at local, national, and international scales; environmental, cultural, and social explanations of those variations; comparative aspects of health systems."
"Geography (GEOG)","GEOG 381","Maps and Health","5","GEOG 381 Maps and Health (5) SScCombines the study of maps, GIS and other geovisualization technologies with research on the geography of health. Provides an introduction to key geovisualization tools, while also offering an opportunity to reflect intellectually on health maps through the lens of critical social theories about power and knowledge."
"Geography (GEOG)","GEOG 395","Special Topics in Geography","1-5, max. 10","GEOG 395 Special Topics in Geography (1-5, max. 10) SSc"
"Geography (GEOG)","GEOG 403","Transnational Latinx Migrations","5","GEOG 403 Transnational Latinx Migrations (5) SSc, DIVExplores the role of gender, racial formation, and language in transnational Latin American migrations. Outlines key concepts related to power relations in nation-states, geographies of security, border enforcement, and the production of Latinidades, or multiple Latinx identities. Recommended: LSJ 329, GEOG 310, or POL S 359"
"Geography (GEOG)","GEOG 404","Abolition Geographies","5","GEOG 404 Abolition Geographies (5) SSc, DIVRadical place-making to create community well-being without harming others.  Includes theoretically informed works and study of abolitionist activism and policies in Seattle and other Coast Salish communities. Recommended: either GEOG 271, GEOG 272, or GEOG 335/JSIS B 335; and other courses on policing, critical race theory, or ethnic studies."
"Geography (GEOG)","GEOG 425","Qualitative Methodology in Geography","5","GEOG 425 Qualitative Methodology in Geography (5) SScHistorical and philosophical overview of qualitative methodology and techniques such as interviewing, ethnography, archival research, participatory action research, and focus groups.  Exploration of forms of interpretation and analysis such as textual interpretation, critical discourse analysis, and content analysis.  Addresses questions of ethics, power relations, field notes, and research presentation."
"Geography (GEOG)","GEOG 426","Advanced Quantitative Methods","5","GEOG 426 Advanced Quantitative Methods (5) SSc, RSNIntroduces elementary spatial statistics and advanced statistical techniques in quantitative human geography. Methods reviewed include geographic applications of multiple regression analysis, spatial statistics and spatial autocorrelation, geographically weighted regression, factor analysis, discriminant analysis, and logistic regression. Prioritizes the interpretation and application of methods. Course overlaps with: T URB 425. Prerequisite: a minimum grade of 2.0 in GEOG 326; and a minimum grade of 2.0 in GEOG 360."
"Geography (GEOG)","GEOG 430","Contemporary Development Issues in Latin America","5","GEOG 430 Contemporary Development Issues in Latin America (5) SScContemporary development issues in Latin America, seen from a spatial perspective. Concept of development; competing theories as related to various Latin American states. Economic structural transformation, migration, urbanization, regional inequality, and related policies."
"Geography (GEOG)","GEOG 431","Geography and Gender","5","GEOG 431 Geography and Gender (5) SScExamines theories and case studies across international, national, and regional scales in order to illustrate the impacts of social and economic processes upon the construction of gender in particular places."
"Geography (GEOG)","GEOG 432","Geographies and Politics of Poverty and Privilege","5","GEOG 432 Geographies and Politics of Poverty and Privilege (5) SScExamines theories and case studies across the Americas to understand geographies and politics of poverty and inequality. Outlines key concepts related to the reproduction of inequality/poverty, particularly theories of class, gender, and race and examines the mechanisms through which knowledge and action on poverty and inequality are (re)produced. Offered: Sp."
"Geography (GEOG)","GEOG 435","Industrialization and Urbanization in China","5","GEOG 435 Industrialization and Urbanization in China (5) SScExamines the impacts of industrialization strategies adopted by the People's Republic of China on urbanization and rural-urban relations. Topics include: economic development strategies, industrial geography, rural industrialization, urban development patterns, migration, and urbanization policies. Offered: Sp."
