subject,code,credits,title,Description
ELEE - Electrical and Electronics Engineering,ELEE 8530, 3 hours.,Advanced Optics and Photonics,"Advanced topics in optics and photonics. Topics covered include nonlinear-optics, optical response of materials and optical fiber, and electro-optic effects in photonic devices. Applications of photonic technologies in signal processing and emerging applications will be discussed."
ELEE - Electrical and Electronics Engineering,ELEE 8580, 3 hours. 1 hours lecture and 4 hours lab per week.,Biological Microscopy,An interdisciplinary introduction to modern biological microscopy techniques. Students will be introduced to all aspects of preparing and imaging biological samples. Students will prepare samples for fluorescence imaging and use different microscopes. Specific topics covered will change from year to year.
ELEE - Electrical and Electronics Engineering,ELEE 8745, 3 hours.,Advanced Power Electronics,"Power electronics systems span smart homes and buildings, manufacturing systems, smart grids, and electrified transportation. Principles, design, and applications of power electronics systems. Topics include modeling, control, and design of power electronics with applications to smart grids, manufacturing systems, and electric vehicles."
EMAT - Mathematics Education,EMAT 2000, 3 hours.,Foundations of Mathematics Education,"Role of mathematics in society; contemporary issues in mathematics education; role of professional mathematics educator, including ethical and effective practice; social, historical, and philosophical perspectives and methods of inquiry in analysis of mathematics education issues; and sociological and psychological bases for learning mathematics. Technologies used in teaching mathematics."
EMAT - Mathematics Education,MATH(EMAT) 2001, 3 hours.,Geometry for Elementary School Teachers,"A deep examination of mathematical topics designed for future elementary school teachers. Visualization. Properties of angles, circles, spheres, triangles, and quadrilaterals. Measurement, length, area, and volume. Transformations, congruence, and similarity."
EMAT - Mathematics Education,MATH(EMAT) 2002, 3 hours.,"Numbers, Algebra, and Statistics for Elementary School Teachers","A deep examination of mathematical topics designed for future elementary school teachers. Numbers, the decimal system, number lines. Fractions. Number theory: factors, multiples, greatest common factor, least common multiple, prime numbers. Algebra, expressions and solving equations. Basic descriptive statistics."
EMAT - Mathematics Education,MATH(EMAT) 2003, 3 hours.,Arithmetic for Elementary School Teachers,"A deep examination of mathematical topics designed for future elementary school teachers. The meaning of addition, multiplication, and division. Adding, multiplying and dividing whole numbers, decimals, and fractions. Ratio and proportion."
EMAT - Mathematics Education,EMAT 3400, 3 hours.,Children's Mathematical Learning,Children's mathematical learning from pre-numerical stages through the acquisition of advanced numerical and spatial processes and operations. Research-based development of a theory of children's learning. Includes field component.
EMAT - Mathematics Education,EMAT 3410, 3 hours.,Mathematics Teaching and Curriculum in PreK-5th Grade,"Mathematics teaching and curriculum in preK through 5th grade. Content and materials appropriate for preK through 5th grade mathematics curriculum is integrated with an analysis of mathematics teaching, including the use of technology. Includes a field component."
EMAT - Mathematics Education,EMAT 4000/6000, 1-6 hours. Repeatable for maximum 9 hours credit.,Special Problems in Mathematics Education,Topics in mathematics education.
EMAT - Mathematics Education,STAT(EMAT) 4050/6050, 3 hours.,Data Analysis for Elementary and Middle School Teachers,"Univariate analysis for measurement data using graphs and numerical summaries; bivariate analysis for measurement data using scatterplots, correlation, and fitting lines; describing categorical data; sampling methods; observational and experimental studies; describing random behavior; binomial and normal distributions; sampling distributions; confidence intervals and significance testing; pedagogy methods for instruction and integrating technology."
EMAT - Mathematics Education,EMAT 4200/6200, 3 hours.,Technology in Teaching Elementary School Mathematics,Use of technological tools in teaching elementary mathematics. Current computer software for mathematical explorations.
EMAT - Mathematics Education,EMAT 4420/6420, 3 hours.,Mathematics Methods for PreK-Grade 8,"Content, methods, and materials appropriate for preK through 8th grade mathematics instruction. Integration of instruction and assessment and appropriate use of technology."
EMAT - Mathematics Education,EMAT 4450/6450, 3 hours.,Mathematics in Context,"An analysis of high school mathematics that arises in commercial and non-commercial workplace settings. Topics come from algebra, geometry, statistics, and other branches of mathematics."
EMAT - Mathematics Education,EMAT 4550/6550, 3 hours.,Contemporary School Mathematics,"The contemporary secondary and collegiate mathematics curriculum, with an emphasis on data handling, modeling, infinite processes, stochastic processes, and discrete mathematics."
EMAT - Mathematics Education,EMAT 4600/6600, 3 hours.,Problem Solving in Mathematics,"Mathematical problems with emphasis on exploring various mathematical contexts, on posing and extending problems, and on communicating mathematical problems and solutions."
EMAT - Mathematics Education,EMAT 4630/6630, 3 hours.,Reasoning and Proving in Secondary Mathematics,Investigates reasoning and proving at the middle and high school levels with an emphasis on supporting students’ capacities to reason and prove. Provides opportunities to deepen understandings of reasoning and proving across curricular topics.
EMAT - Mathematics Education,EMAT 4650/6650, 3 hours.,Historical and Cultural Foundations of Mathematics,"Development of mathematics across time, geography, and cultures with attention to the content of school mathematics."
EMAT - Mathematics Education,EMAT 4680/6680, 3 hours.,Technology and Secondary School Mathematics,Mathematical investigations appropriate to the secondary school using various technology tools.
EMAT - Mathematics Education,EMAT 4690/6690, 3 hours.,Technology Enhanced Instruction in Secondary School Mathematics,Use of technology in mathematics instruction and development of materials for mathematics instruction enhanced by technology.
EMAT - Mathematics Education,EMAT 4700/6700, 3 hours. Repeatable for maximum 9 hours credit.,Advanced Explorations with Technology in Mathematics Instruction,"Use of technology in mathematics instruction, with an emphasis on the organization of materials for secondary mathematics courses."
EMAT - Mathematics Education,EMAT 4800/6800, 3 hours.,Teaching Secondary School Mathematics I,"Introductory ideas about mathematics education, including current mathematics standards and policy documents, learning theories, and teaching strategies. Students will explore how secondary students think about and learn mathematics, examine how to select and modify tasks, use appropriate technology, and apply their learning in an accompanying field experience."
EMAT - Mathematics Education,EMAT 4800L/6800L, 1 hour. 3 hours lab per week.,Field Experience in Secondary School Mathematics I,Students will work one-on-one with secondary school pupils to investigate their mathematical thinking and learn to communicate mathematically with pupils.
EMAT - Mathematics Education,EMAT 4810/6810, 3 hours.,Connections in Secondary Mathematics I,"Explores various secondary mathematics topics with a modeling and data analysis approach and an explicit focus on ways of reasoning that connect critical concepts of secondary mathematics. A problem solving approach will be used to foster and explore topics including function, rate of change, and algebra."
EMAT - Mathematics Education,EMAT 4850/6850, 3 hours.,Teaching Secondary School Mathematics II,"Using data to assess secondary students' learning and issues of equity in mathematics education. Students will examine various assessments and data to facilitate learning through mathematics tasks, questioning techniques, manipulatives and technology, and differentiating instruction to teach diverse student populations in a field experience."
EMAT - Mathematics Education,EMAT 4850L/6850L, 1 hour. 3 hours lab per week.,Field Experience in Secondary School Mathematics II,Students will work with small groups of secondary school pupils to implement lessons and assess student learning.
EMAT - Mathematics Education,EMAT 4860/6860, 3 hours.,Connections in Secondary Mathematics II,"Exploration of secondary mathematics topics related to number and measurement with an explicit focus on reasoning that connects critical topics of secondary mathematics to one another and to problem situations. Sample topics include proportional reasoning, number theory, and probability."
EMAT - Mathematics Education,EMAT 4900/6900, 3 hours.,Teaching Secondary School Mathematics III,"Planning lessons and units, facilitating discourse, and applying theories of learning and teaching. Students will explore how to create plans for student learning, use culturally appropriate pedagogies, negotiate classroom norms, use instructional technology appropriately, and apply their learning in an accompanying field experience."
EMAT - Mathematics Education,EMAT 4900L/6900L, 1 hour. 3 hours lab per week.,Field Experience in Secondary School Mathematics III,Students will teach in whole class settings in area middle and high schools. They will plan and implement lessons that use discourse strategies and technology to alleviate educational inequities.
EMAT - Mathematics Education,EMAT 4910/6910, 3 hours.,Connections in Secondary Mathematics III,"Exploration of various secondary mathematics topics with an explicit focus on ways of reasoning that connect critical concepts of secondary mathematics. A problem solving approach will be used to foster and explore topics including similarity, transformations, conics, linear systems, and sequences and series."
EMAT - Mathematics Education,EMAT 4920/6920, 3 hours.,Teaching and Learning Undergraduate Mathematics,Provides mathematics and mathematics education students with a study of current issues in the teaching and learning of undergraduate mathematics. Course topics will include exploring important ways of thinking at the undergraduate mathematics level. Other topics will include an overview of undergraduate pedagogies and instructional design.
EMAT - Mathematics Education,EMAT 4950/6950, 3 hours.,Professional Seminar in Teaching Mathematics,Issues identified from the student teaching experience in mathematics with consideration of various avenues for professional development.
EMAT - Mathematics Education,EMAT 4960R, 1-6 hours. Repeatable for maximum 16 hours credit.,Faculty-Mentored Undergraduate Research I,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
EMAT - Mathematics Education,EMAT 4970R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research II,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
EMAT - Mathematics Education,EMAT 4980R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research III,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
EMAT - Mathematics Education,EMAT 4990R, 1-6 hours. Repeatable for maximum 8 hours credit.,Undergraduate Research Thesis (or Final Project),"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data. Students will write or produce a thesis or other professional capstone product, such as a report or portfolio that describes their systematic and in-depth inquiry."
EMAT - Mathematics Education,MATH(EMAT) 5001E, 3 hours.,Arithmetic and Problem Solving,"Topics in mathematics designed for future elementary school teachers. Problem-solving. Number systems: whole numbers, integers, rational numbers (fractions) and real numbers (decimals), and the relationships between these systems. Understanding multiplication and division, including why standard computational algorithms work. Properties of arithmetic. Applications of elementary mathematics."
EMAT - Mathematics Education,MATH(EMAT) 5001/7001, 3 hours.,Arithmetic and Problem Solving,"Topics in mathematics designed for future elementary school teachers. Problem solving. Number systems: whole numbers, integers, rational numbers (fractions) and real numbers (decimals), and the relationships between these systems. Understanding multiplication and division, including why standard computational algorithms work. Properties of arithmetic. Applications of elementary mathematics."
EMAT - Mathematics Education,MATH(EMAT) 5002/7002, 3 hours.,Geometry and Problem Solving,"A deep examination of mathematical topics designed for future elementary school teachers. Length, area, and volume. Geometric shapes and their properties. Probability. Elementary number theory. Applications of elementary mathematics."
EMAT - Mathematics Education,MATH(EMAT) 5003/7003, 3 hours.,Algebra and Problem Solving,"A deep examination of topics in mathematics that are relevant for elementary school teaching. Probability, number theory, algebra and functions, including ratio and proportion. Posing and modifying problems."
EMAT - Mathematics Education,MATH(EMAT) 5020/7020, 3 hours.,Arithmetic for Middle Grades Teachers,"A deep examination of topics in mathematics that are relevant for middle grades teachers. Reasoning about addition, subtraction, multiplication, and division within the base-ten system and with fractions. Deriving and explaining procedures and algorithms in arithmetic."
EMAT - Mathematics Education,MATH(EMAT) 5035/7035, 3 hours.,Algebra for Middle Grades Teachers,"A deep examination of topics in mathematics that are relevant for middle grades teachers. Reasoning about fraction division, ratio, proportional relationships, inversely proportional relationships, descriptive statistics, probability, factors, multiples, and prime numbers. Deriving and explaining equations and solution methods."
EMAT - Mathematics Education,EMAT 5280/7280, 3 hours.,Teaching Number Systems in the Middle Grades,"A quantitative measurement approach to the study of number systems for middle grades mathematics. Methods of teaching number systems are based in students' quantitative reasoning in the context of using appropriate technology. Evaluation through the examination of mathematics content, with emphasis on mathematical operations, models, and problem solving."
EMAT - Mathematics Education,EMAT 5290/7290, 3 hours.,Teaching Geometry and Measurement in the Middle Grades,"Explore middle grades mathematics topics with an explicit focus on teaching methods for developing middle grades students’ ways of reasoning about geometric, measurement, and statistical concepts. Examine how to select and modify tasks to meet the needs of all students and use technology appropriately for teaching and learning."
EMAT - Mathematics Education,EMAT 5320/7320, 3 hours.,Teaching Algebra in the Middle Grades,"A quantitative approach to the study of essential topics in middle grades mathematics, particularly regarding algebra and change. A critical analysis of pedagogical methods that support middle grades students’ sense making and problem solving."
EMAT - Mathematics Education,EMAT 5460H, 3-6 hours.,Student Teaching in Secondary School Mathematics (Honors),Supervised mathematics teaching in a secondary school.
EMAT - Mathematics Education,EMAT 5460/7460, 1-15 hours. Repeatable for maximum 15 hours credit.,Student Teaching in Secondary School Mathematics,Supervised mathematics teaching in a secondary school.
EMAT - Mathematics Education,EMAT 5700, 1-9 hours. Repeatable for maximum 12 hours credit.,College Mathematics Teaching Internship,Supervised work in mathematics education in undergraduate instructional contexts.
EMAT - Mathematics Education,EMAT 6360, 3 hours.,Teaching and Learning Secondary School Mathematics,"Instructional strategies, classroom management, assessment techniques, lesson planning, multicultural and gender issues in mathematics education."
EMAT - Mathematics Education,EMAT 6400, 3 hours.,Teaching K-8 Geometry and Measurement,"Didactics of geometry for mathematics in grades K-8. Teaching methods, curriculum materials, and psychological factors for developing geometric,and measurement concepts."
EMAT - Mathematics Education,EMAT 6410, 3 hours.,Mathematical Learning in PreK-Grade 8,Learning theories and their application to mathematics teaching and learning.
EMAT - Mathematics Education,EMAT 6420E, 3 hours.,Mathematics Methods for PreK-Grade 8,"Content, methods, and materials appropriate for PreK through 8th grade mathematics instruction. Integration of instruction and assessment and appropriate use of technology."
EMAT - Mathematics Education,EMAT 6500, 3 hours.,Connections in Secondary School Mathematics,"The secondary mathematics curriculum, with attention to applications of mathematics and to connections within mathematics and between mathematics and other subjects."
EMAT - Mathematics Education,EMAT 6700E, 3 hours. Repeatable for maximum 9 hours credit.,Advanced Explorations with Technology in Mathematics Instruction,"Use of technology in mathematics instruction, with an emphasis on the organization of materials for secondary mathematics courses."
EMAT - Mathematics Education,EMAT 6710, 3 hours.,Research on the Teaching and Learning of Mathematics,"Addresses how teachers can use research in mathematics education to support instruction. Using the case of a core strand of mathematics, the course examines research on how students learn mathematical ideas, common student challenges and difficulties, what is effective in supporting students’ learning, and productive pedagogical strategies for fostering mathematical thinking."
EMAT - Mathematics Education,EMAT 6720, 3 hours.,National Trends in STEM Education,"An examination of trends and issues in STEM education from historical and current perspectives. National, state, and local concerns regarding public education, changing demographics in schools, curriculum standards, teaching, and professionalism will be studied. Students will critically examine persistent problems in middle and high school STEM education and determine promising solutions."
EMAT - Mathematics Education,EMAT 6730, 3 hours.,History of Mathematics Teaching and Learning in the United States,Historical and cultural issues that have influenced the teaching and learning of mathematics in the United States and exploration of changes in the content and pedagogy of mathematics textbooks over time.
EMAT - Mathematics Education,EMAT 6730E, 3 hours.,History of Mathematics Teaching and Learning in the United States,Historical and cultural issues that have influenced the teaching and learning of mathematics in the United States and exploration of changes in the content and pedagogy of mathematics textbooks over time.
EMAT - Mathematics Education,EMAT 6990, 1-6 hours. Repeatable for maximum 9 hours credit.,Research Seminar in Mathematics Education,Topics in mathematics education from a research perspective.
EMAT - Mathematics Education,EMAT 7000, 1-9 hours. Repeatable for maximum 12 hours credit.,Master's Research,Research while enrolled for a master's degree under the direction of faculty members.
EMAT - Mathematics Education,MATH(EMAT) 7001E, 3 hours.,Arithmetic and Problem Solving,"Topics in mathematics designed for future elementary school teachers. Problem-solving. Number systems: whole numbers, integers, rational numbers (fractions) and real numbers (decimals), and the relationships between these systems. Understanding multiplication and division, including why standard computational algorithms work. Properties of arithmetic. Applications of elementary mathematics."
EMAT - Mathematics Education,EMAT 7005, 3 hours. Repeatable for maximum 45 hours credit.,Graduate Student Seminar,Advanced supervised experience in an applied setting. This course may not be used to satisfy a student's approved program of study.
EMAT - Mathematics Education,EMAT 7010, 3 hours. Repeatable for maximum 6 hours credit.,Teaching Mathematics in the Elementary School,"Interrelationships between contemporary mathematics content for elementary schools, effective mathematical communication with children, and learning theory."
EMAT - Mathematics Education,EMAT 7050, 3 hours.,Teaching Secondary School Mathematics,An investigation of the scholarly and practical issues that impact the teaching of mathematics in grades 6-12.
EMAT - Mathematics Education,EMAT 7050E, 3 hours.,Teaching Secondary School Mathematics,An investigation of the scholarly and practical issues that impact the teaching of mathematics in grades 6-12.
EMAT - Mathematics Education,EMAT 7080E, 3 hours.,Curriculum in Mathematics Education,"Mathematics curriculum of the secondary schools, with emphasis on current issues and trends."
EMAT - Mathematics Education,EMAT 7080, 3 hours.,Curriculum in Mathematics Education,"Mathematics curriculum of the secondary schools, with emphasis on current issues and trends."
EMAT - Mathematics Education,EMAT 7200, 3 hours.,Mentoring in Mathematics Education,"Theories and practices needed to guide mathematics teachers at all educational levels to improve their teaching practices. Perspectives on content-focused mentoring for pre-service and in-service mathematics teaching. Mathematical, psychological, pedagogical, and curricular foundations for coaching effective mathematics instruction. Strategies for developing a constructive, collaborative approach to helping mathematics teachers improve."
EMAT - Mathematics Education,EMAT 7300, 1-9 hours. Repeatable for maximum 9 hours credit.,Master's Thesis,Thesis writing under the direction of the major professor.
EMAT - Mathematics Education,EMAT 7360, 3 hours.,Secondary School Mathematics Field Experience,"Supervised observations, interviews, tutoring, teaching practice, and professional goal development."
EMAT - Mathematics Education,EMAT 7650, 3 hours. Repeatable for maximum 9 hours credit.,Applied Project in Mathematics Education,A mathematics education topic or problem under the direction of a faculty member.
EMAT - Mathematics Education,EMAT 7700E, 1-15 hours. Repeatable for maximum 15 hours credit.,Internship in Mathematics Education,Supervised work in mathematics education in an instructional context.
EMAT - Mathematics Education,EMAT 7700, 1-15 hours. Repeatable for maximum 15 hours credit.,Internship in Mathematics Education,Supervised work in mathematics education in an instructional context.
EMAT - Mathematics Education,EMAT 8010, 3 hours. Repeatable for maximum 6 hours credit.,Advanced Study of Mathematics Curriculum,Theoretical bases for mathematics curriculum.
EMAT - Mathematics Education,EMAT 8020, 3 hours. Repeatable for maximum 6 hours credit.,Advanced Study of Mathematics Teaching and Teacher Education,Theoretical bases for mathematics teaching and teacher education.
EMAT - Mathematics Education,EMAT 8030, 3 hours. Repeatable for maximum 6 hours credit.,Advanced Study of Mathematics Learning,Theoretical bases for mathematics learning.
EMAT - Mathematics Education,EMAT 8040, 3 hours. Repeatable for maximum 9 hours credit.,Critical Issues in Mathematics Education,"Critical analysis of social, political, economic, and cultural structures as they relate to mathematics teaching, learning, and research. Implications for equitable P-12 mathematics classrooms and mathematics education methods courses will be explored."
EMAT - Mathematics Education,EMAT 8990, 1-6 hours. Repeatable for maximum 12 hours credit. 1 hours lab per week.,Research Seminar in Mathematics Education,Seminar for doctoral students on contemporary issues in mathematics education.
EMAT - Mathematics Education,EMAT 9000, 1-9 hours. Repeatable for maximum 36 hours credit.,Doctoral Research,Research while enrolled for a doctoral degree under the direction of faculty members.
EMAT - Mathematics Education,EMAT 9005, 3 hours. Repeatable for maximum 45 hours credit.,Doctoral Graduate Student Seminar,Advanced supervised experience in an applied setting. This course may not be used to satisfy a student's approved program of study.
EMAT - Mathematics Education,EMAT 9300, 1-9 hours. Repeatable for maximum 36 hours credit.,Doctoral Dissertation,Dissertation writing under the direction of the major professor.
EMAT - Mathematics Education,EMAT 9600, 1-9 hours. Repeatable for maximum 9 hours credit.,Educational Research in Mathematics Education,Independent research on a problem in mathematics education.
EMAT - Mathematics Education,EMAT 9630, 3 hours. Repeatable for maximum 9 hours credit.,Critique of Literature in Mathematics Education,Critical interpretation and evaluation of research and theoretical writing in mathematics education.
EMAT - Mathematics Education,EMAT 9640, 3 hours. Repeatable for maximum 9 hours credit.,Analysis and Critique of Research in Mathematics Education,Analysis and evaluation of research in mathematics education.
EMAT - Mathematics Education,EMAT 9700, 1-9 hours. Repeatable for maximum 9 hours credit.,Internship in Mathematics Education,Supervised work in mathematics education in an instructional situation.
EMAT - Mathematics Education,EMAT 9800, 1-9 hours. Repeatable for maximum 9 hours credit.,Practicum in Mathematics Education,Completion of a supervised project in mathematics education.
EMBA - Executive MBA,EMBA 7010, 3 hours.,Economic Analysis for Business Leaders,"Introduction of the basic tools of microeconomics and macroeconomics. Microeconomic concepts of supply and demand, production, cost, and market structure are combined with macroeconomic issues concerning fiscal and monetary policy to develop an understanding of the relationship between an enterprise and the economic environment in which it exists."
EMBA - Executive MBA,EMBA 7010E, 3 hours.,Economic Analysis for Business Leaders,"Introduction of the basic tools of microeconomics and macroeconomics. Microeconomic concepts of supply and demand, production, cost, and market structure are combined with macroeconomic issues concerning the fiscal and monetary policy to develop an understanding of the relationship between an enterprise and the economic environment in which it exists."
EMBA - Executive MBA,EMBA 7100E, 3 hours.,Analytical Tools for Decision Making,"This course is designed to enhance the analytical skills of business managers who must make decisions based on quantitative data, in particular in environments characterized by significant uncertainty. Topics of study include sampling, estimation and inference, regression, simulation, decision analysis, and constrained optimization."
EMBA - Executive MBA,EMBA 7100, 3 hours.,Analytical Tools for Decision Making,"This course is designed to enhance the analytical skills of business managers who must make decisions based on quantitative data, in particular in environments characterized by significant uncertainty. Topics of study include sampling, estimation and inference, regression, simulation, decision analysis, and constrained optimization."
EMBA - Executive MBA,EMBA 7150, 3 hours.,Financial Accounting and Reporting,"This course addresses the concepts that underlie the utilization of accounting information in the preparation of financial statements for shareholders and other external users. Topics of study include accounting approaches (such as cash vs. accrual), the format and content of financial statements, and interpretation of corporate annual reports."
EMBA - Executive MBA,EMBA 7150E, 3 hours.,Financial Accounting and Reporting,"This course addresses the concepts that underlie the utilization of accounting information in the preparation of financial statements for shareholders and other external users. Topics of study include accounting approaches (such as cash vs. accrual), the format and content of financial statements, and the interpretation of corporate annual reports."
EMBA - Executive MBA,EMBA 7160, 3 hours.,Lean Six Sigma,Course provides students with an overview of Lean Six Sigma concepts and language and an introduction to the Define-Measure-Analyze-Improve-Control (DMAIC) process improvement cycle. Successful completion of all elements of this course will result in a UGA Terry College of Business Lean Six Sigma Green Belt certification.
EMBA - Executive MBA,EMBA 7160E, 3 hours.,Lean Six Sigma,Course provides students with an overview of Lean Six Sigma concepts and language and an introduction to the Define-Measure-Analyze-Improve-Control (DMAIC) process improvement cycle. Successful completion of all elements of this course will result in a UGA Terry College of Business Lean Six Sigma Green Belt certification.
EMBA - Executive MBA,EMBA 7200E, 3 hours.,Managerial Finance,"The responsibilities, concerns, and methods of analysis employed by corporate financial managers, and the role of financial markets and institutions in the modern economy. Topics of study include capital structure, dividend policy, asset evaluation, capital budgeting, risk analysis, and portfolio theory."
EMBA - Executive MBA,EMBA 7200, 3 hours.,Managerial Finance,"The responsibilities, concerns, and methods of analysis employed by corporate financial managers, and the role of financial markets and institutions in the modern economy. Topics of study include capital structure, dividend policy, asset evaluation, capital budgeting, risk analysis, and portfolio theory."
EMBA - Executive MBA,EMBA 7250, 3 hours.,Marketing Management,"An exploration of the foundation of strategic and tactical decision-making in marketing through intelligence gathering, environmental analysis, positioning of market offerings, and market segmentation. Topics of study include developing organizational focus on customers and markets, analyzing customers and competition, positioning strategy, product development, relationship logistics, and integrated marketing communications."
EMBA - Executive MBA,EMBA 7250E, 3 hours.,Marketing Management,"An exploration of the foundation of strategic and tactical decision-making in marketing through intelligence gathering, environmental analysis, positioning of market offerings, and market segmentation. Topics of study include developing organizational focus on customers and markets, analyzing customers and competition, positioning strategy, product development, relationship logistics, and integrated marketing communications."
EMBA - Executive MBA,EMBA 7310E, 3 hours.,Operations Management,"How operational processes can be designed and managed to ensure that goods and services are produced and delivered to customers with the required cost and quality characteristics. Emphasis is placed on decisions that determine how people, facilities, inventories, and information can be utilized to maintain competitive advantage."
EMBA - Executive MBA,EMBA 7310, 3 hours.,Operations Management,"How operational processes can be designed and managed to ensure that goods and services are produced and delivered to customers with the required cost and quality characteristics. Emphasis is placed on decisions that determine how people, facilities, inventories, and information can be utilized to maintain competitive advantage."
EMBA - Executive MBA,EMBA 7400, 2-3 hours.,Bargaining and Negotiations,"Approaches for negotiating practical conflicts that arise in business settings. Emphasis is placed on achieving outcomes that are based on legitimate data, satisfy all parties' interests, and include realistic and operational commitments. The role of effective communication in building the desired relationship is also stressed."
EMBA - Executive MBA,EMBA 7400E, 3 hours.,Bargaining and Negotiations,"Approaches for negotiating practical conflicts that arise in business settings. Emphasis is placed on achieving outcomes that are based on legitimate data, satisfy all parties' interests, and include realistic and operational commitments. The role of effective communication in building the desired relationship is also stressed."
EMBA - Executive MBA,EMBA 7410, 3 hours.,Organizational Behavior and Leadership,"Fundamental leadership skills, including strategic thinking, creating a motivating environment, employee empowerment, managing change, and team processing. Students are provided with a complete evaluation of their leadership style, and interact with a personal leadership coach to generate an individualized action plan for developing their leadership potential."
EMBA - Executive MBA,EMBA 7410E, 3 hours.,Organizational Behavior and Leadership,"Fundamental leadership skills, including strategic thinking, creating a motivating environment, employee empowerment, managing change, and team processing. Students are provided with a complete evaluation of their leadership style, and interact with a personal leadership coach to generate an individualized action plan for developing their leadership potential."
EMBA - Executive MBA,EMBA 7450, 3 hours.,Information Technology and Strategy,"An exploration of the strategic use of Internet technology to support organizational goals and increase organizational performance. A guide to Internet technology and network computing, as well as models for identifying strategic opportunities. Issues important in creating and implementing an Internet strategy."
EMBA - Executive MBA,EMBA 7450E, 3 hours.,Information Technology and Strategy,"An exploration of the strategic use of Internet technology to support organizational goals and increase organizational performance. A guide to Internet technology and network computing, as well as models for identifying strategic opportunities. Issues important in creating and implementing an Internet strategy."
EMBA - Executive MBA,EMBA 7510, 3 hours.,Human Resources Management,"Course will familiarize students with the basic principles and techniques of Human Resources Management (HRM) for business leaders, taking a practical view that integrates the contributions of the behavioral sciences with the technical aspects of implementing the HR function in the ""real world."""
EMBA - Executive MBA,EMBA 7510E, 3 hours.,Human Resources Management,"Course will familiarize students with the basic principles and techniques of Human Resources Management (HRM) for business leaders, taking a practical view that integrates the contributions of the behavioral sciences with the technical aspects of implementing the HR function in the ""real world."""
EMBA - Executive MBA,EMBA 7550, 3 hours.,Strategic Management,"Traditional corporate strategy combined with principles of large-scale organizational change to produce an overview of strategic management as a process for adapting the firm to its changing environment. Topics include practical issues related to mental frameworks and human behavior, environmental and competitor analysis, and change implementation."
EMBA - Executive MBA,EMBA 7600, 3 hours.,Financial Analysis and Cost Management,"The application of basic principles of finance and accounting to a broad array of management activities. Topics of study include financial forecasting with an emphasis on cash flows and financial needs, valuation of ongoing operations, evaluation of production alternatives, cost accounting systems, and advanced capital budgeting."
EMBA - Executive MBA,EMBA 7610, 3 hours.,Principles of Franchising,"Course focuses on franchising fundamentals, types, advantages, disadvantages, and startup and management considerations for franchise businesses focusing on evaluating franchise opportunities, legalities, and strategies for planning and implementation of new franchises. Targets students intending to work for a franchisor, considering buying a franchise, or planning to develop/launch a franchise business."
EMBA - Executive MBA,EMBA 7610E, 3 hours.,Principles of Franchising,"Course focuses on franchising fundamentals, types, advantages, disadvantages, and startup and management considerations for franchise businesses focusing on evaluating franchise opportunities, legalities, and strategies for planning and implementation of new franchises. Targets students intending to work for a franchisor, considering buying a franchise, or planning to develop/launch a franchise business."
EMBA - Executive MBA,EMBA 7650E, 3 hours.,Marketing Strategy,"The integration of marketing concepts and their application to strategic decision-making. Topics of study include marketing in the knowledge economy, developing a market-focused organization, understanding customers and competitors, relationship management, and the impact of organizational variables on customer satisfaction."
EMBA - Executive MBA,EMBA 7650, 3 hours.,Marketing Strategy,"The integration of marketing concepts and their application to strategic decision-making. Topics of study include marketing in the knowledge economy, developing a market-focused organization, understanding customers and competitors, relationship management, and the impact of organizational variables on customer satisfaction."
EMBA - Executive MBA,EMBA 7710E, 3 hours.,Legal and Regulatory Environment of Business,"Provides an understanding of legal and regulatory topics and fosters an appreciation for the role of effective business/government relationships. Topics of study include legal institutions, contracts, public law, employment, and international law."
EMBA - Executive MBA,EMBA 7710, 3 hours.,Legal and Regulatory Environment of Business,"Provides an understanding of legal and regulatory topics and fosters an appreciation for the role of effective business/government relationships. Topics of study include legal institutions, contracts, public law, employment, and international law."
EMBA - Executive MBA,EMBA 7750, 3 hours.,Service Operations Management,An exploration of best practices in the service sector by analysis of leading-edge firms and the strategies they employ to create and maintain competitive advantage. Emphasis is placed on the close coordination of marketing and operations in the design and implementation of service delivery processes.
EMBA - Executive MBA,EMBA 7800, 3 hours.,Entrepreneurship and New Venture Creation,"Examination of the new venture process, from idea generation to startup to harvest. Emphasis is placed on the generation of a complete business plan for a new product or service. Topics include entrepreneurial leadership and infrastructure, assessment of viability, business plan development and presentation, and entrepreneurial finance."
EMBA - Executive MBA,EMBA 7850, 3 hours.,International Residency,"The course exposes participants to the business challenges and opportunities in selected countries. The program incorporates economic, political, social, cultural, and organization issues through a mix of lectures, guest speakers, site visits, and cultural excursions."
