"course_code","course_name","description","level"
"NSC 123, 223, 323, 423, 523, 623, 723, 823, 923","Natural Sciences Topics.","Restrictions vary with the topic.  For each semester hour of credit earned, one lecture hour a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Upper-division standing; additional prerequisites vary with the topic.","Upper-Division Courses"
"NSC 124, 224, 324, 424, 524, 624, 724, 824, 924","Natural Sciences Topics.","Restrictions vary with the topic.  For each semester hour of credit earned, one lecture hour a week for one semester.  May be repeated for credit when the topics vary. Offered on the letter-grade basis only. Prerequisite: Upper-division standing.","Upper-Division Courses"
"NSC 325","Topics in Inventors Program Practicum.","Design, research, prototype, and test a STEM-related product or solution. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"NSC 129, 229, 329, 429, 529, 629","International Learning Seminars.","Restricted to students participating in a May Term Education Abroad program. Discussion of various issues related tot he academic, cultural, and personal aspects of completing academic work in international locations. For each semester hour of credit earned, one lecture hour a week for one semester. Natural Sciences 129 , 229 , 329 , 429 , 529 , 629 and Undergraduate Studies 119 may not both be counted unless the topics vary. May be repeated for credit when the topics vary. Offered on the letter-grade basis only. Prerequisite: Varies with the topic.","Upper-Division Courses"
"NSC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","Topics in Natural Science.","Used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad advisor in the College of Natural Science. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"NSC 371","Capstone Thesis Seminar.","Directed reading, research, and discussion followed by the writing of a substantial thesis. Three lecture hours a week for one semester. Prerequisite: Natural Sciences 323 with a grade of at least B- and consent of instructor.","Upper-Division Courses"
"NSC 088C","Science Communications Seminar.","Same as Communication 088C . Restricted to students in the Moody College of Communication and the College of Natural Sciences. Professional development supplemental to primary studies. Designed to develop skills in the effective communication of scientific concepts. Hours to be arranged. Communication 088C and Natural Sciences 088C may not both be counted. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088D","Science Communications Practicum.","Same as Communication 088D . Restricted to students in the Moody College of Communication and the College of Natural Sciences. Professional development supplemental to primary studies. May be taking concurrently with the Science Communication Seminar. Opportunities to focus on skill development while receiving constructive assessment and evaluation. Hours to be arranged. Communication 088D and Natural Sciences 088D may not both be counted. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088E","Professional Ethics and Social Responsibility in Research.","Hours to be arranged.  May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088G","Concentration on Science in Public Policy.","Hours to be arranged.  May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088J","Concentration in Science in Public Policy.","Identify and articulate the relevance of scientific scholarship to public policy. Hours to be arranged.  May be repeated for credit. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088L","Introduction to Evidence-Based Teaching.","Designed for graduate students interested in learning to teach science and mathematics effectively in their own courses, rather than as Teaching Assistants. Subjects include defining learning objectives, designing learning tasks, observing classrooms to identify effective teaching strategies, and practice teaching. Intended for graduate students in the College of Natural Sciences. Hours to be arranged. Professional development supplemental to primary studies. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088M","Mentoring Undergraduate Researchers.","Aims to develop graduate students' skills in mentoring undergraduates and other junior participants in STEM research. Explores how to define suitable projects, establish appropriate relationships, set expectations, encourage communication, balance guidance with independence, and address diversity and ethical issues in mentoring. Hours to be arranged. Professional development supplemental to primary studies. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088P","Leading People and Organizations.","Restricted to students in the College of Natural Sciences. Professional development supplemental to primary studies. Designed for graduate students in STEM disciplines. Explores the knowledge and skills necessary for scientists to manage and lead effectively within organizations. Hours to be arranged. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088S","Strategic Management.","Restricted to students in the College of Natural Sciences. Professional development supplemental to primary studies. Designed to help students develop general management skills such as managing change strategically, implementing strategy, and addressing long-term health of an organization. Hours to be arranged.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088T","Mentored Teaching.","Designed for graduate students who have completed NSC- 088L Introduction to Evidence-Based Teaching, or its equivalent. Each student will design, teach, and conduct assessment of an instructional unit (~3 hours of class time) in an undergraduate CNS course, working in collaboration with the faculty member acting as instructor of record. Intended for graduate students in the College of Natural Sciences. Hours to be arranged. Professional development supplemental to primary studies. May be repeated with consent of instructor. May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 088V","STEM Professional Development.","Hours to be arranged.  May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 098D","Investigating Career Options for STEM Advanced Degrees.","Hours to be arranged.  May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing.","Graduate Courses"
"NSC 180, 280, 380, 480, 580, 680","Topics in Research for Independent Study.","Produce group and individual projects in research design, research methodologies, and research execution. Practice in a professional position under supervision. For each semester hour of credit earned, the equivalent of one lecture hour a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of instructor.","Professional Courses"
"NTR 306 (TCCN: BIOL 1322, HECO 1322)","Fundamentals of Nutrition.","Essential food components and their functions in life processes. Three lecture hours a week for one semester. Only one of the following may be counted: Nutrition 306 , 312 , 312H . Nutrition 306 may not be counted toward a nutritional sciences degree.","Lower-Division Courses"
"NTR 307","Introductory Food Science.","Application of the principles of food chemistry to processing and preparation techniques. Three lecture hours a week for one semester. Prerequisite: For nutrition majors: Nutrition 312 or 312H with a grade of at least C-, and credit or registration for 107L ; for others: Nutrition 306 , 312 , or 312H with a grade of at least C-.","Lower-Division Courses"
"NTR 107L","Introductory Food Science Laboratory.","Three laboratory hours a week for one semester. Prerequisite: Credit or registration for Nutrition 307 .","Lower-Division Courses"
"NTR 312","Introduction to Nutritional Sciences.","Biochemical, physiological, and cellular functions of energy macronutrients, vitamins and minerals, and the scientific basis for current dietary and nutrient recommendations. Designed for science majors. Three lecture hours a week for one semester. Only one of the following may be counted: Nutrition 306 , 312 , 312H . Prerequisite: Chemistry 301 with a grade of at least C-; Statistics and Data Sciences 302 , 302F , or 320E with a grade of at least C-; and credit or registration for Biology 311C and Chemistry 302 .","Lower-Division Courses"
"NTR 312H","Introduction to Nutritional Sciences: Honors.","Restricted to honors eligible majors in nutritional sciences, biology, biochemistry, and students in the Dean's Scholars Honors Program. Biochemical, molecular, and cellular functions of nutrients with emphasis on primary scientific literature and current methodology. Three lecture hours a week for one semester. Only one of the following may be counted: Nutrition 306 , 311 , 312 , 312H . Prerequisite: The following coursework with a grade of at least C- in each: Chemistry 301 ; and Mathematics 408C or 408n, or the equivalent; and credit or registration for Biology 311C or 315H , and Chemistry 302 .","Lower-Division Courses"
"NTR 112L","Introduction to Nutritional Science Laboratory.","Collection and evaluation of dietary intake data, nutrient composition of food, and survey of dietetic practice. Three laboratory hours a week for one semester. Prerequisite: Chemistry 301 with a grade of at least C-; credit or registration for Biology 311C , Chemistry 302 , and Nutrition 312 ; and one of the following with a grade of at least C-: Mathematics 408C , 408D , 408N , Statistics and Data Sciences 302 , 304 , 306 , 325H , 328M .","Lower-Division Courses"
"NTR 312R","Research in Nutritional Sciences.","Restricted to honors eligible majors in nutritional sciences, biology, biochemistry, and students in the Dean's Scholars Honors Program. Introduction to biochemical and molecular biological techniques, enzyme and coenzyme assays, dietary analysis and assessment protocols, and statistical methods in nutritional sciences. Preparation of a scholarly paper and oral presentation of research findings. One lecture hour and six laboratory hours a week for one semester. Nutrition 112L and 312R may not both be counted. Prerequisite: The following coursework with a grade of at least C- in each: Chemistry 301 ; and Mathematics 408C or 408N , or the equivalent; and credit or registration for Biology 311C or 315H , Chemistry 302 , and Nutrition 312H .","Lower-Division Courses"
"NTR 315","Nutrition through the Life Cycle.","Adapting nutrition recommendations to physiological changes throughout the life span. Three lecture hours a week for one semester. Prerequisite: Nutrition 306 , 312 , or 312H with a grade of at least C-.","Lower-Division Courses"
"NTR 316","Culture and Food.","Influence of culture on foodways around the world. Three lecture hours a week for one semester. Prerequisite: Nutrition 306 , 312 , or 312H with a grade of at least C-.","Lower-Division Courses"
"NTR 317L","Introduction to Nutrition Assessment and Education.","Explore the fundamentals of nutrition assessment, nutrition education, and behavior change theories as well as their application to the care of individuals and groups in community and clinical settings. Analyze the use of anthropometric, biochemical, clinical, and dietary intake data assessments for effective care of individuals. Identify strategies for successful development and implementation of nutrition education planning using behavior change theory as the guide for development. Two lecture hours and four laboratory hours a week for one semester. Prerequisite: Nutrition 312 with at least a grade of C-.","Lower-Division Courses"
"NTR 218","Assessment of Nutritional Status.","Assessment of nutritional status using anthropometric, biochemical, clinical, and dietary intake data, and development and implementation of effective care for individuals. Two lecture hours a week for one semester. Prerequisite: Nutrition 312 with a grade of at least C-; and credit or registration for Nutrition 118L","Lower-Division Courses"
"NTR 118L","Assessment of Nutritional Status Laboratory.","Three laboratory hours a week for one semester. Prerequisite: Credit or registration for Nutrition 218 .","Lower-Division Courses"
"NTR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","Topics in Nutrition.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the School of Human Ecology. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Lower-Division Courses"
"NTR 321","International Nutrition: The Developing World.","Nutrition-related issues in the developing world, including nutrient deficiency and disease, concerns in vulnerable populations (pregnancy, infancy, childhood, and old age), and food aid. Three lecture hours a week for one semester. Prerequisite: Nutrition 306 , 312 , or 312H with a grade of at least C-.","Upper-Division Courses"
"NTR 324","Advanced Food Science.","Application of the principles of food chemistry to the development of food products. Three lecture hours a week for one semester. Offered in the spring semester only. Prerequisite: Chemistry 320M , Nutrition 307 , 107L , and 326 with a grade of at least C- in each; and credit or registration for Nutrition 124L .","Upper-Division Courses"
"NTR 124L","Advanced Food Science Laboratory.","Individual research project on food product development and evaluation. Three laboratory hours a week for one semester. Offered in the spring semester only. Prerequisite: Credit or registration for Nutrition 324 .","Upper-Division Courses"
"NTR 326","Intermediate Nutrition and Metabolism.","Integration of nutrition, genetics, cell biology, and molecular biology. Focuses on the cellular and molecular basis of nutrition-related diseases and nutrient-gene interactions. Three lecture hours and one discussion hour a week for one semester. Prerequisite: The following coursework with a grade of at least C- in each: Biology 311C and Nutrition 312 ; and credit or registration for Chemistry 320M .","Upper-Division Courses"
"NTR 126L","Nutritional Sciences Laboratory.","Basic laboratory techniques in nutritional sciences. Three laboratory hours a week for one semester. Prerequisite: Credit or registration for Nutrition 326 .","Upper-Division Courses"
"NTR 327L","Advanced Food Science Laboratory.","Apply fundamentals of nutrition science, food science, and chemistry to scientific research in creating a novel food product for a chosen target audience. Explore food science, food research and development, fundamentals of nutrition, ingredient functionality, food product sensory evaluation, scientific inquiry, study design, and science communication. Design and execute a scientific study by engineering a unique food product, create scientific abstracts, and create and participate in scientific poster sessions. One lecture hour and five laboratory hours a week for one semester. Prerequisite: Nutrition 307 , 107L , 326 , and 337 with a grade of at least C-.","Upper-Division Courses"
"NTR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","Topics in Nutrition.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the School of Human Ecology. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"NTR 330","Nutrition Education and Counseling.","Application of counseling and learning theories to the care of individuals and groups in community and clinical settings. Three lecture hours and one additional class hour a week for one semester. Prerequisite: Nutrition 315 and 326 with a grade of at least C- in each.","Upper-Division Courses"
"NTR 330L","Advanced Nutrition Assessment and Counseling.","Examine the fundamentals and application of nutrition assessment, nutrition education, counseling, and behavior change theories to the care of individuals and groups in community and clinical settings. Explore the use of nutrition focused physical exam, nutrition care process standardized language, anthropometric, biochemical, clinical, and dietary intake data assessments for effective care of individuals. Identify the implementation of nutrition counseling techniques and communication skills through the understanding of behavior change in individuals. Two lecture hours and four laboratory hours a week for one semester. Prerequisite: Nutrition 317L with a grade of at least C-; credit or registration in Nutrition 315 ; credit or registration in Nutrition 326","Upper-Division Courses"
"NTR 331","International Nutrition: Social and Environmental Policies.","Explores the nutritional concerns of different countries, environmental aspects of food supply, and social policies needed to balance supply with demand in a sustainable manner. Three lecture hours a week for one semester. Nutrition 331 and 360 (Topic: International Nutrition: Social and Environmental Policies) may not both be counted. Prerequisite: Upper-division standing, and Nutrition 306 , 312 , or 312H with a grade of at least C-.","Upper-Division Courses"
"NTR 332","Community Nutrition.","National and international issues in public health and nutrition programs. Three lecture hours a week for one semester. Prerequisite: The following coursework with a grade of at least C- in each course: Nutrition 312 or 312H ; 315 ; and 326 .","Upper-Division Courses"
"NTR 334","Foodservice Systems Management.","Procurement, production, and service delivery in foodservice systems. Three lecture hours a week for one semester. Prerequisite: For nutrition majors: Nutrition 307 , 107L , and 326 with a grade of at least C- in each, and credit or registration for Nutrition 234L ; for others: Nutrition 307 with a grade of at least C-, and one of the following with a grade of at least C-: Nutrition 306 , 312 , or 312H .","Upper-Division Courses"
"NTR 234L","Laboratory in Foodservice Systems.","Six laboratory hours a week for one semester. Prerequisite: Credit or registration for Nutrition 334 .","Upper-Division Courses"
"NTR 337","Principles of Epidemiology in Nutritional Sciences.","Introduction the role of epidemiology methods as the basis for selection of study design and data collection tools in nutrition research such as dietary tools, biomarkers of diet or disease, and anthropometric measurements like obesity. Emphasis on interpretation of study results in nutrition research. Three lecture hours per week for one semester.  Offered on the letter-grade basis only. Prerequisite: Credit with a grade of at least C- or registration for Nutrition 312H or 326 , and one of the following with a grade of at least C-: Statistics and Data Sciences 302 (or Statistics and Scientific Computation 302 ), 304 (or Statistics and Scientific Computation 304 ), 306 (or Statistics and Scientific Computation 306 ), 325H (or Statistics and Scientific Computation 325H ), or 328M (or Statistics and Scientific Computation 328M ).","Upper-Division Courses"
"NTR 338H","Issues in Nutrition and Health: Honors.","Restricted to honors majors in biology, biochemistry, and nutritional sciences, and students in the Dean's Scholars honors program. Identifying, reading, analyzing, writing, and presenting scientific research on selected subjects in nutrition and human health. Detailed literature review as preparation for an honors research thesis. Three lecture hours a week for one semester. Nutrition 338H and 338W may not both be counted. Prerequisite: Biology 325 or 325H ; Nutrition 312H and 312R ; one of the following: Statistics and Data Sciences 302 , 303 , 304 , 305 , or 325H ; and credit or registration for Biology 365S .","Upper-Division Courses"
"NTR 338W","Issues in Nutrition and Health.","Identifying, reading, analyzing, writing, and presenting scientific research on selected topics in nutrition and human health. Three lecture hours a week for one semester. Nutrition 338H and 338W may not both be counted. Prerequisite: Upper-division standing; Nutrition 126L and 326 with a grade of at least C- in each; and one of the following with a grade of at least C-: Statistics and Data Sciences 302 , 302F , or 320E .","Upper-Division Courses"
"NTR 339L","Experimental Methods and Design in Nutritional Sciences.","Explore nutritional sciences methods and research. Examine overall study design, observational and intervention studies, animal and cell-based research in nutritional sciences, nutritional research assessment methods (such as dietary assessment and biomarkers), and research ethics. Practice assessing and interpreting research findings to evaluate scientific research in nutritional sciences and nutritional epidemiology. Three lecture hours a week for one semester Prerequisite: Nutrition 126L and 326 with a grade of at least C-, and credit or registration for Statistics and Data Sciences 324E","Upper-Division Courses"
"NTR 342","Advanced Nutritional Sciences.","Biochemical and molecular biological aspects of carbohydrate, fat, and amino acid metabolism. Three lecture hours and one discussion hour a week for one semester. Prerequisite: Upper-division standing; and Nutrition 326 and Biology 325 with a grade of at least C- in each; and credit or registration for Biochemistry 369 .","Upper-Division Courses"
"NTR 343","Vitamins and Minerals.","Biomedical, cellular and molecular, and clinical aspects of vitamins, minerals, and water. Three lecture hours a week for one semester. Only one of the following may be counted: Nutrition 343 , 344 , 365 (Topic 1). Prerequisite: Upper-division standing and Nutrition 342 with a grade of at least C-.","Upper-Division Courses"
"NTR 144M","Advanced Nutrition II Laboratory.","Advanced laboratory techniques in nutrition assessment and research. Three laboratory hours a week for one semester. Offered in the spring semester only. Prerequisite: Consent of instructor.","Upper-Division Courses"
"NTR 245C","Clinical Practice in Medical Nutrition Therapy I.","Application of principles of medical nutrition therapy to the care of clients in the practice setting. Nine hours of supervised practice a week for one semester. Prerequisite: Nutrition 370 with a grade of at least C-, credit or registration for Nutrition 371 , and admission to the Coordinated Program in Dietetics.","Upper-Division Courses"
"NTR 345M","Clinical Practice in Medical Nutrition Therapy II.","Application of principles of medical nutrition therapy to the care of patients in health care facilities. Forty hours of supervised practice a week for four weeks. Prerequisite: Nutrition 245C and 371 with a grade of at least C- in each. Students must register for Nutrition 372C in the same semester.","Upper-Division Courses"
"NTR 152, 252, 352","Field Experience in Nutrition.","For each semester hour of credit earned, three field placement hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Approval of application for field experience. Applications are available in the department office.","Upper-Division Courses"
"NTR 353","Field Experience in International Nutrition.","Supervised study abroad experience designed to help students understand nutrition science issues, applications, related health care practices in a global environment, and other cultures. Students work in schools, hospitals, or similar settings to gain professional experience with food science and dietetics. Five lecture hours and ten field hours a week for five weeks. Prerequisite: Nutrition 306 , 312 , or 312H with a grade of at least C-; and approval of an application to study abroad.","Upper-Division Courses"
"NTR 155, 255, 355, 455","Undergraduate Research in Nutrition.","Supervised individual undergraduate research in nutrition. For each semester hour of credit earned, at least three laboratory hours a week for one semester. May be repeated for credit, but no more than four semester hours may be counted toward a degree in nutrition. Any additional hours must be taken on the pass/fail basis. Nutrition 355 and 355H may not both be counted. Prerequisite: Consent of instructor.","Upper-Division Courses"
"NTR 355H","Honors Research.","Restricted to honors eligible majors in nutritional sciences, biology, biochemistry, and students in the Dean's Scholars Honors Program. Research in biological, biochemical, or nutritional science, coordinated with readings of scientific literature, and a written research report for each semester in which credit is sought. Nutrition 355 and 355H may not both be counted. May be repeated for credit, but no more than nine semester hours may be counted toward the major in nutrition. Any additional hours must be taken on the pass/fail basis. Prerequisite: Biology 325 or 325H ; Nutrition 312H and 312R ; and approval of research supervisor.","Upper-Division Courses"
"NTR 355M","Advanced Food Systems Management.","Financial control, quality assurance, personnel administration, foodservice equipment, layout and design in foodservice operations. Analysis and evaluation of an organized foodservice operation. Three lecture hours and four hours of supervised practice a week for one semester. Prerequisite: Accounting 310F or 311 , and Nutrition 334 and 234L , with a grade of at least C- in each.","Upper-Division Courses"
"NTR 360","Selected Topics in Applied Nutrition.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Varies with the topic.","Upper-Division Courses"
"NTR 162","Standards, Ethics, and Credentialing for Dietetic Practice.","Identification of standards and discussion of current issues in ethics and credentialing for dietetics practice. One lecture hour a week for one semester. Prerequisite: Credit or registration for Nutrition 218 and 118L .","Upper-Division Courses"
"NTR 365","Selected Topics in Nutritional Sciences.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Varies with the topic.","Upper-Division Courses"
"NTR 365L","Experiential Learning in Community Engagement.","Implement hands-on community engagement activities, such as gardening, cooking, and nutrition lessons through the experiential learning laboratory within community/school settings to improve nutrition and health and decrease the incidence of chronic diseases. Apply the fundamental principles of nutrition through activities such as food gardening to planting to maintaining a school garden; work within school cultures/constraints to improve the school nutrition/gardening culture; apply effective communication, classroom management/engagement, and teaching skills in working with the public, community leaders, and administrators; and evaluate nutrition programs in schools. Five laboratory hours a week for one semester. Prerequisite: Nutrition 365 (Topic 5) with a grade of at least C-.","Upper-Division Courses"
"NTR 366L","Research Methods in Nutritional Sciences.","Focuses on state-of-the-art research in nutrition, including biochemistry and molecular biological techniques for nutrient-gene interactions, enzyme and coenzyme functions, and nutrient analysis of biologic materials. Includes data analysis and statistical methods. One lecture hour and six laboratory hours a week for one semester. Prerequisite: Nutrition 126L with a grade of at least C-.","Upper-Division Courses"
"NTR 167","Undergraduate Seminar in Nutritional Sciences.","One lecture hour a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"NTR 370","Medical Nutrition Therapy I.","The role of nutrition in prevention and treatment of chronic disease such as diabetes and heart disease. Three lecture hours a week for one semester. Prerequisite: Nutrition 326 with a grade of at least a C-; and credit with a grade of at least C- or registration for the following: Biology 365S , Biochemistry 369 , and Nutrition 218 and 118L .","Upper-Division Courses"
"NTR 371","Medical Nutrition Therapy II.","Nutritional care of critically ill patients, including techniques of nutrition support. Three lecture hours a week for one semester. Prerequisite: Nutrition 326 with a grade of at least a C-; and credit with a grade of at least C- or registration for the following: Biology 365S , Biochemistry 369 , and Nutrition 218 and 118L .","Upper-Division Courses"
"NTR 372C","Practicum in Clinical Dietetics.","Supervised practice in health care facilities. Forty hours of supervised practice a week for four weeks. Prerequisite: Admission to the Coordinated Program in Dietetics. Students must register for Nutrition 345M in the same semester.","Upper-Division Courses"
"NTR 372F","Practicum in Food Services Systems Management.","Supervised practice in food service facilities. Forty hours of supervised practice a week for four weeks. Prerequisite: Nutrition 245C and 355M with a grade of at least C- in each, and admission to the Coordinated Program in Dietetics. Students must register for Nutrition 373S in the same semester.","Upper-Division Courses"
"NTR 373S","Practicum in Dietetic Administration.","Supervised practice in the administration of food and nutrition programs. Forty hours of supervised practice a week for three weeks. Prerequisite: Admission to the Coordinated Program in Dietetics. Students must register for Nutrition 372F in the same semester.","Upper-Division Courses"
"NTR 374C","Practicum in Community Dietetics.","Supervised practice in one or more community-based nutrition programs. Forty hours of supervised practice a week for five weeks. Prerequisite: Nutrition 345M , 372C , 372F , and 373S with a grade of at least C- in each; and admission to the Coordinated Program in Dietetics.","Upper-Division Courses"
"NTR 374P","Advanced Practicum in Dietetics.","Culminating experience in the practice of administrative, clinical, or community dietetics. Forty hours of supervised practice a week for five weeks. Prerequisite: Nutrition 345M , 372C , 372F , and 373S with a grade of at least C- in each; and admission to the Coordinated Program in Dietetics.","Upper-Division Courses"
"NTR 379H","Honors Tutorial Course.","Supervised individual research on a special topic in nutrition; oral presentation and preparation of a scholarly paper covering the research. May be based on laboratory, library, or field research. Conference course. May be taken twice for credit. May be repeated for credit. Prerequisite: Consent of the student's research supervisor and the departmental honors adviser.","Upper-Division Courses"
"NTR 380K","Research Methods in Nutritional Sciences.","One lecture hour and six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing in nutrition, or graduate standing and consent of instructor.","Graduate Courses"
"NTR 390","Recent Advances in Nutritional Sciences.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of instructor.","Graduate Courses"
"NTR 392","Research Problems in Nutritional Sciences.","One lecture hour and six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of instructor.","Graduate Courses"
"NTR 194, 294, 394","Graduate Seminar in Nutritional Sciences.","One, two, or three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of instructor.","Graduate Courses"
"NTR 397C, 697C","Conference Course in Nutritional Sciences.","For 397C , one lecture hour and six laboratory hours a week for one semester; for 697C , two lecture hours and twelve laboratory hours a week for one semester.  May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Graduate standing and consent of instructor.","Graduate Courses"
"NTR 698","Thesis.","The equivalent of three lecture hours a week for two semesters.  Offered on the credit/no credit basis only. Prerequisite: For 698A , graduate standing in nutrition and consent of the graduate adviser; for 698B , Nutrition 698A .","Graduate Courses"
"NTR 398R","Master's Report.","Preparation of a report to fulfill the requirement for the master's degree under the report option. The equivalent of three lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing in nutrition and consent of the supervising professor.","Graduate Courses"
"NTR 398T","Supervised Teaching in Nutrition.","Teaching under close supervision; group meetings, individual conferences, and reports. Three lecture hours a week for one semester. Prerequisite: Graduate standing and appointment as a teaching assistant.","Graduate Courses"
"NTR 399W, 699W, 999W","Dissertation.","May be repeated for credit. Offered on the credit/no credit basis only. Prerequisite: Admission to candidacy for the doctoral degree.","Graduate Courses"
"O M 320F","Foundations of Operations and Supply Chain Management.","Restricted to non-McCombs School of Business majors.  Three lecture hours a week for one semester. Only one of the following may be counted: Operations Management 320F , 334M , 235 , 235H . Prerequisite: Forty-five semester hours of college coursework.","Upper-Division Courses"
"O M 334M","Healthcare Operations Management.","Overview of healthcare operations management. Focus on process diagramming, vocabulary, and analysis of effects of variability on healthcare operations in terms of increasing waiting lines, inventory, and patient safety issues. Focus on modern process improvement methodologies. Three lecture hours a week for one semester. Only one of the following may be counted: Operations Management 320F , 334M , 235 , 235H . Offered on the letter-grade basis only. Prerequisite: Upper-division standing, and credit or registration for one of the following: Advertising 309R , 344K , Biomedical Engineering 335 , Economics 329 , Educational Psychology 371 , Mathematics 316 , 358K , Statistics 301 , 301H , 309 , 309H , Statistics and Data Sciences 301 , 302 , 302F , 304 , 306 , 320E , 320H , 325H , 328M .","Upper-Division Courses"
"O M 135, 235, 335","Operations Management.","Restricted to students in the McCombs School of Business. The operations or production function and the skills required for analyzing and solving related problems. For each semester hour of credit earned, one lecture hour a week for one semester. Only one of the following may be counted: Operations Management 320F , 334M , 235 , 235H . Offered on the letter-grade basis only. Prerequisite: Credit or registration for Statistics 301 , 301H , 309 or 309H .","Upper-Division Courses"
"O M 235H, 335H","Operations Management: Honors.","Restricted to students in the McCombs School of Business Honors Program. An investigation of the operations or production function, and the skills required for analyzing and solving related problems. The equivalent of one lecture hour a week for one semester. Only one of the following may be counted: Operations Management 320F , 334M , 235 , 235H . Offered on the letter-grade basis only. Prerequisite: Business Administration 324H , Economics 304K and 304L , and Statistics 301 , 301H , 309 or 309H .","Upper-Division Courses"
"O M 338","Supply Chain Modeling and Optimization.","Same as Business Analytics 338 . Restricted to students in a business major. Framing, formulating, and applying quantitative optimization and descriptive models to support supply chain and operations management decisions, using spreadsheets and other software. Requires familiarity with spreadsheets. Three lecture hours a week for one semester. Only one of the following may be counted: Operations Management 337 (Topic 2), 338 , Business Analytics 338 . Offered on the letter-grade basis only. Prerequisite: Operations Management 334M , 235 , or 235H .","Upper-Division Courses"
"O M 140S, 240S, 340S, 440S, 540S, 640S, 740S, 840S, 940S","Topics in Operations Management.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office or the school's BBA Exchange Programs. Credit is recorded as assigned by the study abroad adviser in the Department of Information, Risk, and Operations Management. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"O M 350","Digital Transformation of Supply Chain Management.","Restricted to students in a business major. Study strategic frameworks for facilitating the digital transformation of supply chains and operations management to align with a firm's business model. Explore the tactical deployment of digital capabilities and the use of data analytics to transform operational processes to improve efficiency, quality, and timing. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Operations Management 235 , 235H or 334M .","Upper-Division Courses"
"O M 360","Procurement and Supplier Management.","Same as International Business 372T (Topic 2). Restricted to students in a business major. Explore strategic issues in procurement and supplier management; a review of competitive analysis and benchmarking; the purchasing role in fulfilling a firm's operational and competitive strategies; supplier evaluation, development, and relationship management; negotiating with suppliers for results; and commodity planning. Three lecture hours a week for one semester. Only one of the following may be counted: International Business 372 (Topic: Procurement/Supplier Mgmt), 372 (Topic 13), 372T (Topic 2), Operations Management 337 (Topic 3), 360 . Prerequisite: Operations Management 334M , 235 or 235H with a grade of at least C-.","Upper-Division Courses"
