"subject","level","description","course_code","course_name","credits"
"Anthropology","Undergraduate","Terms offered: Summer 2025 Second 6 Week SessionThis course explores vernacular art, music, religion, and folklore from the overlapping regions of the Gulf of Mexico and Greater Caribbean. Students will learn about syncretic traditions that were forged under colonialism and the slave trade in places including Cuba, Haiti, and Louisiana. Students will engage modes of expression ranging from décima poetry to carnical masking, from funeral rituals to blues improvisation, with an eye to understanding","ANTHRO 161AC","Creole Tradition","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2025, Spring 2024, Fall 2021Special topics in folklore or ethno-musicology.","ANTHRO 162","Topics in Folklore","4 Units"
"Anthropology","Undergraduate","Terms offered: Summer 2025 Second 6 Week Session, Summer 2024 Second 6 Week Session, Summer 2023 Second 6 Week SessionThis course examines the complex relationships between language, culture, and society. The materials in the course draw on the fields of linguistic anthropology, linguistics, sociolinguistics, philosophy of language, discourse analysis, and literary criticism to explore theories about how language is shaped by, and in turn shapes, our understandings about the world, social","ANTHRO 166","Language, Culture, and Society","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2024This course provides an advanced introduction to key conceptual work in the anthropology of science, technology, and knowledge production. The course examines how truth-effects are produced in the world, and how people know what we know. It explores the social and political arrangements “built into” or materialized through the infrastructures and objects that help structure lives in the U.S. and globally. It asks how new information technology, media platforms, and","ANTHRO 168","Anthropology of Science, Technology and Data","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2010This course capitalizes on a successful approach of using definitional formulas to emphasize concepts of statistics, rather than rote memorization in both qualitative and quantitative anthropology. This conceptual approach constantly reminds the students of the logic behind what they are learning. Procedures are taught verbally, numerically, and visually, to reach students with different learning styles.","ANTHRO 169A","Data Analysis and Computational Methods","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023Introduction to research problems and research design techniques. Will involve local field research on the collection, analysis, and presentation of data. This course requires 15 hours of work per week including class time, outside work and preparation. One section meeting per week will be required.","ANTHRO 169B","Research Theory and Methods in Socio-Cultural Anthropology","5 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2022, Spring 2022, Fall 2021This course provides an introduction to selected theories and methods in Linguistic Anthropology, with a focus on topics of relevance to ethnographic fieldwork. Readings and lectures are organized into three modules: Linguistic categories and their consequences for thought, the effects of social context on meaning, and the empirical basis of research on language.","ANTHRO 169C","Research Theory and Methods in Linguistic Anthropology","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2024, Fall 2023, Fall 2021Chinese culture and society with an emphasis on the village level.","ANTHRO 170","China","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2025, Spring 2024, Summer 2023 Second 6 Week SessionThis course offers an introductory survey of Japan from a four-field anthropological perspective. It is open without prerequisite to anyone with a curiosity about what is arguably the most important non-Western society of the last 100 years, and to anyone concerned about the diverse conditions of modern life. We will range over many aspects of contemporary Japan, and draw on scholarship in history, literature, religion","ANTHRO 171","Japan","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2022, Spring 2017, Summer 2016 First 6 Week SessionCombining historical archaeology, ethnohistory, and ethnography, this course will take account of ethnic groups and their interaction in early colonial California; Native Americans; mission, presidio, pueblo, and rancho communities of Spanish/Mexican California; Russian frontier society at Fort Ross; and American expansion into California, especially the Gold Rush. The course will also examine how the colonial past affects","ANTHRO 174AC","California Historical Anthropology","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2024, Fall 2023, Spring 2023An introduction to the anthropological study of Maya people in Southern Mexico, Guatemala, and Belize. The course focuses on certain parts of the Maya region, emphasizing selected themes and problems. We will explore regional history through the development of Maya studies and the historical transformations of Maya societies. These themes will be traced through studies of the Classic Maya, the Spanish conquest and colonization, indigenous resistance","ANTHRO 179","Ethnography of the Maya","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2017, Fall 2014, Spring 2013Representative groups in historical and modern perspective. Rural-urban relationships and the dynamics of change.","ANTHRO 180","European Society","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2025, Spring 2022, Fall 2018Cultures of the contemporary Near East, with special emphasis upon Arab populations.","ANTHRO 181","Themes in the Anthropology of the Middle East and Islam","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2025, Fall 2024, Summer 2018 First 6 Week SessionThe course will focus on African societies and cultures, as well as on issues relating to the history of Africanist anthropology. Images and constructs of Africa or Africans will thus be contextualized in relation to prevailing anthropological theories at different times, and in different regions of the continent.","ANTHRO 183","Topics in the Anthropological Study of Africa","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2022, Spring 2016, Fall 2014Cultural traditions, social organization, and social change, with an emphasis on India and Pakistan.","ANTHRO 184","South Asia","4 Units"
"Anthropology","Undergraduate","Terms offered: Spring 2025, Spring 2023, Spring 2000This course highlights Southeast Asia as an important region for the study of politics and power from an anthropological perspective. It sheds light on how notions of “power” stemming from the unique political histories of Southeast Asia might help us rethink its role in governmentality, knowledge-producing practices, and in creating the conditions for political legitimacy. We will examine how various forces shaped what power came to be in","ANTHRO 186","Power and Politics in Southeast Asia","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Various topics covering current research theory, method; issues of social and cultural concern; culture change, conflict, and adaptation. May combine more than one subdiscipline of Anthropology.","ANTHRO 189","Special Topics in Social/Cultural Anthropology","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2021, Spring 2021, Spring 2016Special topics in cultural anthropology which meet the area requirement for the major.","ANTHRO 189A","Special Topics in Cultural Anthropology/Area","4 Units"
"Anthropology","Undergraduate","Terms offered: Summer 2023 Second 6 Week Session, Fall 2017, Spring 2017Systematic readings in history and modern theory, collection and analysis of research materials, and the preparation of an honors thesis. Group or individual tutorials.","ANTHRO H195A","Senior Honors","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2020, Spring 2018, Spring 2017Systematic readings in history and modern theory, collection and analysis of research materials, and the preparation of an honors thesis. Group or individual tutorials.","ANTHRO H195B","Senior Honors","4 Units"
"Anthropology","Undergraduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Seminar for the advanced study of the subject matter of a previously given upper division course, emphasizing reading and discussion.","ANTHRO 196","Undergraduate Seminar","4 Units"
"Anthropology","Undergraduate","Terms offered: Summer 2017 10 Week Session, Fall 2015, Fall 2014Individual field experience sponsored by a faculty member; written reports required.","ANTHRO 197","Fieldwork","1 - 12 Units"
"Anthropology","Undergraduate","Terms offered: Summer 2024 Second 6 Week Session, Spring 2024, Fall 2022Undergraduate research by small groups.","ANTHRO 198","Directed Group Study","1 - 4 Units"
"Anthropology","Undergraduate","Terms offered: Summer 2023 10 Week Session, Summer 2023 First 6 Week Session, Summer 2022 First 6 Week SessionSupervised independent study and research.","ANTHRO 199","Supervised Independent Study","1 - 4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Advanced topics in biological anthropology, including both contemporary and ancestral human populations, such as biology of the life course, health and disease, violence and trauma, cognition and symbolic communication, and other anthropological topics viewed from the perspective of human biology.","ANTHRO 210","Special Topics in Biological Anthropology","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2019, Spring 2018, Spring 2016This course juxtaposes discourse analysis and approaches to health and biomedicine, querying how ideologies of language and communication provide implicit foundations for work on health, disease, medicine, and the body and how biopolitical discourses and practices inform constructions of discourse.","ANTHRO 217","Discourse and of the Body","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2024, Fall 2018, Fall 2014Comparative study of mental illness and socially generated disease: psychiatric treatment, practitioners, and institutions.","ANTHRO 219","Topics in Medical Anthropology","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2018, Spring 2017, Spring 2016","ANTHRO 221","Pre-Columbian Central America","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2024, Fall 2020, Spring 2019Historical archaeology seminar. Subject matter will vary from year to year.","ANTHRO 227","Historical Archaeology Research","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2013, Fall 2011, Fall 2009Various topics and issues in the methods of archaeological analysis and interpretation: style, ceramics, architectural analysis, lithic analysis, archaeozoology, etc.","ANTHRO 228","Archaeological Method","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2022Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters.","ANTHRO 229A","Archaeological Research Strategies: History of Theory in Anthropological Archaeology","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Fall 2023, Spring 2021Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters.","ANTHRO 229B","Archaeological Research Strategies: Research Design","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2014, Fall 2010, Fall 2009This seminar is intended to guide students in the definition of a field within archaeology, from initial conceptualization to writing of a field statement, dissertation chapter, or review article.","ANTHRO 229C","Writing the Field Statement in Archaeology","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Fall 2024, Spring 2024","ANTHRO 230","Special Topics in Archaeology","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2023, Spring 2011, Spring 2009This advanced seminar course explores how we reconstruct past lifeways from archaeological skeletal remains. It deals with the skeletal biology of past populations, covering both the theoretical approaches and methods used in the analysis of skeletal and dental remains.","ANTHRO 231","Advanced Topics in Bioarchaeology","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2013, Spring 2011This advanced seminar course will discuss influences on bone health and maintence from a unique biocultural and evolutionary perspective.","ANTHRO 232","Advanced Topics in Bone Biology: Biocultural and Evolutionary Perspectives","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2021, Spring 2013, Spring 2012Contemporary issues in museum studies from an anthropological perspective.","ANTHRO 235","Special Topics in Museum Anthropology","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anth","ANTHRO 240A","Fundamentals of Anthropological Theory","5 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Spring 2024, Spring 2023Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural","ANTHRO 240B","Fundamentals of Anthropological Theory","5 Units"
"Anthropology","Graduate","Terms offered: Spring 2023, Fall 2021, Fall 2019","ANTHRO 250A","Seminars in Social and Cultural Anthropology: Psychological Anthropology","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2022, Fall 2018, Fall 2017","ANTHRO 250E","Seminars in Social and Cultural Anthropology: Anthropology of Politics","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2011, Fall 2003","ANTHRO 250F","Seminars in Social and Cultural Anthropology: Religion","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2011, Fall 1999, Fall 1996","ANTHRO 250G","Seminars in Social and Cultural Anthropology: Anthropology of Ethics","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2017, Spring 2017, Fall 2016","ANTHRO 250J","Seminars in Social and Cultural Anthropology: Ethnographic Field Methods","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Spring 2013","ANTHRO 250N","Seminars in Social and Cultural Anthropology: Classic Ethnography","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Spring 2023, Fall 2020","ANTHRO 250R","Seminars in Social and Cultural Anthropology: Dissertation Writing","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2023, Spring 2022, Spring 2021","ANTHRO 250V","Seminars in Social and Cultural Anthropology: Tourism","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Spring 2025, Fall 2024","ANTHRO 250X","Seminars in Social and Cultural Anthropology: Special Topics","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025What grounds authority? The notion of authority – whether it be epistemological, scientific, political, religious, or divine – is in some ways linked to questions of power: the power to author and to authorize. But on what basis do we give credit to this power, and how are we moved? In asking what moves us to give, this graduate seminar touches on a key humanistic concern. Why is it that power can be produced, but authority can only be given? Why does a question concerning","ANTHRO 250Z","The Enigma of Authority","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2023, Fall 2022, Fall 2014, Fall 2013This course provides a strong foundation for graduate work in STS, a multidisciplinary field with a signature capacity to rethink the relationship among science, technology, and political and social life. From climate change to population genomics, access to medicines and the impact of new media, the problems of our time are simultaneously scientific and social, technological and political, ethical and economic","ANTHRO C254","Topics in Science and Technology Studies","3 Units"
"Anthropology","Graduate","Terms offered: Spring 2011, Summer 2006 10 Week Session, Spring 2006This course examines a broad range of theories that elucidate the formal, structural, and contextual properties of narratives in relation to gestures, the body, and emotion; imagination and fantasy; memory and the senses; space and time. It focuses on narratives at work, on the move, in action as they emerge from the matrix of the everyday preeminently, storytelling in conversation--as key to folk genres--the folktale, the","ANTHRO C261","Theories of Narrative","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2023, Fall 2022This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in","ANTHRO C262A","Theories of Traditionality and Modernity","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This seminar explores the emergence of notions of tradition and modernity and their reproduction in Eurocentric epistemologies and political formations. It uses work by such authors as Anderson, Butler, Chakrabarty, Clifford, Derrida, Foucault, Latour, Mignolo, Pateman, and Poovey to critically reread foundational works published between the 17th century and the present--along with philosophical texts with which they are in dialogue--in terms","ANTHRO C262B","Theories of Traditionality and Modernity","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2010","ANTHRO 270A","Seminars in Linguistic Anthropology: Semantics","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2022, Fall 2017, Fall 2014Intensive introduction to the study of language as a cultural system and speech as socially embedded communicative practice. This is the core course for students wishing to take further coursework in linguistic anthropology.","ANTHRO 270B","Seminars in Linguistic Anthropology: Fundamentals of Language in Context","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Spring 2024, Spring 2023, Spring 2022, Spring 2017, Spring 2016, Spring 2015This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work.","ANTHRO C273","Science and Technology Studies Research Seminar","3 Units"
"Anthropology","Graduate","Terms offered: Spring 2021, Spring 2020, Fall 2012Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","ANTHRO 280B","Seminars in Area Studies: Africa","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2017, Spring 2013, Fall 2010Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","ANTHRO 280C","Seminars in Area Studies: South Asia","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2016, Spring 2015, Spring 2012Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","ANTHRO 280D","Seminars in Area Studies: China","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2008, Fall 1999, Spring 1998Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","ANTHRO 280X","Seminars in Area Studies: Special Topics in Area Studies","4 Units"
"Anthropology","Graduate","Terms offered: Fall 2025, Spring 2025, Fall 2024Required each term of all registered graduate students prior to their advancement to Ph.D. candidacy.","ANTHRO 290","Survey of Anthropological Research","1 Unit"
"Anthropology","Graduate","Terms offered: Spring 2025, Fall 2024, Spring 2024Required each term of all registered graduate students in Anthropology specializing in archaeology prior to their advancement to Ph.D. candidacy.","ANTHRO 291","Professional Development in Anthropological Archaeology","1 Unit"
"Anthropology","Graduate","Terms offered: Spring 2023, Spring 2021Collaboration in ethnographic praxis on a local and global scale in folkloristics, sociocultural, linguistic, media, and medical anthropology, producing projects grounded in meaningful engagement with communities. Graduate students, working with lay mentors and faculty, will design and begin implementation of projects that break through infrastructures of theory, research, pedagogy, and practice that reproduce racial hierarchies and that erase anti-racist","ANTHRO 292","Experiments in Collaboration and Reciprocal Transformation","4 Units"
"Anthropology","Graduate","Terms offered: Prior to 2007Collaboration in ethnographic praxis on a local and global scale in folkloristics, sociocultural, linguistic, media, and medical anthropology, producing projects grounded in meaningful engagement with communities. Graduate students, working with lay mentors and faculty, will design and begin implementation of projects that break through infrastructures of theory, research, pedagogy, and practice that reproduce racial hierarchies and that erase anti-racist alter","ANTHRO C292","Experiments in Collaboration and Reciprocal Transformation","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2016, Fall 2015, Spring 2015Practice in original field research under staff supervision. One unit of credit for every four hours of work in the field.","ANTHRO 296A","Supervised Research","2 - 12 Units"
"Anthropology","Graduate","Terms offered: Fall 2018, Spring 2018, Fall 2017Analysis and write-up of field materials.","ANTHRO 296B","Supervised Research","4 Units"
"Anthropology","Graduate","Terms offered: Spring 2025, Spring 2024, Spring 2020Individual conferences intended to provide directed reading in subject matter not covered by available seminar offerings.","ANTHRO 298","Directed Reading","1 - 8 Units"
"Anthropology","Graduate","Terms offered: Spring 2024, Summer 2022 Second 6 Week Session, Summer 2021 First 6 Week SessionIndividual conferences to provide supervision in the preparation of an original research paper or dissertation.","ANTHRO 299","Directed Research","1 - 12 Units"
"Anthropology","Professional course for teachers or prospective teachers","Terms offered: Spring 2022, Spring 2021, Fall 2018Group consultation with instructor. Supervised training with instructor on teaching undergraduates.","ANTHRO 301","Professional Training: Teaching","1 - 6 Units"
"Anthropology","Professional course for teachers or prospective teachers","Terms offered: Fall 2025, Fall 2024, Fall 2023Training in both the logistics and the pedagogical issues of undergraduate teaching.","ANTHRO 375","Graduate Pedagogy Seminar","3 Units"
"Anthropology","Graduate examination preparation","Terms offered: Fall 2018, Spring 2018, Fall 2017In preparation for Ph.D. examinations. Individual study in consultation with adviser. Intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the degree.","ANTHRO 602","Individual Study for Doctoral Students","1 - 12 Units"
"Applied Science and Technology","Graduate","Terms offered: Spring 2025, Spring 2022, Spring 2021, Fall 2019This course explores modern developments in the physics and applications of x-rays and extreme ultraviolet (EUV) radiation. It begins with a review of electromagnetic radiation at short wavelengths including dipole radiation, scattering and refractive index, using a semi-classical atomic model. Subject matter includes the generation of x-rays with synchrotron radiation, high harmonic generation, x-ray free electron lasers, laser-plasma","AST C210","X-rays and Extreme Ultraviolet Radiation","3 Units"
"Applied Science and Technology","Graduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Thin-film nucleation and growth, microstructural evolution and reactions. Comparison of thin-film deposition techniques. Characterization techniques. Processing of thin films by ion implantation and rapid annealing. Processing-microstructure-property-performance relationships in the context of applications in information storage, ICs, micro-electromechanical systems and optoelectronics.","AST C225","Thin-Film Science and Technology","3 Units"
"Applied Science and Technology","Graduate","Terms offered: Spring 2010, Spring 2009, Spring 2007Introduction to partially ionized, chemically reactive plasmas, including collisional processes, diffusion, sources, sheaths, boundaries, and diagnostics. DC, RF, and microwave discharges. Applications to plasma-assisted materials processing and to plasma wall interactions.","AST C239","Partially Ionized Plasmas","3 Units"
"Applied Science and Technology","Graduate","Terms offered: Fall 2023, Spring 2009, Spring 2007, Spring 2002After a brief review of quantum mechanics and semi-classical theories for the interaction of radiation with matter, this course will survey the various spectroscopies associated with the electromagnetic spectrum, from gamma rays to radio waves. Special emphasis is placed on application to research problems in applied and engineering sciences. Graduate researchers interested in systematic in situ process characterization, analysis","AST C295R","Applied Spectroscopy","3 Units"
"Applied Science and Technology","Graduate","Terms offered: Fall 2025, Summer 2025 8 Week Session, Summer 2025 First 6 Week SessionInvestigations of advanced problems in applied science and technology. Sponsored by Engineering Interdisciplinary Studies Center.","AST 299","Individual Study or Research","1 - 12 Units"
"Arabic","Undergraduate","Terms offered: Fall 2025, Summer 2025 8 Week Session, Spring 2025Elementary Arabic introduces students to Modern Standard Arabic and is designed for those with little to no prior knowledge of the language, including its alphabet and sounds. The course is suitable for individuals familiar with Arabic colloquial speech but without formal training in Modern Standard Arabic. The course develops foundational skills in speaking, reading, listening, and writing while building vocabulary, idiomatic","ARABIC 1A","Elementary Arabic","5 Units"
"Arabic","Undergraduate","Terms offered: Fall 2025, Spring 2025, Spring 2024This course is the second semester of elementary Modern Standard Arabic. It focuses on developing skills in speaking, reading, listening, and writing, while expanding vocabulary, idiomatic expressions, and grammar. Students will learn to communicate effectively on topics such as self, family, surroundings, daily routines, past events, and future plans. The course uses task-based and proficiency-oriented methods to enhance language learning","ARABIC 1B","Elementary Arabic","5 Units"
"Arabic","Undergraduate","Terms offered: Summer 2021 8 Week Session, Summer 2020 8 Week Session, Summer 2019 8 Week SessionAn eight-week intensive course intended to teach skills in oral comprehension, speaking, reading, and writing Arabic. Using up-to-date language teaching and proficiency-oriented methodologies, the course also covers the basics of Arabic morphology, syntax, and grammar. While the course's vocabulary is designed to serve the needs of daily conversation in any part of the Arabic speaking world, its","ARABIC 10","Intensive Elementary Arabic","10 Units"
"Arabic","Undergraduate","Terms offered: Summer 2003 10 Week SessionThe course is designed to guide students through Arabic grammar with a systematic treatment of the subject and the use of classical Arabic texts.","ARABIC 11","Arabic for Reading Knowledge","4 Units"
"Arabic","Undergraduate","Terms offered: Summer 2003 10 Week Session, Summer 1997 10 Week SessionPractice in speaking an Arabic dialect.","ARABIC 15","Spoken Arabic","6 Units"
"Arabic","Undergraduate","Terms offered: Spring 2009, Spring 2003Practice in speaking an Arabic dialect.","ARABIC 15B","Spoken Arabic","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023The course teaches skills in speaking, reading, listening, and writing in Modern Standard Arabic and builds vocabulary, idiomatic expressions, and grammar that allows students to further discuss topics related to self and family, community, and environment, offer opinions and speak about a number of topics in detail. Using task-based and proficiency-oriented approaches to foreign language instruction, the course includes regular discussion in Arabic","ARABIC 20A","Intermediate Arabic","5 Units"
"Arabic","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023This course is the second semester of the intermediate level of Modern Standard Arabic. The coursefurther teaches skills in speaking, reading, listening and writing in Arabic and builds vocabulary,expressions and grammar that allow students to discuss topics in detail and develop and supportopinions. Using task-based and proficiency-oriented approaches to foreign language instruction, thecourse includes regular discussion","ARABIC 20B","Intermediate Arabic","5 Units"
"Arabic","Undergraduate","Terms offered: Summer 2021 8 Week Session, Summer 2020 8 Week Session, Summer 2019 8 Week SessionThis course is equivalent to a full year of intermediate level Arabic. It will deepen skills in speaking, comprehending, reading, and writing Modern Standard Arabic.","ARABIC 30","Intermediate Arabic","10 Units"
"Arabic","Undergraduate","Terms offered: Summer 1997 10 Week Session, Summer 1995 10 Week SessionThis course will include grammatical and stylistic analysis of Arabic texts from both the classical and the modern periods. Class will be conducted entirely in Arabic.","ARABIC 50","Advanced Arabic","10 Units"
"Arabic","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2023Intensive reading and analysis of texts of different genres. Guest lectures, films, documentaries, oral presentations, research papers. Formal and informal styles of writing and correspondence. Extensive vocabulary building.","ARABIC 100A","Advanced Arabic","3 Units"
"Arabic","Undergraduate","Terms offered: Spring 2025, Spring 2024, Spring 2023Intensive reading and analysis of texts of different genres. Guest lectures, films, documentaries, oral presentations, research papers. Formal and informal styles of writing and correspondence. Extensive vocabulary building.","ARABIC 100B","Advanced Arabic","3 Units"
"Arabic","Undergraduate","Terms offered: Spring 2024, Fall 2022This course aims to strengthen the student’s skills in aural comprehension, speaking, reading, and writing in Arabic Media. Students will engage with authentic materials like newspapers, magazines, and internet news sites, which will provide them with a deeper understanding of the linguistic properties of Arabic media output, as well as insight into sociolinguistics, critical discourse analysis, and translation issues. The course will include enrichment","ARABIC 103","Media Arabic","4 Units"
"Arabic","Undergraduate","Terms offered: Spring 2021This course is designed for students who wish to concentrate on contemporary prose. Reading and analysis of modern Arabic fiction, including short stories, drama, the novel, and expository prose.","ARABIC 104A","Modern Arabic Prose","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2025, Fall 2024, Fall 2020This course is designed for students who wish to concentrate on Arabic of the classical periods of Arab and Islamic civilization. Reading and analysis of literary texts of various genres, including essays, biography, and travel literature.","ARABIC 104B","Classical Arabic Prose","3 Units"
"Arabic","Undergraduate","Terms offered: Prior to 2007Readings and analysis of 20th-century Arabic poetry.","ARABIC 105A","Modern Arabic Poetry","3 Units"
"Arabic","Undergraduate","Terms offered: Spring 2025, Fall 2017, Fall 2008Readings and analysis of poetry from the pre-Islamic through the classical periods.","ARABIC 105B","Classical Arabic Poetry","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2023, Fall 2022, Spring 2018Readings from the classical historians and geographers and from contemporary scholarship. Development of historiography.","ARABIC 107","Arabic Historical and Geographical Texts","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2024, Spring 2023, Spring 2022Readings in the basic texts of Islam (Qur'an, Huran, Hadith, Sira, commentary) and in theological, mystical, and philosophical texts.","ARABIC 108","Islamic Religious and Philosophical Texts in Arabic","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2015, Fall 2014, Fall 2013This course is designed primarily for majors and prospective majors in Arabic studies. The Classical Periods: A literary-historical survey of Arabic literature from pre-Islamic times to the middle of the thirteenth century, with emphasis on the more important achievements of major Arab authors.","ARABIC 111A","Survey of Arabic Literature (in Arabic)","3 Units"
"Arabic","Undergraduate","Terms offered: Spring 2023, Fall 2022, Fall 2021This course is designed primarily for majors and prospective majors in Arabic studies. The Post-Abbasid and Modern Periods: A literary-historical survey of Arabic literature from the middle of the thirteenth century to the present.","ARABIC 111B","Survey of Arabic Literature (in Arabic)","3 Units"
"Arabic","Undergraduate","Terms offered: Fall 2023, Fall 2021, Fall 2019This course introduces students to a standard colloquial Arabic and the cultures of the region in which it spoken. The colloquial will change based on availability. The focus of the course is on speaking and listening, but also includes readings from printed materials. The course draws on various media including advertisements, theater, and film composed in colloquial style. This course will also expose students to literature composed in colloquial.","ARABIC 115A","Colloquial Arabic","4 Units"
"Arabic","Undergraduate","Terms offered: Spring 2024, Spring 2022, Spring 2020This course introduces students to Egyptian Colloquial Arabic and the cultures of the region in which it is spoken. The focus of the course is on speaking and listening, but also includes readings from printed materials. The course draws on various media including advertisements, theater, and film composed in colloquial style. This course will also expose students to literature composed in colloquial. Moreover, students will study the social","ARABIC 115B","Colloquial Arabic","4 Units"
"Arabic","Undergraduate","Terms offered: Fall 2003Directed study centered upon preparation of an honors thesis.","ARABIC H195","Senior Honors","2 - 4 Units"
"Arabic","Undergraduate","Terms offered: Summer 2000 10 Week SessionInstruction in areas not covered by regularly scheduled courses.","ARABIC 198","Directed Group Study for Upper Division Students","1 - 4 Units"
"Arabic","Undergraduate","Terms offered: Fall 1998Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.","ARABIC 199","Supervised Independent Study and Research","1 - 4 Units"
"Arabic","Graduate","Terms offered: Spring 2014, Spring 2011, Spring 2007Study of selected grammatical phenomena of Arabic based on readings from the classical Arabic grammarians, on the modern study of linguistics in the Arab world, and on the Western grammatical tradition.","ARABIC 200","Arabic Grammatical Tradition","3 Units"
"Arabic","Graduate","Terms offered: Spring 2017, Spring 2015, Spring 2013The history of Arabic from its Semitic antecedents through the formation of the modern dialects.","ARABIC 202","History of Arabic","3 Units"
