title,description,course_code
Developmental Biology Colloquium,-,CELLBIO 830
Internship,Student gains practical experience related to research project by completing an internship. An internship can be completed if it allows them to gain practical experience in a work environment related to their academic training and enhances their overall academic experience. At the completion of the internship submits a report about this experience to their advisor. Requires prior consent from the student's advisor and from the director of graduate studies. Credit/no credit grading only.,CELLBIO 899
Biomolecular Mass Spectrometry,Advanced topics in the mass spectral characterization of biopolymers with an emphasis on protein and DNA analysis. Fundamental and practical aspects of the ionization processes and the instrumentation associated with MALDI- and ESI-Mass spectrometry discussed along with applications of these techniques to structural problems in chemistry and biochemistry. Prerequisite: Chemistry 501 or consent of instructor.,CHEM 506
Chemistry of Biomolecular Interactions,Chemistry of the noncovalent interactions governing biological systems. Topics include: review of biomacromolecules; chemical principles of non-covalent interactions and the use of model systems; experimental methods to determine binding interactions; interactions responsible for molecular recognition in biological systems; and applications in signal regulation. Recommended precursor to Chemistry 518.,CHEM 511
Molecules in Life and Disease,"Molecules are an essential component of life as they dictate our development, enable adaptation to our environment, and carry our thoughts. This course explores the roles of molecules in normal physiological functions and disease states ranging from genetic disorders to those caused by deadly toxins, such as anthraxin toxin. Case studies on bacterial pathogenesis, drug resistance and modern drug development are among the topics that will be discussed. Prerequisites: Organic Chemistry and Introductory Biology or consent of instructor.",CHEM 517
Chemical Biology,"The application of chemical concepts and methods to solving problems in molecular and cell biology, with emphasis on the use of small molecules to elucidate and control information transfer in biological systems. Provides relevant background on both useful chemical tools and new biological targets.",CHEM 518
Inorganic Chemistry,"Bonding and spectroscopy, reactions, transition metal chemistry, main group chemistry, organometallics/catalysis, and solid state.",CHEM 521
Organic Chemistry,"Bonding and structure, stereochemistry, conformational analysis, substitution, addition, and elimination reactions, carbon reactive intermediates, concerted reactions, photochemistry, carbon alkylation, carbonyl addition nucleophilic substitution, electrophilic additions, reduction, cycloadditions, rearrangements, main group organometallics, oxidation.",CHEM 531
Organic Reactions,"Highlights strategic operations that enable selective synthesis of small molecules, including organic ligands, natural products, and molecular probes. Topics include chemical synthesis and retrosynthetic analysis; arrow-pushing mechanisms of polar, radical, transition metal-mediated and pericyclic reactions; protecting groups, oxidation, reduction, enolate reactivity; stereoselective reactions and conformational analysis; cross-coupling transformations.",CHEM 532
Nuclear Magnetic Resonance,"Structural elucidation of organic and inorganic compounds by NMR. Fundamentals of data acquisition (pulse sequences, detection), multidimensional techniques, study of dynamic processes and their application to the determination of structure.",CHEM 533
Organic Synthesis,"Application of organic reactions to the synthesis of structurally and biologically interesting compounds. Topics include synthetic design, retrosynthetic analysis, synthetic methods, and total syntheses of natural products. Prerequisite: Chemistry 532 or consent of instructor.",CHEM 535
Bioorganic Chemistry,"Basic enzymology, mechanisms of enzymatic reactions, cofactors, oxidoreductases, C1 chemistry, carbon-carbon bond formation, carboxylation/decarboxylation, heme, pyridoxal enzymes, thiamine enzymes. Prerequisite: Chemistry 331 or equivalent.",CHEM 536
Organometallic Chemistry and Catalysis,"Introduction to the structure and bonding of organometallic and coordination complexes, stressing the origin of metal-ligand interactions from a molecular orbital theory perspective. Elementary reactions of transition metal complexes and their application to organic synthesis, with special emphasis on catalytic reactions. General concepts of catalysis and the advantages and benefits of catalytic systems.",CHEM 538
Polymer Chemistry,"This course provides the fundamental bases for understanding and comprehending the basic principles associated with the synthesis of polymers using a number of traditional and contemporary polymerization techniques with an emphasis on the mechanisms, kinetics, stereochemistry and resulting properties of the polymers. Students are expected to have a strong foundation in mathematics, physics and chemistry. Recommended prerequisites: Organic Chemistry, Thermodynamics",CHEM 539
Quantum Chemistry,"Foundations and approximate methods in quantum chemistry, with an emphasis on their applications to molecular structure and modeling.",CHEM 541
Quantum Mechanics,"Special emphasis on chemical applications. Topics include: linear algebra, the uncertainty relations, angular momentum, perturbation theory, time-dependent phenomena, molecules in electromagnetic fields, group theory, and electron correlation. Prerequisite: Chemistry 541 or consent of instructor.",CHEM 542
Statistical Thermodynamics,"Introduction to statistical thermodynamics, with an emphasis on ideal systems and selected model approaches to more complex systems, for example, lattice models.",CHEM 543
Statistical Mechanics,Fundamentals of quantum and classical statistical mechanics using the ensemble approach. Introduction of modern techniques and applications including the renormalization group treatment of phase transitions and linear response theory of time-dependent statistical mechanics. Prerequisite: Chemistry 543 or consent of instructor.,CHEM 544
Solid-State and Materials Chemistry,"Introduction to the structure, physical, and electronic properties of solid-state materials.",CHEM 548
Special Topics in Chemistry,Special topics in chemistry and chemistry-related areas. Content varies by instructor.,CHEM 590
Biosensors,"Theory and applications of biosensors. Basic principles of interactions between analytes and bioreceptors and various transduction techniques: optical, electrochemical, ion-selective electrode-based, voltametric, conductometric, and mass-sensitive techniques as well as novel nanotechnology-based biosensing systems including nanosensors, plasmonic nanoprobes, quantum dots, carbon nanotubes, molecular beacons, and molecular sentinel systems. Applications in chemical, environmental, biological and medical sensing. Paired with Biomedical Engineering 567. Prerequisites: senior or graduate standing or instructor's consent.",CHEM 601
Foundations of Nanoscale Science and Technology,"This course is the introductory course for the Graduate Certificate Program in Nanoscience (GPNANO) and is designed to introduce students to the interdisciplinary aspects of nanoscience by integrating important components of the broad research field together.  This integrated approach will cross the traditional disciplines of biology, chemistry, electrical & computer engineering, computer science, and physics.  Fundamental properties of materials at the nanoscale, synthesis of nanoparticles, characterization tools, and self-assembly.  Prerequisites: Physics 152L and Chemistry 101DL or instructor approval.",CHEM 611
"Advances in Photonics (GE, IM)","Overview of photonics techniques and their applications. The course will enhance students' understanding and knowledge of advanced techniques and introduce them to a variety of applications in photonics, the science and technology associated with interactions of light with matter. Photonics techniques include: advanced luminescence, Raman and SERS, optical coherence, advanced microscopy, near-field and confocal methods, remote sensing, and optical biosensing. Applications include: environmental sensing, medical diagnostics, assays using optical detection, optics in multispectral imaging, photonics and solar cells, and nanophotonics. Prerequisite: senior or graduate standing in BME or Chemistry.",CHEM 630
Special Topics in Chemistry,Special topics in chemistry and chemistry related areas. Content varies by instructor.,CHEM 690
Research Orientation Seminar,A survey of departmental research. Required of all entering graduate students in chemistry. Consent of director of graduate studies required.,CHEM 701S
Research,Instruction in methods used in the investigation of original problems. Individual work and conferences. 1 to 6 units each.,CHEM 801
Graduate Training Internship,"Designed to allow graduate student in Chemistry to engage either full- or part-time in internship lab work and doctoral study with external agencies and institutions for credit, when determined necessary for degree completion. Laboratory work and analysis can be conducted at external institution with permission of immediate faculty supervisor. Permission of instructor required.",CHEM 995
Special Topics in Chemistry,Special topics in chemistry and chemistry-related areas. Content varies by instructor.,CHEM 590-1
Special Topics in Inorganic Chemistry,Advanced topics and recent developments in inorganic chemistry.,CHEM 990-2
Special Topics in Organic Chemistry,Advanced topics and recent developments in organic chemistry.,CHEM 990-3
Special Topics in Physical Chemistry,Advanced topics and recent developments in physical chemistry.,CHEM 990-4
Special Topics in Professional Development,"Representative topics include ethics, communication (oral and written), preparation for career in college teaching, preparation for a career in chemical industry, preparation for career in government.",CHEM 990-5
Equity in Early Childhood Programs and Policies,"This course will explore contemporary theories and empirical research that address issues of equity and early childhood development from birth to age 8. We will examine factors related to individuals and systems (e.g., child care, public health, housing, workforce, social services) that impact early childhood development. Students will critically consider the developmental science that has informed early childhood policies and programs; the social, political and economic forces that shape the study of young children and contributed to developmental trajectories that benefit some children while disadvantaging others; the changing roles of families; and the implications of these policies.",CHILDPOL 520S
Community-Based Research on Early Childhood Policy and Practice,"This course provides hands-on experience consulting with early childhood organizations, researching relevant topics, and communicating findings with clear, actionable policy recommendations. Small groups of graduate and advanced undergraduate students will partner with a community organization to answer real-world questions through research and policy analysis. Topics will be proposed by the organization, with students responsible for the approach. Methodology may include literature review, policy review, and collection/analysis of quantitative or qualitative data. Final products will include both written and oral presentation of findings and recommendations tailored to the client.",CHILDPOL 532S
Advanced Child Policy Research Topics,"Topics vary but pertain to the development and social and economic well-being of children and their families. Interdisciplinary in nature and drawing material from disciplines such as sociology, psychology, public policy, economics, and education. An elective course for students pursuing Child Policy Research certificate.",CHILDPOL 590
Advanced Child Policy Research Seminar Topics,Seminar version of Child Policy Research 590.,CHILDPOL 590S
Chinese for Graduate Students,"Completion of a regular Chinese class and a linguistics seminar. Topics vary from linguistics, language acquisition and teaching, and acquisition of a less commonly taught language. Learning Chinese as well as the underlying mechanism of second language acquisition.",CHINESE 781
Chinese for Graduate Students,"Completion of a regular Chinese class and a linguistics seminar. Topics vary from linguistics, language acquisition and teaching, and acquisition of a less commonly taught language. Learning Chinese as well as the underlying mechanism of second language acquisition.",CHINESE 782
Independent Study,"Individual study of language for conducting research involving sources written or spoken in the language. Students have to submit a proposal describing the purported research, types of sources to be analyzed, and kinds of language knowledge or skills they need to be equipped with. Consent of instructor and director of undergraduate studies required.",CHINESE 791
Analog Filmmaking and Darkroom Techniques,Investigation of experimental cinematographic techniques and darkroom processes. Exercises and lab experiments to inform a final project. Suggested prerequisite: Cinematic Arts 356S.,CINE 502S
Documentary and East Asian Cultures,"Focus on documentary films from various regions in East Asia, including China, Taiwan, Korea and Japan, studying the specific historical and social context of each while attending to their interconnected histories and cultures. Emphasis on the ethical implications of documentary in terms of its deployment of visual-audio apparatus to represent different groups of people and beliefs, values and conflicts, both intra- and inter-regionally in East Asia. Special attention paid to the aesthetics and politics of the documentary form in terms of both its production of meanings and contexts of reception.",CINE 511
Memory and Documentary Cinema in Latin America,"Course focuses on work of several leading Latin American filmmakers from Brazil, Chile, Argentina, and Cuba. Explores problems such as construction of memory in the wake of repressive dictatorships, relationship between revolutionary imagination and urban decay in present day Cuba, cinema's potential as a tool for cross-cultural explorations of memory and time, including relationship between past and present and our understanding of 'contemporary.'",CINE 540S
Black Camera: Still and Moving Images,"This course interrogates still and moving images by and about people of African descent. Students enrolled in this course will consider film, photography, and media art. Together, we will examine documentary film, daguerreotype and archival photography, black cinema, and the cultural politics that render production, reception and circulation particular for black subjects.",CINE 545
Transpacific and Global Asia/America: Connecting Divided Histories and Knowledges,"This theory and methodology course introduces texts in Asian American studies and global and critical Asian Studies through the oceanic and archipelagic lens of the transpacific. Explores historical and disciplinary fault lines among Asian Studies, Asian/American Studies through higher ed, as well as entangled and divided histories of Asia and the Americas. Navigates legacies of colonial, cold war, and postcolonial histories between Asia and the Americas. Centers power dynamics of knowledge formation, translation, circulation across divides in history, journalism, academia, literature, films, digital and art works, gaming, community engagement, museums and archives, and law.",CINE 609S
Basic Concepts in Cinema Studies,"Review of theory, methodology, and debates in study of film under three rubrics: mode of production or industry; apparatus or technologies of cinematic experience; text or the network of filmic systems (narrative, image, sound). Key concepts and their genealogies with the field: gaze theory, apparatus theory, suture, indexicality, color, continuity.",CINE 610S
Theories of the Image: The Image in Walter Benjamin,"Returning to Walter Benjamin's Art Work essay and its various sources and revisions, this course will discuss recent engagements with Benjamin's work in cinema, photography, and visual and media studies and will attempt to understand the role and functions of the faculty he coins 'the mimetic' in modern culture. Readings will be drawn from the English translation of Benjamin's Selected Writings, volumes 1-4, and including his work on photography, history, surrealism and his reviews of writers such as Charles Baudelaire. Readings will also include some of Benjamin's own primary sources, such as the writings of Kracauer as well contemporary discussions of Benjamin's work in academic journals.",CINE 612S
Theories of the Visual,"Examines the 'visual' as concept of major concern that traverses the debates of the modern and postmodern periods. Expands from the technological (painting, photography, cinema, television, and computation) to the theoretical and philosophical interpretation of visual culture. Examines major periods: from philosophical critique of visuality in 19th and early 20th c., to the height of cultural theory and criticism up until the 1970s; from the late 20th c. to the contemporary period that includes debates that expand our understanding of visual experience. Ends with introducing work that aims at decentralizing Western thought in the debate.",CINE 618S
Film-philosophers/Film-makers,"Examines intersections between film, critical theory, and continental philosophy, from standpoint of spectatorship. Focuses on different approaches to film theory from a philosophical prism, and on different philosophers addressing film as a mediated visual interpretation of reality, the world, our own bodies, and societies within which we reside. Addresses film-making as an act of philosophical thought—of thinking about the world and representing subject's position within the world. Topics include, existential phenomenology, Deleuzian metaphysics, feminism, semiotics, political theory.",CINE 622S
Questions of National Cinemas,"Films, documentaries, television series, and soap operas produced in mainland China in the post-Mao era. Topics include the history and aesthetics of the cinema, soap operas as the new forum for public debates on popular culture, the emerging film criticism in China, the relationship of politics and form in postrevolutionary aesthetics. (Same as AMES 431 but requires extra assignments.) Research paper required.",CINE 632
Producing Docu-Fiction,"Investigation of hybrid, genre-defying films that question traditional definitions of documentary and fiction. Emphasis on experimental forms, documentary reenactment, mockumentary and dramatized 'true stories.' Exploration of both documentary and fiction production techniques, culminating in the production of a final video project. Same as Visual and Media Studies 340S but with additional graduate level work.",CINE 634S
16mm Film Production,"Hands-on experience with 16mm motion picture film and photography. In-depth exploration of the techniques and aesthetics of film production, including basic screen writing, lighting, story telling, and editing. Each student will produce an individual 16mm film. Same as Visual and Media Studies 362S but with additional graduate level work.",CINE 635S
Expanded Cinema: Cinema Outside the Movie Theater,"This project-based course will explore moving image installation practices beyond the movie theater including alternative public spaces, devices, museums, white cubes and back boxes. The course will simultaneously examine relevant artworks in the context of their diverse histories and attendant theories, from early cinema devices, through works termed as Expanded Cinema around the 1970s, to current new media manifestations. Students will focus on developing moving image installation projects of their own, to be realized at various campus locations. Open to seniors and graduate students. Prerequisite: Two 200-level or above photography or film production classes.",CINE 639S
Citizen Godard,"This course explores the complex interactions of poetics and politics in the films of Jean-Luc Godard, from the French New Wave, through the experimental phase of the Dziga Vertov group, to the recent Histoire(s) du cinéma and Film socialisme. Drawing on a wide range of literary and philosophical texts (Merleau-Ponty, Althusser, Deleuze, Rancière), this seminar situates Godard's work within its intellectual and political contexts, investigating how developments in French culture and thought since 1950 have been reflected in - and sometimes anticipated by - Godard's films. In English with preceptorial available in French.",CINE 642
Narrative Practice in Global Art Cinema,"Advanced in-depth examination of alternative narrative and doc-fiction practices emerging from national cinemas around the world. Intended for advanced undergraduate and graduate students with prior production experience. Screenings and readings related to significant national cinema movements and practitioners will inform production exercises, writing assignments and a final moving image project.",CINE 643SL
Third Cinema,"Exploration of the geopolitics of situatedness and distance as they refer to the film industry, investigating processes of production, distribution, and reception of Hollywood, Third World, and diasporic films, and studying classical and artisanal modes of production in film. Addresses questions of authorship and embodiment; human rights and interventionist filmmaking as they refer themselves to human states of liminality, global movements of populations and capital. Traces the experience of globalization, urbanization, alienation, violence, nostalgia for nature and homeland as represented in the filmic image.",CINE 644S
Black Camera: Still and Moving Images,"This course interrogates still and moving images by and about people of African descent. Graduate students enrolled in this course will consider film, photography, and media art. Together, we will examine documentary film, daguerreotype and archival photography, black cinema, and the cultural politics that render production, reception and circulation particular for black subjects.",CINE 650S
Visiting Filmmaker Master Course: Special Topics,Intensive production courses with visiting filmmaker. Topics vary by semester. May be taken twice.,CINE 685S
Special Topics in Cinematic Arts,"Subjects, areas or themes related to Cinematic Arts.",CINE 690S
Independent Study,Independent Study,CINE 691
Experimental Filmmaking,Graduate level course covering the history of avant-garde in film and video combined with production exercises. This is a graduate level version of Experimental Filmmaking. The graduate students will be required to complete more advanced assignments and additional projects related to experimental filmmaking.,CINE 701S
Producing Docu-Fiction,"Investigation of hybrid, genre-defying films that question traditional definitions of documentary and fiction. Emphasis on experimental forms, documentary reenactment, mockumentary and dramatized 'true stories.' Exploration of both documentary and fiction production techniques, culminating in the production of a final video. Graduate-level assignments and advanced project work expected and developed in consultation with the professor.",CINE 702S
Writing the Short Film,"In-depth study of the short format movie. Development of short film concept and script, including pre-production, storyboarding, and look books. See Enrollment Information section of catalog for prerequisites enforced at registration.",CINE 703S
The Silent Film: An Introduction,"The first thirty-five years of cinema as an emerging art form and mode of communication. Aesthetic, technical, and cultural aspects of the medium will be considered in historical context, from nineteenth-century experiments to nascent narrative conventions and the first disruptive avant-garde movements. Focus is on close reading of relevant films. Graduate course will have an additional final research paper.",CINE 708S
"Video, Art, Politics","This class teaches aspects of conceptual and activist video production within a study of historical work by artists responding to still-current political concerns such as state violence, global pandemics, electoral disenfranchisement, and mass incarceration. With attention to the complex relationships between politics, spectacle, and aesthetics, we will consider contemporary video as cinematic event, gallery exhibition, web stream, art object, broadcast television and social process, or used as act of witness, tactical media intervention, political prank and legal/physical defense strategy. Classwork includes individual and collective video production and extensive group critique. Graduate requirements will include additional weekly readings and screenings.",CINE 711S
Cinematic Authorship,"Theories of authorship continue to generate heated debates. What is at stake in these debates and for whom? This course will consider both the historical and contemporary debates around the controversial notion of authorship as it relates to signature and style. Drawing on film and media theory, literary theory, and philosophy, we will examine how artists explore and challenge the romantic conflation of the author as a stylistic innovator, site of influence, collaborator, and iconoclast. Throughout the semester we will ask: What is an author? What is the impact of stylistic innovation in media culture? And, why does authorship matter?",CINE 716
Sound in Cinema: Sonic Theories in Film and Media,"Examination of historical and contemporary debates on the impact of sound in film and various media. Exploration of how artists, scholars, and theorists challenge conventional assumptions about the relationship between image and sound, and the normalized separation of elements that privilege visual over sonic experience. Analysis of sound's political, aesthetic, philosophical, and theoretical implications, and the impact of stylistic approaches to sound design and innovation. Graduate-level students are expected to delve deeper into sound's scholarly and conceptual aspects through original research.",CINE 718S
Motion Graphics for Film and Video,"An exploration of techniques and theoretical approaches to motion graphics, animation and post-production effects in film and video. Readings and screenings will lead to student-produced exercises through exposure to applications in the Adobe Creative Cloud and digital editing software. Graduate students enrolled in this course, will be asked to complete additional research either in the form of an paper or additional production assignment.",CINE 721S
Creative Non-Fiction Cinema—Representing The Real,"The possibilities and contradictions of documentary practices are our starting point for an investigation of historic film and video works that use formally inventive strategies to represent, re-think, interrogate, or effect reality. Students will engage in video production processes, exploring issues such as power relations between maker, subject and viewer, the ability and limits of an image to act as evidence, flows between ethnographic practice and colonial ideologies, and the truth-telling possibilities of fictional invention. Students will screen, read, write, discuss, and complete conceptually focused production exercises using video, photography, text, and/or sound. No prior experience needed. Graduate-level research expected, parameters developed individually.",CINE 733S
The Nature Film: History and Practice,"Graduate section of The Nature Film: History and Practice. Traces the genealogy of the nature film from scientific 'animal locomotion studies' of the 19th-century to the proliferation of viewing options today. Film and television have emerged as the primary story-telling media of this past century. So too, for many viewers, have they become the main source of encounters with the natural world. Through hands-on exercises, screenings, readings and production assignments, students will explore the established narrative conventions and cinematographic techniques that have been employed in films about nature. Graduate students will have an additional final paper requirement.",CINE 745S
Cinematography,"In-depth investigation of cinematographic techniques and principles for motion picture production. Exercises in both film and high definition digital video. Emphasis on advanced lighting techniques, lensing, camera mobility, set operations and close analysis of master works of cinematography. Graduate students will have a supplemental reading list as determined by the instructor and will be responsible for an additional practice assignment and or/ writing assignment linking course content to graduate thesis work.",CINE 749S
Sound For Film and Video,"Theory and practice of sound recording techniques and strategies for film and video. Focus on sound/image relationship, sound design and sound acquisition. Screenings and readings will reinforce practice exercises. Graduate level assignments and project.",CINE 750S
Narrative Projects,"Development and production of short narrative film projects. Project-based course taking short film concepts through script development, pre-production, production, and post-production. Prior video production experience recommended. Graduate students will be required to develop an additional production project or submit a supplementary research component for credit in the class.",CINE 751S
Independent African American Cinema,"Independent African American Independent cinema from the silent film era to the present. Perspectives on issues of politics, representation, cultural identity, marginality and difference in contemporary American society. Focus on independent directorial figures and their intervention through genres, historical movements, and modes of production to examine how innovation helps define African American cinema's rich past and possibilities as well as key shifts in the larger social contexts of race, gender, and class in the United States.",CINE 752S
Cinematography II Graduate,"Course explores the approaches, strategies, motivations, and creative processes that inform cinematography. Elements of cinematic style, visual imagination, and storytelling are discussed and explored through exercises. Students learn the relationships and responsibilities involved in the art, and are guided in the execution of the various canonical and extraordinary working methods involved in traditional, experimental, and modern cinematography. Graduate students will be required to complete summary written and production work befitting their experience. Suggested prerequisite: CINE 749S.",CINE 753S
Animation Projects,"Building on foundations of animation, this course expands upon and develops a further working knowledge of challenges faced in animation production. Examines the historical origins of animation from film and digital imaging to the contemporary 3-D workflow. Skills will be integrated into a self-directed final project of the student's own design. The graduate section of the class will have an additional written research component.",CINE 754S
Editing for Film and Video,"Theory, history, and practice of film and video editing techniques. Exploration of narrative, documentary and experimental approaches to structuring moving image materials, using digital non-linear editing. Course work will include screening, reading, writing, editing exercises, and video production projects, culminating in a final class screening. No prior experience necessary. Graduate students will be required to complete more advanced assignments and/or additional projects.",CINE 757S
Deleuze: Cinema and Philosophy,"Examination of Gilles Deleuze's books: CINEMA 1 and CINEMA 2. Exploration of his concepts of the 'movement-image' and the 'time-image' with reference to his other single studies on Bergson, Spinoza, Leibniz, and Nietzsche. Key topics include Deleuze's philosophical interpretation of movement and change, of time and duration, of being and becoming, of expressionism and aesthetics, of subjectivity, of the 'will to power' and the 'eternal return,' of cinema as philosophy, and of ethics. Readings accompanied by assigned films from primary representatives of art, world, and experimental cinema, related to the philosophical questions/material under examination each week.",CINE 771S
The Middle East through Film,"Film as access into the region through a series of direct and poetic connections woven across films viewed, filmmakers featured, and lectures, discussions, and texts read. Using integration of course components and students' weekly responses, an understanding of the region is developed by way of inquiry into and rigorous engagement with cultural production. From feature length films to shorts, the breadth of the work we will engage with includes documentaries, dramas, and less traditional forms. Midterm paper, final project required in the form of one of three potential possibilities subject to approval of proposal: a paper, a talk, or a short film. Graduate-level assignments and projects.",CINE 772
Russian Language and Culture through Film,"Study of Russian cultural paradigms and constructs of self and other as demonstrated in Russia and Soviet films, primarily from 1960s to the present. Special attention to the analysis of linguistic constructs and their cultural semantic content as well as comparative analyses of Soviet and Russian culture and Russian and European/American culture. Film and computer technology, as well as access to these technologies and their implementation, are a central part of the cultural context. Includes oral and written presentations and analysis which require the usage of additional film text and secondary critical literature. Prerequisite: Russian 301S or equivalent or consent of instructor.",CINE 773S
Recycled Cinema,"Found footage filmmaking, cinematic appropriation, the use of archival materials in documentaries, and current day internet mashups. Covering early cinema, experimental and documentary cinema, television, and the internet. Key emphasis on practice based assignments with a concurrent focus on the historical impact of the field from seminal moments to the contemporary moment through films and readings on the subject. Graduate students in this course will be required to work on an additional final project at a higher level of complexity based on a proposal created in consultation with, and approved by the faculty.",CINE 775S
Expanded Cinema,"This project-based course explores moving image installations beyond the traditional movie theater, engaging with alternative venues such as public spaces, museums, and gallery environments. Students will study key works and theories from the history of moving image art, from early cinematic devices to the Expanded Cinema movement of the 1970s, and up to contemporary new media practices that will culminate in a research paper. Throughout the course, students will also design and produce their own moving image installation projects culminating in a final exhibition.",CINE 788S
Special Topics in Cinematic Arts,Special topics in cinematic arts.,CINE 790
Independent Study,Individual work in a field of special interest under the supervision of a faculty member. Goal is a project covering a previously approved topic.,CINE 791
Greek History: Fifth through First Centuries BC,"Studies in later Greek History from the fifth through first centuries BC. Coverage within these chronological boundaries via survey, case-studies, or a combination of both. Offerings might include Fourth-century Greece, The Hellenistic World, Ptolemaic Egypt, vel sim.",CLST 528S
The Roman Empire,"The foundation, consolidation, and transformation of Roman rule from Augustus to Diocletian.",CLST 536
Roman History from Augustus through Late Antiquity,"Study of Roman history from Augustus to the early medieval period via survey, case-studies, or a combination of both. Offerings might include The Roman Empire, The Julio-Claudians, The Second Sophistic, The Severans, The Third-Century Crisis, Late Antiquity, vel sim.",CLST 536S
Roman Coinage: The Materiality of the Roman Economy,"New trends in Roman numismatics (from the late Republic to the early Empire, 3rd c. BCE-2nd c. CE). Archaeology from coins. Barter, money and coinage. The introduction of coinage in Rome and the provinces. Making money (coin production), using money (monetary, non-monetary and ritual uses), losing money (coin circulation, hoards, single finds): contextual interpretations. Monetary systems: coins from Rome and coins from the provinces. Coinage and identity. False coinage.",CLST 540S
Greek Art: Hellenistic to Roman,"Seminar explores art of Greek East from 300 B.C.E to 300 C.E.; emphasis on understanding and analyzing production, style, materials, functions. Sculpture made for Hellenistic kings and cities, and changes in sculptural production with Roman conquest and imperial rule. Main categories of evidence: funerary monuments, portrait statues, heroic groups in baroque style, Dionysiac-themed decorative sculpture. Issues of stylistic categories, periodization, meaning and interpretation, theoretical perspectives expressed in ancient literary texts, and current scholarly debates and trends in study of Hellenistic and Roman art in a Greek context form an integral part of the seminar.",CLST 542S
The Archaeology of Death: Ritual and Social Structure in the Ancient World,"Contextual study of material culture linked to funerary practices and traditions in the ancient Greek or Roman world. Topics may include funerary rituals, the ritualization of space around cities and in the countryside; ancestor cult and ancestor representation; monumental and not so monumental tombs, grave offerings and grave assemblages; public personas and funerary iconography: gender, age, occupation. Death in Greece/Rome and death in the provinces.",CLST 543S
Introduction to Digital Archaeology,"Course studies the radical changes that new methodologies and technologies have wrought in archaeology. Remote sensing technologies, digital tools, virtual reality systems for data recording, documentation, simulation and communication of archaeological data have profoundly changed archaeological field operations. Course surveys the state of the art in: techniques of digital recording and digital documentation; GIS and remote sensing; international case studies in digital archaeology; virtual reality and virtual simulation; Web and digital publications.",CLST 544L
Ancient Spain and Portugal: The Roman Provinces of the Iberian Peninsula,"Examines how Roman provinces were created and incorporated into the Roman Empire. Investigates traces in ancient visual and material culture of bonds between provinces and Rome. Approaches complex issues of colonialism, change and continuity connected with Roman conquest of new territories in the Mediterranean. Examines monuments and new archaeological data available from Roman Spain and Portugal, selected samples from other Roman provinces.",CLST 546S
Roman Provincial Archaeology: The West,"Investigates ancient visual and material culture for information about relations between Rome's western provinces (especially Spain) and Rome, from initial, brutal conquest through incorporation. Within an archaeological context we address complex issues, such as colonialism and indigenous change and continuity, as evidence in Rome's conquest of new territories in the Mediterranean. Examines monuments and new archaeological data available from Roman Spain, as well as selected samples from other Roman provinces of the western Mediterranean (Britain, Gaul, and others).",CLST 547S
Principles of Pre-Roman and Etruscan Archaeology,"This course is about the study of one of the most important and fascinating civilizations of ancient Italy and of the pre-Indoeuropean world, which deeply influenced the Classical world and the Mediterranean basin. It will involve archaeological study and comparative analyses of pre-urban and urban settlements, the necropoleis, art, art history, language, iconography and cultural assets and archaeological remains of the Etruscan and pre-Roman Italic worlds. Ultimately, the archaeological interpretation of Etruscans and other ancient societies in the first millennium BCE will raise new research questions in the field of Mediterranean and classical archaeology.",CLST 550
Principles of Roman Archaeology,"Survey of the material culture of the Roman world, from the creation of the first provinces in the Late Republic to the end of the principate under Diocletian (late 3rd c. BCE–late 3rd c. CE). The course analyzes the archaeology of Rome and the provinces from a thematic perspective. Subjects include imperialism and colonization, rural and city landscapes, housing and households, necropoleis, the ancient economy, social identities (such as gender and age) and social structure (slavery). The course addresses various theoretical models to understand, among other topics, the creation and the decline of the empire and incorporates, when possible, hands-on work with artifacts at the Nasher Museum.",CLST 551S
"Greek Archaeology Survey, Part 1","The first of a two-part intensive survey of the material culture of the Ancient Greek world in the early period, focusing on the Iron Age and Archaic periods (ca. 1000-480 BC). The course will examine the archaeological evidence for civic, rural, sacred, funerary and domestic activities and will consider the development of architectural, sculptural, and ceramic forms throughout the period in order to understand how material culture both reflects and shapes cultural identity. Various methodological approaches and theoretical models will be introduced, and the distinction of Greek culture from others in the Eastern Mediterranean will be interrogated.",CLST 552
"Greek Archaeology Survey, Part 2","The second of a two-part intensive survey of the material culture of the Ancient Greek world, this time focusing in the Classical and Hellenistic periods (ca. 480-31 BC). The course will examine the archaeological evidence for civic, rural, sacred, funerary and domestic activities and will consider the development of architectural, sculptural, and ceramic forms throughout the period in order to understand how material culture both reflects and shapes cultural identity. Special attention will be paid to the definition of 'Classical' Greek culture and its re-definition in the Hellenistic period. Various methodological approaches and theoretical models will be introduced.",CLST 553
Live Images: Ancient and Medieval Representations of the Divine,"The study of ancient and medieval works—speaking statues, miraculous icons, moving paintings. Seminar addresses questions of artistic and pictorial agency. Readings include theoretical texts, primary sources, and historical studies.",CLST 558S
Etruscan Cities,"Focuses on concept and definition of city in Etruscan society and its socio-political role in territorial organization. Main topics include pre-urban and urban development of Etruscan society, the first settlements, space and rituals, formation and development of Etruscan City States, cities and landscapes, cultural models between Greeks and Etruscans, colonies and emporia, transformations and changes in Roman times. Primary evidence for all the above will be visualization of material remains from antiquity.",CLST 560
Ancient Political Philosophy,"Intensive analysis of the political philosophy of Plato, Aristotle, and other ancient theorists. Research paper required.",CLST 571S
Plato,Selected dialogues.,CLST 572S
