title,description,course_code
Current Issues in Anthropology,"Selected topics in methodology, theory, or area.",CULANTH 290
Duke-Administered Study Abroad: Special Topics in Cultural Anthropology,Topics differ by section.,CULANTH 290A
Current Issues in Anthropology,Same as Cultural Anthropology 290 except instruction is provided in seminar format.,CULANTH 290S
Special Topics Tutorial,Tutorials under the supervision of a faculty member for two or more students working on related independent projects. Consent of instructor and director of undergraduate studies required.,CULANTH 290T
Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic product. With consent of instructor and director of undergraduate studies.",CULANTH 291
Independent Study,"Half credit individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic product. With consent of instructor and director of undergraduate studies.",CULANTH 292
Research Independent Study,"Individual research in a field of special interest under the supervision of a faculty member, the central goal of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. With consent of instructor and director of undergraduate studies.",CULANTH 293
Anthropology of Childhood,"What does it mean to be–and to raise–a child? This course begins with the premise that childhood has existed, and continues to exist, in myriad forms. Using the tools of anthropology we will ask a series of questions: how do definitions of childhood and childrearing vary across history and culture? How do children's daily lives differ from place to place and how are race, class and gender linked to discourses and experiences of childhood and childrearing? What role does education – formal and informal – play in shaping childhood? Furthermore, how do children stand in as symbols of broader political and cultural concerns?",CULANTH 295S
Turkish Cultural History through the Novels of Orhan Pamuk,"An introduction into Turkish history (including the Ottoman Empire) through a comparative study of the historical novels and nonfiction of Nobel Laureate Orhan Pamuk. Addresses Pamuk's role as an intellectual-author who mediates between Islamic culture, secular modernity, the Turkish national tradition and an international canon of literature. Political implications of Sufism, cultural revolution, Orientalism, and post-colonialism. Secondary focus on representations of cosmopolitan Istanbul, political Islam and the military coup. Taught in English.",CULANTH 297S
Global Humanitarianism,"This course explores humanitarianism as both a global phenomenon and a western model for engaging with the world. It examines the cultural and political conditions that make it possible for some people to be saviors and others to require saving. It focuses on the ways humanitarian interventions are increasingly as much about alleviating poverty and supporting political change, as about responding to crises caused by health epidemics, conflict or war, and environmental disasters. We will pay close attention to the impacts of humanitarian interventions good and bad, while critically exploring how local agendas and conditions shape and respond to these programs.",CULANTH 298S
Theoretical Foundations of Cultural Anthropology,Major schools and theories of cultural anthropology. Open to seniors and juniors. Sophomores by permission only.,CULANTH 301
Fieldwork Methods: Cultural Analysis and Interpretation,"Anthropology as a discipline (a field of study) and the site where anthropologists work: the field. Combines theories of anthropological fieldwork methods with practice, including participation, observation, and interviews. Students undertake original research in a local fieldsite of their choice and produce their own mini-ethnography. This requirement may also be satisfied by taking Cultural Anthropology 290A Duke in Ghana Anthropological Field Research.",CULANTH 302
Theory Now,"This course is an introduction to fundamental concepts of contemporary critical theory, broadly conceived. Readings will include key texts from the past 50 years in fields including gender and sexuality studies, literary and media studies, critical race studies, Marxism, postcolonial studies, and political theory. The course will involve close reading of difficult texts with the goal of obtaining facility with the concepts and modes of argumentations of contemporary theory.",CULANTH 303S
"Latinx Voices in Duke, Durham and Beyond","This course will explore and examine critically how particular discourses (within different genres and media) relate to Nuyorican politics, art, culture, and society. Students will develop interpersonal, interpretive, and presentational communication modes and will be exposed to cultural products and practices of the people of the Puerto Rican community in New York to understand perspectives while developing intercultural competence. Students will interact with community members in a variety of ways. This course will be taught in English at Duke in New York Summer Program.",CULANTH 304SA
White People: In Anthropological Perspective,"Against the cross-cultural backdrop of other systems of hereditary privilege and of the political and economic changes that threaten them, we will examine the history, the ideologies, and the psychology of white supremacy in the United States. It will be our task to understand both the insiders' point of view and its social context, which includes the mid-20th-century civil rights reforms, affirmative action, neoliberalism, and the progressive erosion of white monopolies on honor, voting rights, due process, a living wage, and upward mobility in US society.",CULANTH 305S
"Health, Culture, and the Latino Community","Exploration of health issues in the Spanish-speaking world shaped by social, cultural, political, ethnic, and economic determinants. Topics: cultural competency, community beliefs, medical practices and policies, preventive medicine, mental health. Projects include presentations, writing, research, and conversations with local and global contacts. Evaluation on knowledge of content, oral and written proficiency in Spanish. One 300-level Spanish course recommended prior to enrolling. Prerequisite: Spanish 204 or equivalent.",CULANTH 306CN
Development and Africa,"Addresses the vexed issue of economic development in Africa - its many failures, its occasional successes - from the early colonial period to the present. Focuses especially on the transition from the 1960s 'modernizing' moment to the millennium projects and humanitarian aid of the present. Will read the works of development experts, World Bank executives, anthropologists and historians, asking why this massively financed project has experienced such failure and exploring what can be done.",CULANTH 307
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights","This course engages students in the intersection of speculative fiction and the history of ideas about human rights and what it means to be human. Using interdisciplinary tools, including history, anthropology, and public policy, students will explore created worlds and new ways of thinking about what rights humans—and other beings—have, how those rights are proposed, and what happens when those rights are contested. The course focuses on how the imaginary influences or presages the real, allowing us to experiment with what-ifs. Students will work in Duke's Locus Archives of primary documents on 20th-century science fiction spanning writers from China, the USSR., and Japan.",CULANTH 308S
Manger: Foodways and Food Systems,"This course seeks to deepen our understanding of foodways and food systems, and of the roles that nourishment and nourishers play in our lives, while regenerating connections with food practices and food creators through the study of global French narratives, scholarships on foodways and foodscapes, and hands-on, in-person experiences with nourishers in our local community. A strong emphasis on experiential learning, including community engagement in systems of food access and production as well as work with chefs and farmers, and the study of French-language narrative, culinary, scholarly, journalistic writing, and other cultural documents. Taught in French. Recommended prerequisite French 204 or equivalent.",CULANTH 309S
Manger: Food and Food Systems in the French-Speaking World,"An exploration of our relationship with food and its cultural and societal roles in French-speaking countries, from French gastronomy to the historical and economic influences that have determined our current systems of food production, what effects those systems have on immigration, equity, and climate, and the movements that seek to bring about changes in the ways people produce and consume food. A strong emphasis on experiential learning, including community engagement in systems of food access and production, as well as work with chefs and the study of French-language narrative, culinary, scholarly, and journalistic writing and other cultural documents. Recommended prerequisite: French 204 or equivalent.",CULANTH 309SA
Conflict Analysis in Africa (Case Studies),"Utilizes four case studies to outline components of conflict analysis in Africa. Examines regional crisis nexus between Darfur, Chad and Central African Republic. Looks at issues of postcoloniality, autochthony, migration, citizenship, land tenure, and inequality. On a theoretical level, identifies potentially crosscutting, deeper layers of contemporary crises in Africa with the objective of establishing a series of templates, a 'protocol', for comparative conflict analysis and conflict management in Africa.",CULANTH 310S
"Dancing States of Mind: The Self, Social and Political Practice of Dance","Practice-based studio work, discussion, and readings in current political discourse, System Theory, contemporary philosophy and cultural theory. Reveals the culturally constructed nature of dance in Western society - its manner of production, dissemination and aesthetics - and examines the consequences of 'the cultured flesh' as a mode of propaganda. The cultivation of students' radically subjective creativity, artistic experimentation, awareness, perception and expression, in order to understand and challenge the status quo; and to integrate abstract concepts into one's own physical existence and redefine assumptions by moving right through them.",CULANTH 311S
War and Public Health in Africa,"An inquiry into the nature of contemporary war in sub-Saharan Africa and its human cost. Uses public health as a parameter to assess the impact of organized collective violence on people's lives. Link between war and public health established and measured with respect to civilian deaths, gender based violence, physical and psychological trauma, mental disorders, malnutrition and famine, and the spread of epidemic diseases, inter alia HIV/AIDS. Special attention is paid to rape as 'a weapon of war', to the trafficking of human beings in war zones, the child soldier phenomenon, and to death counts as a vector of humanitarian or political advocacy.",CULANTH 312
Race and Medicine,"This course looks critically at the role of race in modern medicine from historical and present-day perspectives. Race is central to any critical analysis of medicine--from the origins of gynecology and enslaved women, to tropical medicine and American empire, to contraceptive trials in Puerto Rico, to anti-Asian hate crimes in the advent of COVID-19. Through focused case studies, we will explore the racialized subject as intersecting with other categories of difference in medicine, such as sex, gender and sexuality. In parallel, we will ask how medicine has been used as a system of power and knowledge to create racial categories themselves.",CULANTH 313S
What is Critical Theory? An Introduction,"This course is an introduction to fundamental texts and concepts in the history of critical theory. We will be expanding the scope of our examination well beyond the remit of the Frankfurt School, to which the term 'critical theory' is often linked and look at key texts in the history of political philosophy, social theory, linguistics and language philosophy, gender studies, critical race theory, and postcolonialism. All our readings will be primary literature from what might be dubbed a 'critical theory cannon' and is intended to introduce students in the humanities and qualitative social sciences to essential and foundational materials.",CULANTH 314
Fundamentals of Global Mental Health,"Examines global mental health from perspectives of culture, public health, epidemiology, human rights, policy, and intervention. Readings focus on peer-reviewed research literature highlighting topics such as the prevalence of mental health disorders worldwide, the role of culture in mental health, and the interventions backed by strong evidence for prevention and treatment. Students will discuss and critique study methodologies and explore the needs for future research in this emerging field. Designed for students with prior research methods and psychology coursework.",CULANTH 323
Migrations,"Climate refugees, exiles of war, economic migrants, expatriates seeking new opportunities, along with others compelled to flee their current circumstances and look for a new life, are moving across borders. Combine these movers with the billions of religious pilgrims, adventure travelers, and tourists, and we find a movement of humanity en masse in greater numbers than ever in the history of humanity. Combining literature on pilgrimage with travel memoirs and essays on travel, films on the act of walking, and multimedia explorations of refugee journeys, immigrant life, and border crossings, this course seeks to make sense of our unprecedented era of migration.",CULANTH 327S
Undocumented America in Literature,"This seminar explores the representation of lived experiences, trajectories, and current events vis-à-vis the figure of the undocumented migrant, in contemporary American literature. Testimonial accounts, journalism chronicles, memoirs, poetry, cinematic works, and critical scholarship inform and propel our study of the experience of ('illegal') migrant movement––departure, journey, and arrival––as portrayed in Latino and Latina literature. We will question status designations such as 'illegal,' 'undocumented,' and 'unauthorized'; 'legitimacy' and recognition; the inadmissible and the construction of 'suspect' bodies; social participation in US society.",CULANTH 329S
Narratives of Migration,"Stories of migration captivate us because they touch on universally important themes: home, family, belonging, identity, pain, loss. In this course, we will explore narratives, or stories, of migration, as told by refugees and immigrants from across the world, through different media: written, spoken, photographed, and constructed digitally on social media. This course approaches narratives of migration primarily from the perspective of sociocultural linguistics and discourse analysis, but we will refer to other scholarly traditions as well. This is a Service-Learning course: students will engage in a mentoring relationship with an immigrant student in a Durham high school.",CULANTH 330S
Black Durham: Discovering Durham's Hallowed Ground through Arts,"Study of Durham's hallowed grounds and sites of struggle, with a deep focus on the African American experience. Investigation of histories, both celebrated and troubled, that have built the present-day community surrounding Duke University. Exploration of the city's tumultuous and rich past from slavery to Black Wall St and onward through the lens of past and present visual and performing artists, leading to new collaborations with these artists. Sites and stories will include Pauli Murray House, Stagville, Civil Rights history in Durham, the Booker T. Spicely murder and more. Using interpretive and historical methods, students will research Durham's stories, ultimately helping to construct a roadmap for future community collaborations that recover local history through the arts.",CULANTH 331S
Breath and Air,"This class explores the aesthetic, social and cosmological dimensions of breathing in relation to the global health and environmental challenges that compromise breathing in our current world. Focus on the diverse ways musicians craft the breath, represent it, and respond to the hazards of air pollution, lung infection, police brutality, and discrimination. Emphasis on qualitative method and cultural analysis. Final paper or creative project. Final paper or creative project.",CULANTH 333S
The History of Hip-Hop,"What began as a localized activity designed to provide a safe haven for Black and Latino youth in New York City, has become a global brand that has had a documented impact on the cultural, political and economic realities of youth throughout the globe. This course will examine the organic social and cultural foundations of hip-hop, as well as the key aesthetic innovators/innovations, and the debates that have arisen over hip-hop's increased influence.",CULANTH 335
Hollywood and Africa: Case Studies in Filmic Representation,"This course on Hollywood films about Africa—from classics such as 'African Queen' (East Africa), 'Tarzan' (Equatorial Africa) and 'Out of Africa' (Kenya) to recent productions such as 'Blood Diamond' (Sierra Leone), 'The Last King of Scotland' (Uganda), 'Lord of War' (arms trade), 'The Constant Gardner' (Kenya) and 'Black Hawk Down' (Somalia)—will tack back and forth between filmic representation and case study, using the latter to critique the former. As contrastive material, the class will also draw on non-Hollywood films about Africa, for example 'Hotel Rwanda' (Rwanda) or 'Lumumba' (DRC).",CULANTH 336
"African Cities, African Urbanization","If the predominant mode of development in African cities is informal and unplanned giving rise to new modes of life, livelihood, and leisure beyond the organizing infrastructures of formal architecture and design in reality, the new African urbanism seems to give rise to two distinct conditions of life--the one crisis and the other ingenuity. Concerned to think through the gendered forms of labor arising from rapid urban growth taking place without conventional facilities, infrastructures and technologies, 'African Cities, African Urbanization' turns to the ethnography of informal settlement; to women's relationships to informality; to the ways in which productive and reproductive labor play their part in urban formation and deformation in African cities.",CULANTH 337S
"Anthropology of Japan: Past, Present, Future(s)","Explore contemporary Japanese society through an anthropological lens. Examine the historical development of Japan Anthropology as a discipline. Analyze major themes and issues relevant to contemporary Japanese society, including but not limited to schooling, public health infrastructure, intimacy, globalization, diaspora, and precarity. Develop a toolkit to think critically about ethnography as method, a genre of writing, and lens. Discuss emerging themes and issues in a changing Japan, including but not limited to Afro-Japanese solidarities, digital activism, and digital sociality in pandemic times.",CULANTH 340S
Life and Death: Global Perspectives,"Anthropological investigation of customs, practices, and beliefs that get activated when people (and other living beings) die. What constitutes life as in when does it start, what determines well-being, how is it measured; and what constitutes death as in a good versus bad death, by what medical definition, and according to what rituals and beliefs. Comparative inquiry into such questions as why brain-death is not accepted in some cultures and why people in some places prefer to die rather than live after an amputation. Topics will include organ transplants, gang warfare, cancer, and warzones from China and Botswana to Mexico and the United States.",CULANTH 341
Displacements: Migration and Human Trafficking,"Examination of the meaning of migration in the global world through cross-disciplinary texts and visual media. Situates the phenomenon of human trafficking within the context of these general movements focusing on the risks involved when people endanger their lives to find a better and more strategic position in the world. Explores how these experiences should be interpreted, and how processes and the politics of race, space and place are a condition and/or outcome of these movements. Investigates and considers ways to resolve some of the problems associated with such movements.",CULANTH 342
Energy Futures and Environmental Justice,"Advanced undergraduate seminar on comparative energy crises and natural resource management. Uses case studies of fossil fuel, nuclear, and renewable energy resources drawn from anthropology, natural sciences, and even business economic readings. Appropriate for students interested in interested in global politics, economic development, human rights, or environmental issues.",CULANTH 345S
"The Connection between Human Rights, Memory and How Societies Create Memorials","This seminar introduces students to multiple approaches to why and how to create memory, with a focus on contributing to a project underway at Catawba Trail Farm. We are particularly interested in how to tell difficult stories of slavery, segregation, and inequality through new sites and interpretive plans. Students will conduct interviews and archival research in coordination with a Bass Connections project, 'Making Meaning at Historic Places' and the Catawba Trail Farm, a non-profit organization that builds community and addresses food insecurity through community gardening. As part of their community-building efforts, the leaders of this project are interested in reclaiming the history of the enslaved people who lived and worked on this property outside Durham.",CULANTH 346S
The University as a Culture: A Survivor's Guide,"The university generates some of the most influential forms of knowledge in the world, yet we seldom examine the historically specific cultural, social, political, and economic conditions under which knowledge is produced in the laboratories, classrooms, offices, dormitories, Greek-letter societies, and sports complexes that are the infrastructure of the academy. This course will employ readings from a range of disciplines, as well as the investigative and interpretive methods of cultural anthropology, to examine the taken-for-granted context of university life.",CULANTH 347S
"Memory Bandits: Human Rights, Duke's History and a Plan to Expand History-Telling","This is affiliated with a Bass Connections project that takes on the societal and cultural challenge of historical memory, human rights and memorialization. We intend to mine memory studies to ask how, why and where people use the past for contemporary meaning; how the Duke campus currently embodies and tell its story; and how this team can help chart a deeper engagement with history. Consent of instructor is required.",CULANTH 347T
War,"This course seeks to critically understand a fundamental aspect of the increasingly interconnected global present through examining the question war. It will draw on works from different disciplines (anthropology, history, critical theory, fiction, political science, American studies), and we will constantly move across them, as it seeks to examine how war is conceptualized by different intellectual traditions and theoretical approaches and is experienced by multiple actors. In doing so, it will focus primarily, but not exclusively on the connections between US and the Arab World.",CULANTH 348S
Anthropology of Money,"We will explore the history and theory of money – what it represents, how it circulates, the meanings it carries, its contemporary transformations – not only in the West but also in the global south. Some of the topics to be considered include shell currencies, gift economies, Ponzi schemes, paperless money, derivatives and futures, hedge funds, and global debt.",CULANTH 350
Art of the Meal: Alcohol and Feasting in the Ancient World,"Commensality--the act of eating and drinking together--is a fundamental part of human social life, no matter the time or place. This course examines the wide variety of evidence from the ancient world for feasting activities, and especially the production and consumption of alcoholic beverages, in text, visual and material culture. Readings in anthropological theory and archaeological and ethnographic case studies are used to explore human relationships to food and alcohol in different social contexts, and their use in the construction of cultural similarity and difference, group identities, and social hierarchies. With special emphasis on the ancient Mediterranean and Middle East.",CULANTH 351
From Enlightenment Culture to Popular Culture,"Course constructs a sociological history of French (and partially European) culture by routinely using the city of Paris as an example. Analyzes conflicts inherited by contemporary culture in highlighting major moments that have defined it since pre-revolutionary era. Focuses on theoretical issues raised by each period, and the manner in which sociologists and critical theorists addressed them--from opposition of nature and culture just as it plays out for the pre-romantics, to the criticism of mass-culture by post-modern theorists. Sessions will be chronological, and will introduce and cover principle problems of social sciences. Taught in French through the Duke in France Program.",CULANTH 352A
Global Apple: Life and Death and the Digital Revolution,"Examination of the Apple Corporation's development from a Silicon Valley garage operation to a company with unprecedented global reach; the Cult of Steve Jobs, the Apple Launch and use the design and development of the Apple Store; labor and environmental struggles over Apple supply chain and production processes, from cobalt mining in Africa to Foxconn factories in China; migrant worker suicide and poetry as forms of protest in China; e-waste villages and digital rubbish; everyday uses of Apple technology and the ethics of consuming Apple products.",CULANTH 360
Global Apple: Life and Death and the Digital Revolution,"Examination of the Apple Corporation's development from a Silicon Valley garage operation to a company with unprecedented global reach; the Cult of Steve Jobs, the Apple Launch and use the design and development of the Apple Store; labor and environmental struggles over Apple supply chain and production processes, from cobalt mining in Africa to Foxconn factories in China; migrant worker suicide and poetry as forms of protest in China; e-waste villages and digital rubbish; everyday uses of Apple technology and the ethics of consuming Apple products.",CULANTH 360S
"African Cities, Development, and Climate Change","The displacement of sizeable urban populations as a consequence of climate change renders African cities sites of two contending conditions: the one is a prevailing sense of crisis; the other, in the form of a response, is to attend to the prevailing conditions of crisis. African cities are poised to mobilize not only extant forms of cultural ingenuity, but technological ingenuity too. Students will explore African city life from megalopolises like Cairo to threatened UNESCO world heritage sites like Saint-Louis, Senegal. The course reimagines terms such as 'development,' 'employment,' 'infrastructure,' 'sustainability,' and 'citizenship.'",CULANTH 361S
The World of Japanese Pop Culture,"An examination of modern Japanese culture through a variety of media including literary texts, cultural representations, and films. Different material each year.",CULANTH 365S
Trauma and Space in Asia,"Space and Trauma across Asia. Introduces theoretical framework of 'trauma discourse;' examines how the experience of space in Asia broadly defined has shaped historical traumas, which have marked the transition from colonialism to postcolonialism. Focus on Israel/Palestine, India/Pakistan, China/Taiwan, Japan/Korea; examine how critical terms originating in one historico-geographical context are translated across geographical boundaries.",CULANTH 366S
Visualizing the Caribbean,"Art (paintings, installations, performance art) and film on the Caribbean offer vantage points for analyzing alternative ways through which the region has been thought, imagined and produced. They are periodized semiotic productions that feed into and are marked by perspectives that are at once global, national, and even personal. Considering the constitutive contexts of these productions and performances, we will attempt to glean the diverse perspectives, and the way these have influenced sociocultural policy and offer alternative interpretations of diasporic lifeways of Caribbean people.",CULANTH 368
Soundscapes of Migration: Music and Migration in Paris from the Interwar Years to the Present,"This class studies migration through the prism of music, focusing on Paris as a node of networks of musical migration. It analyzes how the metropolis has been a site of musical encounters, as well as a recipient, catalyzer, and disseminator of migrating musical practices. It studies music as a transnational and diasporic cultural process. Although our musical journey will be structured chronologically, its frontiers will encompass the soundscapes of the capital's peripheries. The range of music considered will be varied: from the Eastern European classical repertoire and African American Jazz to contemporary Rap, through Algerian Raï and Arab-Andalusian popular music. Taught in French.",CULANTH 369S
Language and/in the Media,"The relationships between language and media have long been a socio-political concern. Plato was suspicious of the 'new' media of writing; at the end of the Middle Ages, the printing press meant Bibles written in the vernacular could weaken the power of the established church in Europe; today, fake news and online aggression are on the rise, potentially changing the outcomes of democratic elections. Innovations in media give rise to changes in both language practices and social, cultural, and political relations. This course looks at these issues from contemporary sociolinguistic and sociological perspectives, focusing on how linguistic resources are used to create and contest meanings.",CULANTH 372S
"Transnational Muslims in Germany: Politics of Migration, Religion, and Culture","Critically analyzes political debates about Muslims and Islam in Europe that often cast them as a 'security threat' or a 'problem' of failed integration. Traces the geographical production of Muslim subjects through transnational flows, networks and imaginaries. Examines a series of topics including debates about the headscarf, Muslim women's dress, mosque construction, Muslim civil society organizations, and the refugee crisis in Germany. Taught in English as part of the Duke Middle East in Europe program.",CULANTH 382SA
"Race, Gender and Culture of the African Diaspora","Course reveals the diversity of black life in the Americas, Europe, and the Middle East through film and classical and contemporary ethnographies by the likes of W. E. B. DuBois, Zora Neale Hurston, Fernando Ortiz, and others. Examines diverse analytical tropes that illuminate how cultures and communities reproduce themselves amid exploitation and stigma.",CULANTH 385S
"Food, Culture, and Society","This DukeImmerse course provides a broad overview of food as culture and its role in society. Exploration of the intersections between food and identity from gender, ethnic, class, religious, and political identities to how people use food to develop a sense of themselves as ethical beings. Food and democracy and food activism. Readings from anthropological, sociological, linguistic, and literary writings with ethnographic observations in local communities of practice. Instructor consent required.",CULANTH 389S
Special Topics,Special Topics in Cultural Anthropology.,CULANTH 390
Special Topics,Special Topics in Cultural Anthropology.,CULANTH 390S
Duke-Administered Study Abroad: Special Topics in Cultural Anthropology,Topics differ by section.,CULANTH 390SA
Language in Immigrant America,"Discussion of issues of language in the context of immigration in the United States, from the turn of the 20th century until the present, combining approaches from literature, memoirs, language policy, media studies, and linguistic anthropology. Some fieldwork in an immigrant community. Topics include: identity, assimilation, race, bilingual communities, bilingual education, foreign accents, language contact.",CULANTH 397S
Global Russia,"Through novels, short stories, poems, films, and cultural criticism produced in the last fifty years, the course equips students with the tools needed to unravel the historical, social, and philosophical underpinnings that have shaped Russian culture both within its native borders and in the global diaspora presented by the émigré community. The course analyzes state-sanctioned vs. oppositionist cultural productions while offering a prism through which the human experience is examined, inviting students to engage with a storytelling tradition that crosses, challenges and transcends linguistic and cultural thresholds.",CULANTH 399
Global Russia,"Globalization of Russian culture as manifested in popular/academic cultural forms, including political ideologies, media/artistic texts, film, theater/television, markets, educational/legal institutions, historical/ contemporary social movements. Examination of ethical issues in context of such topics as the relationship between church and state; evolution of a totalitarian government into a democratic state; reproductive rights; struggle against corruption in education, finance, police; role of censorship; views of citizenship, patriotism, valor, and treason; historical perspectives on prison camps, abuses of psychiatry. Offered in the Duke in Russia Program. Instructor consent required.",CULANTH 399A
Indigenous Americas,"Explores histories, experiences, struggles, art, and philosophies of indigenous peoples in the Americas, meaning both Latin and North America. Acknowledging 500 years of genocidal practices, will focus on concepts of 'the good life' and the complex relations of the spiritual and the material. Roles of gender and sexuality within indigenous worlds and in the often violent relations with settler societies will be a special focus. Explore relations between past, present, and the future under burden of Anthropocene.",CULANTH 401S
"The Problem of Evil: God, Evil, Suffering, Sin, Meaning of Life, and Philosophy of Religion","'The problem of evil' as the challenge of reconciling the existence of an absolutely perfect being (Omnipotent, Omniscient, and omnibenevolent God) with the existence of sin and suffering has one of the greatest problems of intellectual history from ancient to modern times. The problem of evil effects the 'meaning of life' deeply, so it is not exclusive to the monotheists, and involves atheists as well. This is an introduction to the problem of evil, and explores its major issues and concepts: the logical problem of evil, the evidential problem of evil, soul-making theodicy, natural law theodicy, process theodicy, anti-theodicy, free will defense, reformed epistemology, and skeptical theism.",CULANTH 402
Cairo - A Global History,"This class helps students to get familiar with the history of Egypt and the larger Middle East through the story of the city of Cairo, the largest Arab and Muslim metropolis, and the second largest in Africa. We explore not only the various historical layers of this city, but we also learn about the approach of urban history, including the crucial questions of globalization, urban revolts, and the environment in the past two hundred years and until today. In this way, the class is a methodological enquiry into how we can describe change in urban life with the tools of history, art history, anthropology, and sociology.",CULANTH 403S
Ethics of Hope,"Hope involves the expectation or desire for good things to happen. Yet, does this set up people for despair when hopes get dashed or have no possibility of realization? Or, is the conjuring of something better—somewhere, sometime—what enables life to be sustained in the face of difficulties or just the daily grind of making do? In this class we raise the issue of the ethics, politics, and tactics of hope, drawing on philosophy, feminism, and anthropology.",CULANTH 404S
Media and Conflict,"Focus on the role of media in the context of colonialism, war and conflict across various historical periods. Attentive to the ways that media technologies have been employed both as tools of power and vehicles of protest and resistance. Theoretical readings are paired with a set of international case studies -- e.g. colonial atrocity archives, #BlackLivesMatter, Syrian civil war, the Abu Ghraib torture scandal, the Israeli military occupation, drone strikes -- that enable us to test the applicability of theoretical discussions to contemporary case studies. Readings in Butler, Kaplan, Sontag, Stein and Kuntsman, Virilio and others.",CULANTH 405S
South African Life Histories,"South Africa presented the world with one of the great moral challenges of the 20th century. We will explore its history through the lens of biography and autobiography. The country underwent major transformations -- rapid industrialization, segregation, the rise and fall of apartheid, and the emergence of democracy. How did individuals experience these social changes? In what ways do individual lives illuminate these larger social processes? Protagonists include a prophetess, political artists and writers, exiles, and celebrated figures. Topics cover how segregation and apartheid affected people's daily lives, opposition to white supremacy, and the personal impact of the AIDS's epidemic.",CULANTH 406S
Social Space and Time,"This course explores the many forms space and time take as produced, organized, experienced, lived, designed, conceptualized and contested by societies and cultures. Topics include how space is harnessed for social classifications; how houses forms are conceptually structured vs. practically inhabited; time as structure or history; how societies remember; how travel writing creates utopias, sacred landscapes, pilgrimage, and tourist destinations; the industrialization of space and time; time as distance; the politics of place.",CULANTH 409S
Mobility,"Examine how individual humans move within a network or system through theories (e.g. Locke on portable property), vehicles (boats), travelers (pirates, pilgrims, migrants), media (books, money, gravestones, genealogies) to recognize the phenomenon of mobility and its consequences. This course enables you to cultivate an eye for seeing mobile phenomena, and to analyze how they are at the heart of the big issues: capitalism, colonialism, imperialism, race, religion, diaspora, migration and security.",CULANTH 410S
Imperialism and Islamism,"This course draws on transnational material to gain perspectives on the conflict between the US and its Islamist opponents. Its central concern is Islam's transnational past and relations of European empires to that past. It is guided by a transnational perspective framing specific case studies, original source material and arguments on the nature of global Islamist politics and on the US as an imperial power. Students will strengthen skills in global anthropological and historical analysis, using the conflict between the US and its Islamist opponents as a case study.",CULANTH 411S
Afro-Latin America,"This course focuses on the position of Blacks in the national histories and societies of Latin America from slavery to the present day. Emphasis is on an interdisciplinary engagement with issues and critical discussion of national images contrasted with the realities of blackness. We will explore the connections between race, gender, sexuality, and representation in national and transnational encounters and the consequences of the migration of people and ideas within the hemisphere. Countries to be explored include Cuba, Brazil, the Dominican Republic, Puerto Rico, Argentina, Mexico, Haiti, and Peru.",CULANTH 412S
"Cultural Lab: Walk, Think, Experiment Now","This Duke in Madrid course parts from the present, from what is happening culture-wise today, to offer a wider perspective on cultural systems and creative processes in our recent history. Most class sessions will take place outside the classroom and will have a participative character. One of the central concepts of this course is transversality, which allows the student to organize more dynamic and active comprehension networks than what is usually offered by courses in this field of study. Nevertheless, students will always have a base point to focus their direction of study related to the modules within the course: art, literature, architecture, politics, creation, theatre, technology.",CULANTH 416A
The Middle East: From Facebook to Film,"Studying the Middle East through the lens of popular culture, with a focus on the cultural changes of the digital era. Focus on social media, film, graphic novels, amateur cameras. Studies how popular cultural forms relate to concurrent political and historical processes. Themes include: digital media and society, state violence and terrorism, human rights, sexuality and youth culture.",CULANTH 417S
Global Environmentalism and the Politics of Nature,"Exploration of several themes: how local, national, and transnational organizations manage the environment, discuss it, study it, protect and defend it; who speaks for nature and to what ends; the differences between capitalist and socialist approaches to the environment; how relations among natures, nations, social movements, individuals, and institutions have changed over time. Case studies from Africa, East and Southeast Asia, India, Latin America, and the United States; study of new theoretical writing on the relationship between humans, technology, capital, and nature.",CULANTH 419S
Critical Digital Studies,"Integrate frameworks in digital anthropology and critical digital studies to examine contemporary digital culture in/of East Asia. Examine how the digital highlights historical and ongoing issues in various East Asian contexts. Introduce digital anthropology and digital ethnographic methods, including debates on digital ethics.",CULANTH 420S
Sex and Money,"Sexual practices that involve transactions of money in different cultural and historical settings, including 'regular' marriage practices that involve exchanges of money and goods as well as extramarital practices where one party is selling bodily acts. Examination of the ethics and politics of these exchanges questioning who benefits from them (and who not) and how to also assess other bodily transactions including prostitution and surrogacy. Reading materials on sexual practices in different cultural contexts (including Tonga, Thailand, Brazil, India, Ghana, China, Japan, Russia, Turkey, Indonesia). Comparisons made in terms of culture, religion, ethical systems, politics, and economy.",CULANTH 423
Globalization and Anti-Globalization,"The politics and process of globalization in light of the responses, ideologies, and practices of the anti-globalization movement.  Focus on the interrelationship between the analysis of globalization and policy formulation on such topics as social justice, labor, migration, poverty, natural resource management, and citizenship.  Case studies from the United States, Latin America, South and East Asia, Africa, and Europe.",CULANTH 425
