"course_code","course_title","credits","department","description"
"CEIE 664","Transportation Engineering and the Environment","3 credits.","Civil and Infrastructure Engineering (CEIE)","Introduction to transportation and air quality; Clean Air Act; greenhouse gases, climate change, and modeling for greenhouse gases; travel activity; The NEPA process for transportation projects; road transportation and noise; noise abatement. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 665","Travel Survey Methods and Data Analysis","3 credits.","Civil and Infrastructure Engineering (CEIE)","Covers the concept and practice of travel survey methods; national household travel survey; Census transportation survey and products; travel diary based, roadside, mail-in and web-based and GPS-based travel surveys; longitudinal vs. cross-sectional surveys; stated-preference survey; interactive and adaptive survey method; transit survey methods; special generator surveys; sampling approach and representativeness analysis; econometric data analysis; panel data; self-selection issues; other data mining methods; data security, privacy, IRB process, and ethics. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 667","Multi-modal Transportation Systems","3 credits.","Civil and Infrastructure Engineering (CEIE)","Topical coverage of freight and logistics; non-motorized transportation considerations; and public transit planning. Freight topics include demand and supply modeling concepts; freight flow data sources; and truck size and weight policies. Bicycle and pedestrian planning considering traveler response to facility and policy improvements and identifying common resources for addressing non-motorized project concerns. Public transportation planning coverage including mass transit technology typologies, corridor planning and operations concepts, and finance and public policy issues, including environmental justice. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 668","Transportation Economics","3 credits.","Civil and Infrastructure Engineering (CEIE)","Application of micro- and macro-economic theories to transportation system analysis; interaction between transportation system, land use, and regional economics; mobility, accessibility, and system reliability; market equilibrium; pricing, willingness to pay, and welfare analysis; cost benefit analysis; project finance. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 669","Special Topics in Transportation Engineering","0-3 credits.","Civil and Infrastructure Engineering (CEIE)","Advanced topics in recently developed areas of transportation engineering. May be repeated for credit when topics vary. Offered byCivil, Environ & Infrastr Engr. May be repeated within the term. Specialized Designation:Topic Varies Recommended Prerequisite:Graduate standing in CEIE or permission of the instructor. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 677","Construction Simulation","3 credits.","Civil and Infrastructure Engineering (CEIE)","Overview of production management in construction. Techniques for modeling construction operations, design of efficient processes, measurement and improvement of productivity. Computer simulation techniques for modeling and analysis. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:Graduate Standing in CEIE. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Students in a Non-Degree Undergraduate degree maynotenroll. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 678","Infrastructure Asset Management","3 credits.","Civil and Infrastructure Engineering (CEIE)","Provides the principles of infrastructure asset management, including performance management, risk management, financial planning, state-of-the-practice in implementing asset management systems for infrastructure owners, and challenges in development and implementation of asset management practices for public and private sector infrastructure owners. Introduces emerging technology applications in asset management to prepare the next generation of professionals for the marketplace of the future. Investigates how existing infrastructure assets are preserved, repaired and renewed, by shifting focus from creating new and additional capacity to maximizing the functionality of existing assets. Engineering, financial and investment planning, and management consulting principles are combined in a strategic and systematic process that focuses on effective operation, maintenance, upgrade, and expansion of physical assets through a whole-life approach. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Students in a Non-Degree Undergraduate degree maynotenroll. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 679","Special Topics in Construction Management","3 credits.","Civil and Infrastructure Engineering (CEIE)","Advanced topics in recently developed areas of construction management. May be repeated for credit when topics vary. Offered byCivil, Environ & Infrastr Engr. May be repeated within the term. Specialized Designation:Topic Varies Recommended Prerequisite:Graduate standing in CEIE or permission of the instructor. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 683","Water and Wastewater Systems Security","3 credits.","Civil and Infrastructure Engineering (CEIE)","Examines overall security of water and wastewater systems. Covers theory and methods to define water and wastewater infrastructure as physical and organizational systems. Explores concepts of infrastructure systems security; identifies actors, interactions in organizational infrastructure, and threats to water and wastewater infrastructure; describes behavior of physical and organizational infrastructures under stress; examines history of threats or attacks against water and wastewater systems; and explores evolution of design, operations, and maintenance paradigms in response to changes in threats. Covers proactive responses to security threats through vulnerability assessments, and models of organizational and physical infrastructure system. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:BS in Civil Engineering orCEIE 440and CEIE 455. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 686","Transportation System Security and Safety","3 credits.","Civil and Infrastructure Engineering (CEIE)","Focuses on critical transportation systems infrastructure and operations, and technologies for predicting and managing damage and disruptions caused by potential threats, including natural and technological disasters and terrorist threats. Includes asset management, methodologies for assessing vulnerabilities, potential impact of damage and disruption, applying state-of-the-art technologies and R&D processes for harnessing best analysis methods, and technologies for hardening transportation infrastructure systems. Includes sensing and surveillance using satellite and aerial remote sensing imagery, application of GIS and spatial information technologies, information and communication, intelligent transportation systems, hardening systems, and making intelligent choices for implementing technology advances to transportation security and safety. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:BS in Engineering, or permission of instructor. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 690","Topics in Civil Engineering","3 credits.","Civil and Infrastructure Engineering (CEIE)","Topics not covered in the regular civil engineering offerings. Notes: Course content may vary each semester. Course may be repeated with change in topic. Offered byCivil, Environ & Infrastr Engr. May be repeated within the term. Specialized Designation:Green Leaf Related Course, Topic Varies Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate, Junior Plus, Non-Degree or Senior Plus.Enrollment is limited to Graduate, Non-Degree or Undergraduate level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 742","Water Resources Engineering II: Water Resource Systems","3 credits.","Civil and Infrastructure Engineering (CEIE)","Introduces concepts, applications, and tools of systems analysis for water resources planning, management, and design. Problems including river basin planning, real-time hydrosystem operations, water quality management, capacity expansion, urban drainage network design, and sanitary sewer design used to illustrate applications of systems analysis. Tools include optimization and simulation modeling and knowledge-based systems. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:Graduate Standing in CEIE; CEIE641 or equivalent. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 762","Network Models for Transportation Planning","3 credits.","Civil and Infrastructure Engineering (CEIE)","Covers network models for transportation systems analysis - theory, mathematical structure, and applications of equilibrium, iterative, incremental, dynamic and stochastic equilibrium models. Also covers data structures and heuristic methods for computer implementation of various algorithms such as shortest path and direction search algorithms; specialty network topics such as tracking and prohibition of turn movements, k-shortest path algorithms and select-link analysis. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:CEIE 562or 660;CEIE 601. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 763","Discrete Choice Analysis in Transportation","3 credits.","Civil and Infrastructure Engineering (CEIE)","Utility theory and individual choice behavior; Binary choice model; Multinomial choice model; Characteristics of Probit and Logit models; Aggregate forecasting techniques; Travel survey and sampling; Test and choice of model structure; Correlation and nested Logit Model, Advanced models and estimation techniques; Travel, route choice and car ownership models. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 764","Transportation Network Algorithms","3 credits.","Civil and Infrastructure Engineering (CEIE)","This course focuses on network optimization algorithms for transportation and logistics systems. The application of these techniques to the determination of optimal routes and tours for various transportation and logistics applications is stressed. In addition to introducing a wide variety of network-related problems and existing techniques for solving a number of these problems, an important goal of the course is to help the class participants develop skills in creating and evaluating new algorithms and heuristics. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy, Graduate or Non-Degree.Students in a Non-Degree Undergraduate degree maynotenroll. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 767","Traffic Engineering Modeling and Analysis","3 credits.","Civil and Infrastructure Engineering (CEIE)","Covers fundamentals of traffic flow theory; shock-wave analysis; queuing theory; macroscopic traffic flow models on freeway and arterials; fundamentals of traffic simulation; car following models; network analysis based on traffic simulation models; and developing skills to select most appropriate model for given scenarios. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Prerequisite:CEIE 561. Recommended Corequisite:CEIE 601. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 795","Civil and Infrastructure Engineering Seminar","0 credits.","Civil and Infrastructure Engineering (CEIE)","Invited speakers, faculty, and CEIE graduate students lecture on current topics and research. Fulfills seminar requirement for MS in civil and infrastructure engineering. Notes: Students must enroll inCEIE 795each semester (fall and spring) for the duration of their MS studies. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Seminar Grading:This course is graded on theSatisfactory/No Credit scale."
"CEIE 796","Directed Reading","1-3 credits.","Civil and Infrastructure Engineering (CEIE)","Reading on specific topic under direction of faculty member. Notes: May be repeated with change in topic. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree. Recommended Prerequisite:Graduate standing and permission of instructor. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Independent Study Grading:This course is graded on theGraduate Regular scale."
"CEIE 798","Research Project in Civil Engineering","3 credits.","Civil and Infrastructure Engineering (CEIE)","Analyzes and investigates contemporary problem in civil, environmental, and infrastructure engineering. Requires prior approval by faculty member who supervises student's work. Notes: Written report also required. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Recommended Corequisite:CEIE 795. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Thesis Grading:This course is graded on theGraduate Regular scale."
"CEIE 799","Master's Thesis","1-6 credits.","Civil and Infrastructure Engineering (CEIE)","Research project chosen and completed under guidance of graduate faculty member that results in technical report acceptable to three-faculty-member committee, and an oral defense. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree. Recommended Prerequisite:18 credits of graduate-level course work and permission of instructor. Registration Restrictions:Enrollment is limited to Graduate or Non-Degree level students.Students in a Non-Degree Undergraduate degree maynotenroll.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Thesis Grading:This course is graded on theSatisfactory/No Credit scale."
"CEIE 800","Civil, Environmental, and Infrastructure Engineering Colloquium","1 credit.","Civil and Infrastructure Engineering (CEIE)","Seminar series required of Civil and Infrastructure PhD students. Features variety of speakers from universities, government, and private sectors. Topics include civil engineering technologies, research advancements, and policies. Doctoral students take 2 credits ofCEIE 800and make a presentation of their dissertation research at the seminar. No more than 1 credit per semester may be taken. Students eligible to register upon successful completion of qualifying exams. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree for a maximum 2 credits. Registration Restrictions:Enrollment limited to students in the EC-PHD-CEIE program.Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Seminar Grading:This course is graded on theGraduate Regular scale."
"CEIE 890","Special Topics in Urban Transportation","3 credits.","Civil and Infrastructure Engineering (CEIE)","Includes traffic safety analysis, simulation in transportation, intelligent  transportation systems, advanced public transportation systems, congestion and  travel demand management, geographic information systems and information  technology, and innovative refinancing and public-private partnerships. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree for a maximum 6 credits. Specialized Designation:Topic Varies Recommended Prerequisite:CEIE 560and 660 or equivalent; or permission of instructor. Registration Restrictions:Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 892","Special Topics in Environmental and Water Resource Systems Engineering","3 credits.","Civil and Infrastructure Engineering (CEIE)","Possible topics include studies in waste minimization; pollution prevention; hazardous waste management; wastewater management; air pollution control; solid waste management; environmental decision making; sustainability; water resource and environmental economics; wetlands management, design and construction; groundwater contamination modeling; stochastic hydrology; river basin planning and management; and water quality modeling. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree for a maximum 6 credits. Specialized Designation:Green Leaf Focused Course, Topic Varies Recommended Prerequisite:CEIE 601 Registration Restrictions:Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Lecture Grading:This course is graded on theGraduate Regular scale."
"CEIE 894","Design and Inventive Engineering","3 credits.","Civil and Infrastructure Engineering (CEIE)","Topics include Fundamentals: successful intelligence and creative intelligence, creative class, the Medici Effect, the Renaissance Man and Da Vinci's Seven Principles, engineering creativity; Design Engineering: system designing and architecting, designing as search, evolutionary designing, constraint search, constructive induction, Axiomatic and Inferential Design Theories; Inventive Engineering: Brainstorming, Synectics, Morphological Analysis, TRIZ, Visual Thinking, Inventive Design in Practice; Project Presentations. Notes: This is transdisciplinary course focused on creativity in engineering and science.  Open to all graduate students in the Volgenau School of IT and Engineering; graduate students from other schools are encouraged to register with the instructor's permission. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Seminar Grading:This course is graded on theGraduate Regular scale."
"CEIE 896","Civil Engineering Research Topics","3 credits.","Civil and Infrastructure Engineering (CEIE)","Reading on specific topic under direction of faculty member.  May be repeated with change in topic. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree for a maximum 6 credits. Specialized Designation:Topic Varies Recommended Prerequisite:Admission into CEIE PhD program, or permission of instructor. Registration Restrictions:Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Independent Study Grading:This course is graded on theGraduate Regular scale."
"CEIE 990","Civil and Infrastructure Dissertation Topic Presentation","1 credit.","Civil and Infrastructure Engineering (CEIE)","Opportunity for PhD students to present research proposal for critique. Covers presentation of research topic for PhD in Civil and Infrastructure Engineering. Students complete dissertation research proposal. May be repeated with change in topic, but degree credit is given only once. Offered byCivil, Environ & Infrastr Engr. May not be repeated for credit. Equivalent toSTAT 990. Recommended Prerequisite:Graduate Standing; completion of all course work required for PhD in Civil and Infrastructure Engineering or permission of instructor. Registration Restrictions:Enrollment limited to students in the EC-PHD-CEIE program.Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Research Grading:This course is graded on theSatisfactory/No Credit scale."
"CEIE 998","Doctoral Dissertation Proposal","1-12 credits.","Civil and Infrastructure Engineering (CEIE)","Work on research proposal that forms basis for doctoral dissertation. May be repeated for credit. Notes: No more than 24 credits ofCEIE 998and999may be applied to doctoral degree requirements. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree. Registration Restrictions:Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Dissertation Grading:This course is graded on theSatisfactory/No Credit scale."
"CEIE 999","Doctoral Dissertation","1-12 credits.","Civil and Infrastructure Engineering (CEIE)","Formal record of commitment to doctoral dissertation research under direction of faculty member in civil engineering and infrastructure engineering. May be repeated in the degree, but no more than 24 combined credits ofCEIE 998andCEIE 999may be applied to the doctoral degree requirements. Offered byCivil, Environ & Infrastr Engr. May be repeated within the degree. Registration Restrictions:Enrollment limited to students with a class of Advanced to Candidacy.Enrollment is limited to Graduate level students.Enrollment limited to students in the College of Science, Engineering  Computing or Schar School of Policy and Gov colleges. Schedule Type:Dissertation Grading:This course is graded on theSatisfactory/No Credit scale."
"CLAS 240","Greek and Latin Elements in English","3 credits.","Classics (CLAS)","Studies formation of English vocabulary derived from Greek and Latin prefixes, stems, and suffixes to increase word power in English (vocabulary, style). Special emphasis on bioscientific, medical, and legal terminology. Intended for native and non-native speakers of English. Literary texts illustrate word analyses, vocabulary uses. Offered byModern & Classical Languages. Limited to three attempts. Recommended Prerequisite:ENGH 101, or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 250","Classical Mythology","3 credits.","Classics (CLAS)","Illustrates role of classical myths in classical and modern literature and art. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101, equivalent, or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 260","The Legacy of Greece and Rome","3 credits.","Classics (CLAS)","Introduces history, culture, and literature of Greece and Rome through close readings of central passages from classical literature dealing with some of the most important aspects of human existence. Illustrates importance of classical antiquity for the Western tradition. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 330","Roman Law and Society","3 credits.","Classics (CLAS)","Introduces the Roman legal system, from the Law of the Twelve Tables to Justinian's Digest. Explores the fundamental concepts of Roman Law and its importance for Roman society and the legal history of the West. Offered byModern & Classical Languages. Limited to three attempts. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 340","Greek and Roman Epic","3 credits.","Classics (CLAS)","Examines development of classical epic as genre, from beginnings with Homer to transformations in the works of later Greek and Roman authors. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 350","Greek and Roman Tragedy","3 credits.","Classics (CLAS)","Follows development of tragedy from its origins to the works of Aeschylus, Sophocles, and Euripides, and its reappearance in the Roman world in the tragedies of Seneca. Considers influence of Greek tragedy on later cultures. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 360","Greek and Roman Comedy","3 credits.","Classics (CLAS)","Studies forms, contexts, and developments of comedy as a dramatic form in Greco-Roman world. Traces development of New Comedy in Hellenistic age and translation and adaptation of New Comedy by Roman dramatists Plautus and Terence. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 380","Greek and Roman Novels","3 credits.","Classics (CLAS)","Examines novels written in antiquity, and influences on postclassical and modern literature. Emphasizes works of Longus, Heliodorus, Petronius, and Apuleius. Notes: Coursework in English. Offered byModern & Classical Languages. Limited to three attempts. Mason Core:Mason Core (All), Literature Recommended Prerequisite:ENGH 101or equivalent or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLAS 390","Topics in Classical Literature and Culture","3 credits.","Classics (CLAS)","Studies forms, contexts, and developments of distinctive literary genre or cultural phenomenon in the Greco-Roman world. Notes: May be repeated for credit when topic is different. Offered byModern & Classical Languages. May be repeated within the degree. Specialized Designation:Topic Varies Recommended Prerequisite:ENGH 101or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 101","Global Warming: Weather, Climate, and Society","3 credits.","Climate Dynamics (CLIM)","Survey of the scientific and societal issues associated with weather and climate variability and change. Examines physical phenomena observed in the Earth's weather and climate, providing sufficient scientific and technical background to enable students to critically examine arguments being discussed by policymakers and the public at large. Also reviews the current debate on climate change from a scientific point of view with a focus on those aspects that have the largest potential impact on global society. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Mason Core:Mason Core (All), Natural Science Overview, Encore: Sustainability Specialized Designation:Green Leaf Related Course Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 102","Introduction to Global Climate Change Science","4 credits.","Climate Dynamics (CLIM)","The scientific basis of computer models that simulate past and present climate and predict future climate change; How complex models are built, tested, and interpreted to better understand physical, chemical, and biological processes; how uncertainty is managed. Students conduct laboratory experiments through an online interface and apply results to policy and planning. Designated a Green Leaf Course. Notes: Computer models are used in the lab. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Mason Core:Mason Core (All), Natural Science with Lab, Encore: Sustainability Specialized Designation:Green Leaf Related Course Recommended Prerequisite:Basic math skills (Geometry, Algebra). Schedule Type:Laboratory, Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 103","Global Warming: Weather, Climate, and Society Laboratory","1 credit.","Climate Dynamics (CLIM)","Laboratory course accompanyingCLIM 101. This course uses hands-on exercises to teach students about the causes and impacts of climate change, as well as adaptation and mitigation. Students will learn how to find and interpret climate data, analyze data related to climate adaptation and mitigation, quantify inequities in incidence of climate hazards, and communicate the elements of the scientific inquiry process. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Registration Restrictions:Required Prerequisites:CLIM 101Cor101XS.CRequires minimum grade of C.XSRequires minimum grade of XS. Schedule Type:Laboratory Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 111","Introduction to the Fundamentals of Atmospheric Science","3 credits.","Climate Dynamics (CLIM)","An overview of the Earth's atmosphere, its history, and the physical and chemical processes that determine its characteristics. The focus is on key concepts from thermodynamics, radiation, chemistry, and dynamics that are essential for understanding the state, variability, and long term evolution of the atmosphere, especially in the context of comparisons with other planetary atmospheres. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Equivalent toPHYS 111. Mason Core:Mason Core (All), Natural Science with Lab, Natural Science Overview, Encore: Sustainability Specialized Designation:Green Leaf Related Course Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 112","Introduction to the Fundamentals of Atmospheric Science Lab","1 credit.","Climate Dynamics (CLIM)","Laboratory course associated withPHYS 111/CLIM 111. Study of the Earth's atmosphere based on concepts taken from thermodynamics, radiation transport, chemistry, and dynamics. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Equivalent toPHYS 112. Mason Core:Mason Core (All), Natural Science with Lab, Encore: Sustainability Specialized Designation:Green Leaf Related Course Registration Restrictions:Required Prerequisites:(PHYS 111*C,CLIM 111*C,PHYS 111XSorCLIM 111XS).*May be taken concurrently.CRequires minimum grade of C.XSRequires minimum grade of XS. Schedule Type:Laboratory Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 301","Weather Analysis and Prediction","4 credits.","Climate Dynamics (CLIM)","Large-scale behavior of mid-latitude weather systems. Includes coupling of synoptic motion to mesoscale processes that lead to significant weather events. Introduces the observational network, numerical weather models, and prediction. Laboratory portion gives practical experience in weather analysis, prediction, and technology currently used for visualization and analysis. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Recommended Prerequisite:MATH 113or equivalent; and one of: CLIM/PHYS 111/112, orGGS 121. Schedule Type:Laboratory, Lecture Grading:This course is graded on theUndergraduate Regular scale."
"CLIM 312","Physical Climatology","3 credits.","Climate Dynamics (CLIM)","Quantitative description of nature and theory of the climate system, dynamics of atmosphere-ocean-land surface, internal interactions and response to external forcing, description of the climate record and simple climate models. Offered byAtmospheric/Oceanic/Earth Sci. Limited to three attempts. Equivalent toGGS 312. Recommended Prerequisite:CLIM/PHYS 111/112 OR GGS 121; andPHYS 243,244, or permission of instructor. Schedule Type:Lecture Grading:This course is graded on theUndergraduate Regular scale."
