"course_title","code","subject","description"
"Community Leadership","ABSC 150","ABSC - Applied Behavioral Science","An introduction to analysis, intervention, evaluation, and leadership in contemporary problems facing local communities. Readings, lectures, and service-learning activities enable students to understand community problems and how citizens and professionals can address them."
"Community Leadership, Honors","ABSC 151","ABSC - Applied Behavioral Science","An introduction to analysis, intervention, evaluation, and leadership in contemporary problems facing local communities. Readings, lectures, and service-learning activities enable students to understand community problems and how citizens and professionals can address them. Open only to students in the University Honors Program."
"Introduction to Child Behavior and Development","ABSC 160","ABSC - Applied Behavioral Science","An introduction to child behavior and development with an emphasis on the normal developmental range of growth, intelligence, cognition, emotion, language, and social skills from birth to adolescence."
"Human Development","ABSC 250","ABSC - Applied Behavioral Science","This course examines the psychological, social, and physical development of humans across the lifespan from conception through infancy, childhood, adolescence, adulthood and death. The course will explore the broad array of factors that contribute to development including cognitive, emotional, social, neurological, physical, genetic, and environmental influences.  (Same asPSYC 250.)  Prerequisite:PSYC 104orPSYC 105."
"Study Abroad Topics in:  _____","ABSC 279","ABSC - Applied Behavioral Science","A course designed to enhance international experience in topic areas related to applied behavioral science at the freshman/sophomore level.  Coursework must be arranged through the Office of KU Study Abroad.  May be repeated for credit if the content differs.  Prerequisite:  Department permission."
"Principles and Procedures of Behavioral Interventions","ABSC 304","ABSC - Applied Behavioral Science","An examination of the application of the principles and procedures of behavior analysis in interventions used to address problems in adolescent and family life, adult behavioral issues including addictions, childhood autism, community health, early childhood education, intellectual and developmental disabilities, language development, organizational behavior management, and physical disabilities. The course focuses on fundamental elements of behavior change and specific behavior-change procedures to increase and maintain appropriate behaviors and reduce inappropriate behaviors. Issues in design, implementation, measurement, and evaluation of the effects of behavioral interventions and the ethical implications of the use of these interventions are examined.  Prerequisite:ABSC 100orABSC 101with a grade of C or better."
"Research Methods and Application","ABSC 308","ABSC - Applied Behavioral Science","Examines research methods used to identify, describe, understand, and intervene on socially important problems occurring across the life span (e.g., early childhood, adolescence, elders) and in varied settings (homes, classrooms, group-care facilities, and communities). Discusses research methods and concepts (e.g., prediction, experimental control, reliability, validity) within scientific, psychological, and behavior- analytic frameworks. Presents strategies and tactics regarding descriptive and experimental methods, direct and indirect measurement, graphical and statistical analysis, and single-subject and group experimental designs. Examines ethics and social responsibility in research. Provides opportunities to read primary and secondary sources, develop research questions, write and present research proposals, and assist in the conduct of research projects. Prerequisite:ABSC 100orABSC 101andABSC 304with a grade of C or better in each course."
"Child Life: Introduction to Theory and Practice","ABSC 309","ABSC - Applied Behavioral Science","Overview of theory and practice issues related to the Child Life Specialty, including history of the profession and its development, foundations of family centered care, scope of practice of a child life specialist, regulatory issues within the profession (e.g., ethical code, competencies, standards of practice), and historic and current perspectives on preparation of children for healthcare encounters and life-changing events."
"Building Healthy Communities","ABSC 310","ABSC - Applied Behavioral Science","This course teaches knowledge and skills for addressing issues in community health and development (e.g., substance abuse, adolescent pregnancy, child and youth development, prevention of violence). Students learn core competencies such as analyzing community problems and goals, strategic planning, intervention, and evaluation. In a service-learning component, students apply these skills to issues that matter to them and to the communities they serve."
"Building Healthy Communities, Honors","ABSC 311","ABSC - Applied Behavioral Science","This course teaches knowledge and skills for addressing issues in community health and development (e.g., substance abuse, adolescent pregnancy, child and youth development, prevention of violence). Students learn core competencies such as analyzing community problems and goals, strategic planning, intervention, and evaluation. In a service-learning component, students apply these skills to issues that matter to them and to the communities they serve.  Prerequisite:  Open only to students in the University Honors Program."
"Therapeutic Benefits of Play","ABSC 349","ABSC - Applied Behavioral Science","Overview of therapeutic play activities for children and adolescents with a range of health issues and needs, with particular attention to classical and contemporary theories on play,  play as an essential element for children's growth, development, and learning, and the influence of the environment on children's play.  Special emphasis will be placed on the design and implementation of therapeutic play activities in the healthcare setting.  Prerequisite:ABSC 160orPSYC 333."
"The Behavioral Treatment of Children with Autism","ABSC 350","ABSC - Applied Behavioral Science","Students learn about methods of teaching children with autism and about evaluating those methods. Topics include: basic methods of teaching as applied to imitation, productive and receptive language, self-help skills, and engagement in community activities, as well as observation and measurement of behavior in community settings and evaluating consumer satisfaction. The course consists of classroom lectures, discussions, demonstrations, examinations, and completion of laboratory and observation assignments. Enrollment priority is given to majors who intend to do practicum work with children with autism.  Prerequisite:ABSC 304or instructor permission."
"Family Systems","ABSC 359","ABSC - Applied Behavioral Science","This class is designed to provide students with an overview of the theoretical, behavioral, and psychological perspectives of family systems and family dynamics. Specific topics include the historical and contemporary theories related to family structure and functions, family relationships and the dynamics of family life, adaptations in family structure and interaction patterns during times of transition, adult-child interactions and family roles, broader societal perspectives of diversity and cultural variance, and exploration of current research and theory as it applies to family systems.  Prerequisite:ABSC 160orPSYC 333."
"Drugs, Addiction, and Behavior","ABSC 360","ABSC - Applied Behavioral Science","This course offers an overview of the basic and applied research in behavioral pharmacology and addictions, as well as interventions.  Among the topics it covers are a history of drugs, addiction, and behavior; basic principles of drug action (e.g., pharmacodynamics); behavioral pharmacology testing paradigms (e.g., self-administration); drug action and effects (e.g., alcohol, nicotine, designer drugs, anti-depressants); behavioral deficits associated with addictions (e.g., memory); addiction treatment and recovery (e.g., maturing out, contingency management); and drugs and society.  Prerequisite:ABSC 100.PSYC 104is also recommended."
"Practicum Preparation for Behavioral Treatment for Children with Autism","ABSC 377","ABSC - Applied Behavioral Science","In this course, students will learn about teaching methods for teaching new skills to children with autism, data collection skills, and methods for decreasing maladaptive behavior. The primary goal of this course is to prepare students to serve as behavior technicians (i.e., front-line therapists). Behavior technicians are responsible for teaching language, social skills, self-help skills, and academic skills to people with intellectual and developmental disabilities. This course is required for Applied Behavioral Science (ABS) students in the Early Childhood Autism Intervention concentration, and it is a prerequisite for the practicum courseABSC 680(Advanced Laboratory in the Development of Behavioral Treatments for Children with Autism).  Prerequisite:ABSC 304or instructor permission."
"Applied Behavior Analysis in Early Childhood Education &amp; Intervention","ABSC 380","ABSC - Applied Behavioral Science","Advanced undergraduate-level course in applied behavior analysis (ABA) that will survey evidence-based, behavior analytic intervention and teaching strategies that are appropriate for young children (birth toage 8), both with and without intellectual and developmental disabilities. The course will include readings on applied behavior analysis (ABA), concepts related to the developmentally appropriate education of young children (e.g., curriculum content and techniques of early childhood classrooms, the observation of children, and the planning and presentation of activities that will enhance the physical, social, and intellectual development of children), and evidence-based methods for evaluation and intervention with children with intellectual and developmental disabilities.  Prerequisite:ABSC 304or instructor permission."
"Behavioral Approaches in Working with Adolescents","ABSC 410","ABSC - Applied Behavioral Science","Addresses some of the basic behavioral techniques used with juveniles who have problems in school, at home, or in the community: readings and role-playing sessions covering assessment of problems, relationship development, observing and defining behavior, teaching and contracting techniques, and  counseling. Prerequisite:ABSC 304highly recommended."
"Teaching Apprenticeship in Applied Behavioral Science","ABSC 425","ABSC - Applied Behavioral Science","Students read new materials, become more fluent withABSC 100content, and acquire tutoring skills.  Course may not be repeated.  Prerequisite:ABSC 100and consent of the instructor and department chair."
"Ethical, Legal and Professional Issues in Applied Behavioral Science","ABSC 441","ABSC - Applied Behavioral Science","The course covers ethical and legal issues in the responsible conduct of basic, applied, intervention and prevention research (e.g., informed consent and assent with typical and atypical populations); inclusion of underrepresented groups, participatory action research; bias, fraud, and plagiarism, conflict of interest; reporting misconduct; authorship conflict). It also covers professional issues in behavioral consultation and training, review of the Behavior Analysis Certification Board task list on basic behavior-analytic skills, client-centered responsibilities, and foundational knowledge. This course satisfies the Behavior Analysis Certification Board requirementfor 15classroom contact hours of coursework related to Ethical Considerations in Behavior Analysis needed to take the BACB examination.  This course is taught atthe 400and 800levels, with additional assignments atthe 800-level.  PrerequisiteABSC 308."
"Curriculum Development for Young Children","ABSC 444","ABSC - Applied Behavioral Science","A survey of educational materials and activities appropriate for young children. Students explore several components of effective curriculum development (e.g., objectives, methods of activity presentation, teaching strategies) and learn to integrate them to construct curricula for a range of content and skill areas.  By focusing on functional components of a curriculum, students learn to construct, critically evaluate, and modify curricula for typically and atypically developing children.  Prerequisite:ABSC 304or instructor permission."
"Special Topics in:  _____","ABSC 469","ABSC - Applied Behavioral Science","A course designed for the study of special topics in applied behavioral science. Course content addresses major topics and specialized issues in the field.  May be repeated for credit if the content differs.  Prerequisite: Instructor permission."
"Organizational Behavior Management","ABSC 470","ABSC - Applied Behavioral Science","This course offers detailed discussion of the organizational behavior management (OBM) literature including performance management, behavioral systems analysis, and behavior-based safety.  This course also addresses empirically supported staff training procedures and research in implementation science.  Prerequisite:ABSC 100."
"Verbal Behavior","ABSC 477","ABSC - Applied Behavioral Science","The purpose of this course is to introduce a behavioral framework for the analysis of verbal behavior. In this course, students will learn about Skinner’s (1957) analysis of verbal behavior and the controlling variables associated with each verbal operant. In addition, we will discuss extensions of verbal operants and analyze multiply-controlled verbal behavior. Students will read current research in the area of verbal behavior and examine the extent to which verbal behavior impacts instruction for children with autism.  Prerequisite:ABSC 304or instructor permission."
"Directed Readings in:  _____","ABSC 489","ABSC - Applied Behavioral Science","A course designed for directed readings in applied behavioral science. Readings address major topics and specialized issues in the field. May be repeated for credit if the content differs.  Prerequisite:  Instructor permission."
"Directed Research in: _____","ABSC 499","ABSC - Applied Behavioral Science","Basic and applied research experience.  The course provides training in research methods, measures, and designs, and the conduct of research, in the behavioral sciences.  May be repeated for credit if the content differs.  Prerequisite:  Instructor permission."
"Contemporary Behavioral Science: Historical, Conceptual, and Comparative Foundations","ABSC 509","ABSC - Applied Behavioral Science","This course provides a survey of modern behavioral science and its applications. It reviews the field's history; integrates its sub-disciplines; situates it within the natural sciences, social sciences, and humanities; and compares and contrasts it with other perspectives. It covers recent advances in research, their implications for understanding human behavior, and their application to solving societal problems.  And, it addresses the ethical implications of applied behavioral science.  Prerequisite:ABSC 100orABSC 101andABSC 304with a grade of C or better in each course."
"Psychological Aspects of Death and Dying","ABSC 519","ABSC - Applied Behavioral Science","Students will be exposed to the historical and current cultural, psychological, spiritual/religious, and practical/legal perspectives of death and dying, with particular attention to how mental health professionals interface with systems of care to address loss across multiple developmental levels. Additional topics include ambiguous loss, suicide, transitions, palliative care, self-awareness, and professional self-care.  Prerequisite:  Junior or Senior standing."
"Pediatric Health and Health Promotion","ABSC 529","ABSC - Applied Behavioral Science","An undergraduate seminar on the application of psychological theory and practice to pediatric illness and health promotion. Students will be exposed to key issues related to the health and health care of children and adolescents (and their families), with particular attention to how applied psychology interfaces with medicine and allied health to promote children's health and health care.  Prerequisite:  Junior or Senior standing."
"Developmental Psychopathology","ABSC 535","ABSC - Applied Behavioral Science","A review of contemporary psychological and developmental disorders of children and youth. Course presents current models of psychopathology, classification systems, assessment methods, and treatment approaches designed for the individual, the family, and the community. Specific attention is given to age, gender, and cultural differences and similarities. Topics include: anxiety disorders, oppositional behavior disorders, physical/sexual abuse, learning disabilities, depression, chronic physical illness, and autism.  (Same asPSYC 535.)  Prerequisite:ABSC 160orPSYC 333, or instructor permission."
"The Juvenile Justice System:  A Behavioral and Legal Perspective","ABSC 560","ABSC - Applied Behavioral Science","An overview of the juvenile justice system, including the history, development, and current controversy over children's rights in the legal system examined in light of relevant principles of behavioral science and behavioral systems of rehabilitation. Topics include delinquency, miscreancy, status offenses, dependent-neglected children, child abuse, and juvenile court procedures and personnel (e.g., probation officers), and rehabilitative programs.  Prerequisite:ABSC 100."
"Honors and Thesis in Applied Behavioral Science","ABSC 599","ABSC - Applied Behavioral Science","A two-semester course combining small group discussions of selected, advanced topics in applied behavioral science with honors thesis supervision on a project of the student's own design. Students normally enroll for one or two hours in fall semester and three to five hours in spring semester.  Prerequisite:ABSC 304,ABSC 308, and instructor permission."
"Special Projects in the Community","ABSC 606","ABSC - Applied Behavioral Science","Structured opportunities to develop and apply knowledge and skills (e.g., analyzing problems, strategic planning, intervention, evaluation) in a project that addresses a community problem or goal.  Prerequisite:  Instructor permission."
"Adolescent Behavior and Development","ABSC 626","ABSC - Applied Behavioral Science","Impact of factors of social environment and physical growth upon psychological development from puberty to young adulthood.  (Same asPSYC 626.)  Prerequisite:PSYC 104,PSYC 333, orABSC 160."
"Advanced Child Behavior and Development","ABSC 632","ABSC - Applied Behavioral Science","An advanced course in child development that includes a survey of the field's principles and theoretical approaches, and current issues in research and practice. Topics will include: prenatal development, cognition and language, social-emotional development, socialization influences in childhood, developmental psychopathology, and social policies.  (Same asPSYC 632.)  Prerequisite:ABSC 160,PSYC 333, or instructor permission, and senior or graduate status."
"Practicum in Infant-Toddler Care and Early Intervention I","ABSC 675","ABSC - Applied Behavioral Science","Experience in a classroom-based early intervention and child-care program serving children youngerthan 3years. Students gain practical experience with care-giving and teaching practices appropriate for typically and atypically developing children. Students learn to develop and implement individualized curricula based on assessments of children's skills.  Prerequisite:ABSC 380(or concurrent enrollment) and instructor permission."
"Practicum in Infant-Toddler Care and Early Intervention II","ABSC 676","ABSC - Applied Behavioral Science","An advanced practicum providing experience in classroom-based early-intervention and child-care program serving children youngerthan 3years. Students gain practical experience with care-giving and teaching practices appropriate for typically and atypically developing children. Students learn to develop and implement individualized curricula based on assessments of children's skills.  Prerequisite:ABSC 675and instructor permission."
"Practicum in Preschool Education and Intervention I","ABSC 677","ABSC - Applied Behavioral Science","A one-semester practicum providing opportunities for students to assume responsibility for the education and guidance of young children in an early childhood program. Regularly scheduled individual and staff conferences enable students to evaluate personal growth and progress as teachers of young children. Prerequisite:ABSC 380(or concurrent enrollment) and instructor permission. Must also meet special state requirements for child care employees and volunteers."
"Practicum in Preschool Education and Intervention II","ABSC 678","ABSC - Applied Behavioral Science","A one-semester advanced practicum providing opportunities for students to assume responsibility for the education and guidance of young children in an early childhood program. Regularly scheduled individual and staff conferences enable students to evaluate personal growth and progress as teachers of young children.  Prerequisite:ABSC 380,ABSC 677, and instructor permission. Must also meet special state requirements for child care employees and volunteers."
"Practicum in Behavior Analysis Research in Early Childhood Education","ABSC 679","ABSC - Applied Behavioral Science","A two-semester practicum providing opportunities for supervised training in one of several ongoing research projects in the field of behavior analysis, either basic or applied. Students assist in conducting research and participate in individual and group meetings to discuss and evaluate research and related methodological issues.  Prerequisite:ABSC 308and instructor permission."
"Practicum in Advanced Laboratory in the Development of Behavioral Treatments for Children with Autsm","ABSC 680","ABSC - Applied Behavioral Science","Students participate in an intensive behavioral treatment program teaching language, social skills, self-help skills, and academic skills to young children with autism. Students learn: to develop and implement treatment programs; design and use of a system of data collection and analysis; and apply the principles and philosophy of community and school mainstreaming.  Prerequisite:ABSC 377and instructor permission."
"Practicum II in Advanced Laboratory in Development of Behavioral Treatment for Children with Autism","ABSC 681","ABSC - Applied Behavioral Science","Students participate in an intensive behavioral treatment program teaching language, social skills, self-help skills, and academic skills to young children with autism. Students learn: to develop and implement treatment programs; design and use of a system of data collection and analysis; and to apply the principles and philosophy of community and school mainstreaming.  Prerequisite:ABSC 680and instructor permission."
"Practicum in Child Life Specialty","ABSC 683","ABSC - Applied Behavioral Science","This practicum is designed to provide training and support in the practice of Child Life Specialty (CLS) in a hospital/health care environment. Students will receive supervised experience under the supervision of certified Child Life Specialists, didactic instruction in professional issues related to CLS, and individual advising. Students will create a clinical portfolio to document their development of specific clinical/professional competencies over the course of the semester. Individual advising focuses on development of the students’ resume/cover letter and individualized study plans for preparing for the CLS certification exam. This course may be repeated once for credit.  Prerequisite:ABSC 309and instructor permission. Must also meet special state and/or hospital requirements for child care employees and volunteers (e.g., criminal background check)."
"Practicum in Community-Based Services for Adults with Intellectual and Developmental Disabilities","ABSC 685","ABSC - Applied Behavioral Science","A one- or two-semester practicum providing supervised opportunities in supporting adults with intellectual and developmental disabilities in community-based environments. Students will be trained and supervised to implement assessment and intervention procedures for socially significant behavior change in adults with intellectual and developmental disabilities, collect data and make data-based decisions, and conduct training to support staff working with adults with intellectual and developmental disabilities.  Students are also required to read relevant literature and participate in weekly meetings to discuss the literature and progress on assessment and intervention procedures. Meets capstone course requirement for degree.  Prerequisite:ABSC 350and instructor permission."
"Practicum in Community Health and Development","ABSC 690","ABSC - Applied Behavioral Science","A two-semester practicum in which students engage in structured opportunities to practice core competencies related to the work of promoting community health and development (e.g., strategic planning, intervention, evaluation). In weekly group meetings, students prepare for their individual working field settings (e.g., health and human service agencies, research and advocacy organizations, community organizations).  Prerequisite:ABSC 150,ABSC 310, and instructor permission."
"Practicum in Community Health and Development, Honors","ABSC 691","ABSC - Applied Behavioral Science","A two-semester practicum in which students engage in structured opportunities to practice core competencies related to the work of promoting community health and development (e.g., strategic planning, intervention, evaluation). In weekly group meetings, students prepare for their individual working field settings (e.g., health and human service agencies, research and advocacy organizations, community organizations).  Prerequisite:  Open only to students in the University Honors Program;ABSC 151,ABSC 311and instructor permission."
"Practicum in Basic Research and Conceptual Foundations","ABSC 692","ABSC - Applied Behavioral Science","Practical supervised training in the laboratory study of human and/or animal behavior.  Students assist in conducting basic research, read and discuss research articles, attend lab meetings, and acquire data analysis and presentation skills.  Prerequisite:ABSC 308(or concurrent enrollment) and permission of the instructor."
"Special Practicum in:  _____","ABSC 695","ABSC - Applied Behavioral Science","A one or two-semester practicum providing opportunities for supervised, hands-on training outside the existing specialty areas or their options.  This practicum must be arranged with the prior approval of a faculty advisor and the department's Undergraduate Curriculum Committee.  Students should see an advisor about this practicum early in their junior year.  Prerequisite:  Instructor permission."
"Special Practicum in, Honors:  _____","ABSC 696","ABSC - Applied Behavioral Science","A one or two-semester practicum providing opportunities for supervised, hands-on training outside the existing specialty areas or their options.  This practicum must be arranged with the prior approval of a faculty advisor and the department's Undergraduate Curriculum Committee.  Students should see an advisor about this practicum early in their junior year.  Prerequisite: Open only to students in the University Honors Program and instructor permission."
"Special Research Practicum in:  _____","ABSC 698","ABSC - Applied Behavioral Science","A one or two-semester research practicum providing opportunities for supervised, hands-on research training outside the existing specialty areas or their options. This practicum must be arranged with the prior approval of a faculty advisor and the department's Undergraduate Curriculum Committee.  Students should see an advisor about this practicum early in their junior year.  Prerequisite: Instructor permission."
"Special Research Practicum in, Honors:  _____","ABSC 699","ABSC - Applied Behavioral Science","A one or two-semester research practicum providing opportunities for supervised, hands-on research training outside of the existing specialty areas or their options. This practicum must be arranged with the prior approval of a faculty advisor and the department's Undergraduate Curriculum Committee.  Students should see an advisor early in their junior year about the practicum and its prerequisites and requirements.  Prerequisite:  Open only to students in the University Honors Program and instructor permission."
"Curriculum Development for Young Children","ABSC 702","ABSC - Applied Behavioral Science","A survey of educational materials and activities that are appropriate for young children (birth toage 8).  Students explore several components of effective curriculum (e.g., objectives, effective methods of activity presentation, teaching strategies) and learn to combine them to construct curriculums for a range of content and skill areas.  By focusing on the functional components of curriculums, students learn to construct, critically evaluate, and modify them for both typically developing children and children with special needs."
"Research Practicum in Clinical Child Psychology","ABSC 704","ABSC - Applied Behavioral Science","This course provides students in the Clinical Child Psychology Program with the opportunity to enhance and consolidate their research activities by fulfilling one of the elective cluster course requirements.  This practicum involves a contract with a research advisor and the program director.  The contract includes definable products and dates for completion to prepare research for submission for publication, develop a grant proposal, or conduct additional research project independent of other requirements in the program.  The course is not to be taken as an overload, but is to be part of a full-time course schedule.  May be repeated.  (Same asPSYC 704.)  Prerequisite:  Graduate standing in clinical child psychology and instructor permission."
"Special Topics in Clinical Child Psychology: _____","ABSC 706","ABSC - Applied Behavioral Science","A course offering detailed discussion of the literature and research methods of a special topic within clinical child and pediatric psychology.  Topic and instructor may change by semester and will be announced in the Schedule of Classes.  May be repeated.  (Same asPSYC 706.)  Prerequisite:  Graduate standing in clinical child psychology and instructor permission."
"Community Health and Development","ABSC 710","ABSC - Applied Behavioral Science","This course extends knowledge and skills for addressing issues in community health and development (e.g., substance abuse, adolescent pregnancy, child and youth development, prevention of violence).  Students learn core competencies such as analyzing community problems and goals, strategic planning, intervention, and evaluation, and then apply these skills to issues that matter to them and to the communities they serve.  (Same asISP 871.)"
"Experimental Problems in Community Settings","ABSC 716","ABSC - Applied Behavioral Science","Research in the experimental design and analysis of community settings.  No morethan 10hours total.  Prerequisite:  Instructor permission."
"Experimental Field Work in Community Settings","ABSC 719","ABSC - Applied Behavioral Science","Instruction in the methods and techniques of the experimental design and analysis of community settings through supervised participation in established research programs.  Emphasizes the techniques of gathering original experimental data.  No morethan 10hours total.  Prerequisite:  Instructor permission."
"Research Methods and Application","ABSC 725","ABSC - Applied Behavioral Science","Surveys research methods used to identify, describe, understand, and intervene on socially important problems occurring across the life span (e.g., early childhood, adolescence, elders) and in varied settings (homes, classrooms, group-care facilities, and communities).  Discusses research methods and concepts (e.g., prediction, control, reliability, validity) within scientific, psychological, and behavior-analytic frameworks.  Presents strategies and tactics regarding descriptive and experimental methods, direct and indirect measurement, graphic and statistical analysis, and single-subject and group experimental designs.  Examines ethics and social responsibility in research.  Provides opportunities to read secondary and primary sources, develop research questions, write and present research proposals.  Prerequisite:  Instructor permission."
"Within Subjects Research Methodology and Direct Observation","ABSC 735","ABSC - Applied Behavioral Science","A graduate level introduction to the logic of experimentation, direct observation strategies, and research conducted using individual (e.g., single subject) and time series experimental designs.  Prerequisite:  Graduate standing in applied behavioral science or instructor permission."
"Introduction to Behavioral Science","ABSC 746","ABSC - Applied Behavioral Science","This introductory course promotes knowledge and skill in analyzing behavioral problems across a range of societal issues. Special consideration is given to designing interventions, implementing, managing, and supervising applied projects. Topics include the identification and selection of problems and target populations, analysis of problems and goals, designing measurement systems, developing interventions, and disseminating products from applied behavioral research."
"Evaluating and Disseminating Scientific Material I","ABSC 765","ABSC - Applied Behavioral Science","Intensive training in the evaluation and production of scientific critiques and reviews of current issues in the analysis of behavior, as disseminated through the media.  May be repeated.  Prerequisite:  Instructor permission."
"Within Subjects Research Methodology and Direct Observation","ABSC 770","ABSC - Applied Behavioral Science","A graduate level introduction to the logic of experimentation, direct observation strategies, and research conducted using individual (e.g., single subject) and time series experimental designs.  Prerequisite:  This course is reserved for students in our online program."
"Introduction to Applied Behavioral Science","ABSC 771","ABSC - Applied Behavioral Science","This introductory course promotes knowledge and skill in analyzing behavioral problems across a range of societal issues. Special consideration is given to designing interventions, implementing, managing, and supervising applied projects. Topics include the identification and selection of problems and target populations, analysis of problems and goals, designing measurement systems, developing interventions, and disseminating products from applied behavioral research.  Prerequisite:  This course is reserved for students in our online program."
"Conceptual Foundations of Behavior Analysis","ABSC 772","ABSC - Applied Behavioral Science","An advanced Master's seminar on the theoretical, philosophical, and conceptual foundations of behavior analysis. It covers the field's history and purview (e.g., natural science, historical science, applied science); its philosophy of science (e.g., empiricism, pragmatism); the nature of its science (e.g., inductive, experimental, field-theoretic); the products of its science (e.g., principles, concepts, theories); its ethical systems (e.g., humanism, naturalized ethics, personal responsibility); its relations with other fields (e.g., biology, psychology, anthropology); its contrasts with folk philosophy and folk psychology (e.g., mentalism, free will); and its comparisons with like-minded philosophies, psychologies, and cultural practices (e.g., embodied cognition, secular humanism, communitarianism.)  Prerequisite:ABSC 854or instructor permission."
"Applied Behavior Analysis in Complex Organizations","ABSC 773","ABSC - Applied Behavioral Science","An examination of the theory, principles, and methods of behavior analysis and their applications to problems of human behavior in complex organizations such as businesses, industries, human service organizations, and governments.  Prerequisite:  Graduate standing or instructor permission."
"Multidisciplinary Perspectives on Gerontology and Aging","ABSC 787","ABSC - Applied Behavioral Science","A seminar coordinated by the Gerontology Program. The seminar explores essential areas of gerontology for researchers and practitioners, providing a multidisciplinary (biology, health services, behavioral and social sciences,human services) perspective on aging. The seminar surveys contemporary basic and applied research, service programs, and policy and management issues in gerontology.  (Same asAMS 767,PSYC 787, andSOC 767.)"
"Designing Early Education Environments","ABSC 788","ABSC - Applied Behavioral Science","This course reviews empirically-supported strategies for designing effective and socially valid care and education environments for young children with and without disabilities. Topics will include: early educational theory, individualized curricula and goal selection strategies, various instructional typologies (e.g., direct instruction, embedded teaching), specific teaching tactics (e.g., prompting, time delay, differential reinforcement), preventive and assessment-based behavioral management strategies, current best practice recommendations for design of the social and physical environment, and methods for assessing children's, caregivers', and teachers' programmatic preferences.  Prerequisite:ABSC 796."
"Proseminar in Child Language","ABSC 797","ABSC - Applied Behavioral Science","A review and discussion of current issues in children's language acquisition. May be repeated for credit. Graded on a satisfactory/unsatisfactory basis.  (Same asCLDP 799,LING 799,PSYC 799andSPLH 799.)"
"Experimental Analysis of Behavior","ABSC 799","ABSC - Applied Behavioral Science","This course provides an in-depth description of the basic principles of operant and respondent conditioning in the context of basic non-human and human subjects research. Students will learn various theoretical approaches to understanding effects of reinforcement and punishment. Special attention will be provided to the role of verbal processes in the learning of verbally competent individuals. Students will gain substantive experience with identifying laboratory derived principles present in the literature that are relevant to application through assigned projects."
"Conceptual Foundations of Applied Behavioral Science","ABSC 800","ABSC - Applied Behavioral Science","A master's-level graduate seminar on the field's conceptual foundations, with special emphasis on behavior analysis and its application - applied behavior analysis.  The course addresses the field's history, philosophy of science, and disciplinary purview; its advanced behavioral principles and processes; its analyses of various content domains in the behavioral, social, and cognitive sciences (e.g., emotion, language, cognition, culture); and its relation to other disciplines (e.g., biology, psychology, anthropology).  It also considers professional issues in, for example, the ethical conduct of research and practice.  Prerequisite:ABSC 799."
"Design and Analysis of Community Development Methods","ABSC 801","ABSC - Applied Behavioral Science","An examination of principles and practices of community development and evaluation of methods used to promote community improvement. May be repeated if the content differs.  Prerequisite:  Instructor permission."
"Behavior Analysis in Developmental Disabilities","ABSC 802","ABSC - Applied Behavioral Science","A graduate seminar that includes an overview of the behavioral characteristics of various developmental disabilities and examination of empirically-supported behavioral approaches to the study and treatment of developmental disabilities.  Topics will include classification and etiology, motivation, methods for developing appropriate skills, assessment and treatment of behavior disorders, staff training, and legal and ethical issues related to treatment.  Prerequisite:  Instructor permission."
"Fundamentals of Psychological Assessment and Intervention with Children","ABSC 803","ABSC - Applied Behavioral Science","Lecture and supervised experience covering the theoretical and empirical literature on assessment and intervention methods for children, adolescents,  and families.  Students will learn and demonstrate evidence-based clinical interviewing skills, behavioral observation techniques, risk assessment techniques, therapeutic communication approaches, strategies for providing assessment feedback to families, and ethical principles related to the provision of assessment and psychotherapy (including client file and resource management.)  The course requires interaction with clinical populations and communication with referral sources.  (Same asPSYC 803.)  Prerequisite:  Graduate student in clinical child psychology program."
"Research in Community Health Promotion","ABSC 804","ABSC - Applied Behavioral Science","Supervised, original investigations of problems relevant to community health, such as the prevention of substance abuse or promotion of child outcomes.  As appropriate, the course is focused on any combination of:  literature research, research planning, and preparation conducting research, analyzing data, writing research reports, or preparing oral reports of completed research.  Prerequisite:  Instructor permission."
"Functional Behavioral Assessment","ABSC 805","ABSC - Applied Behavioral Science","The strategies, tactics, and ethics of functional assessment are presented in the larger context of behavioral assessment (e.g., nomothetic and idiographic approaches).  Research articles relevant to indirect, descriptive, and experimental functional assessment approaches and assessment-based interventions are carefully reviewed to determine the appropriate conditions for each type of assessment and intervention.  Prerequisite:  Instructor permission."
"Design and Evaluation of Community Health Promotion Methods","ABSC 807","ABSC - Applied Behavioral Science","An examination of the methods used to develop and evaluate community health promotion programs.  The course addresses topics of interest to participants, such as substance abuse, adolescent pregnancy, or child outcomes.  May be repeated for credit if the content differs.  Prerequisite:  Instructor permission."
"Professional Issues:  Clinical Child Psychology","ABSC 809","ABSC - Applied Behavioral Science","Consideration of special problems confronting the child and family oriented scientist-practitioner, and in the development of a professional identity.  Topics include critical issues, including ethical, legal, cultural, empirical, and clinical aspects of research and practice.  May be repeated.  (Same asPSYC 809.)  Prerequisite:  Graduate standing in clinical child psychology."
"Introduction to Developmental Assessment","ABSC 810","ABSC - Applied Behavioral Science","A course covering the general principles of developmental assessment from birth through adulthood, with special emphasis on the history and nature of assessment instruments and the criteria for acceptance, reliability, and stability of results.  Selected assessment techniques for infants, preschool children, elementary school children, adolescents, and adults are reviewed and evaluated for their utility, limitations, and applications.  A critical analysis of assessment in general and particular assessment tools is made."
