"department","code","title","description","credits"
"Comparative Literature (CMLIT)","CMLIT 455","Ethics, Justice, and Rights in World Literature","Concepts of ethics, justice, and rights, appearing in world literature and/or film.CMLIT 455Ethics, Justice, and Rights in World Literature (3) (IL)The course will consider how literature and culture address common concerns, including morality, justice, equality, and agency from different perspectives, aesthetic styles, and formal constraints. Students will consider how cultural texts, like legal and philosophical texts, have the power to influence politics and society. Literature is important for understanding ethics, justice, and rights because it teaches ways of thinking and of relating to others that are central to social values. How do we develop the commitment to social equity? How do stories develop ideas of altruism, of prejudice, of pathos, and more in their audience? What role does culture play in developing the moral imagination required to think through social crises? Each class will explore one or more interrelated topics through a variety of cultural and philosophical works. Readings might include works by Melville, Shakespeare, Kafka, Glaspell, Morrison, Capote, Garcia Marquez, and others. Topics might include: formalism; the paradoxes of equity; narrative, storytelling, and framing; custom, law and the political order; law, society, and power; interpretation, authority, and legitimacy; punishment, retribution, and redemption; and others. This course will provide an opportunity to think about the law and ethics in a new way, to read engaging works of fiction and non-fiction, and to examine the humanistic and philosophical perspectives that are at the core of the ethical imagination.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 470","The Modern Novel","Major novels of Joyce, Proust, Kafka, Thomas Mann, Nabokov, and others; their contributions to the art of the novel.CMLIT 470The Modern Novel (3) (IL) (BA) This course meets the Bachelor of Arts degree requirements.This course focuses on the modern novel in a comparative and transnational perspective. It explores the basic connections between the modern period and the novel as a form, noting the rise to prominence of the novel in the modern period, and focuses on several important examples of the genre. Some versions of this course may adopt specific organizing themes, such as the novel and the city, the novel and war, the novel and love, and so on. Other versions may focus on the historical development of the novel over time or on crucial interpretive or narratological issues, including the problems of character, time, or point of view; still others may concentrate on major sub-genres of the modern novel, including realism, magic realism, modernism, and postmodernism.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 471","Poetry and Poetics","Theoretical and practical concepts in the comparative, global history of poetry and/or poetics.CMLIT 471Poetry and Poetics (3) (IL)This course explores theoretical and practical concepts in the history of poetry and/or poetics. Like all comparative literature courses, it pursues this task through discussions of poetry from a wide variety of national or linguistic origins and ranges widely across historical period, medium, and social form, where appropriate. Students will develop a broad array of interpretive skills appropriate to poetry and poetics; they will acquire a knowledge of a wide variety of poetic forms; they will undertake comparative analyses of poems and poetic structures; they will learn how to think about poetics outside poetry.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 486","Tragedy","Development of tragic drama and its relationship to social background and philosophical theory.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 489","Contemporary World Fiction","A survey of developments in contemporary world fiction in translation.CMLIT 489Contemporary World Fiction (3) (IL) The purpose of this course is to expose students to the developments in world fiction in the last 50 years and to expose them to a range of authors from a number of countries. This course, then, also involves getting to know the novel-writing histories of those countries and in many cases, the recent histories of those countries (for example, in novels like Rushdie's Midnight's Children or Garcia Marquez's Hundred Years of Solitude). The class will approach these fictions from a variety of thematic, historical, and/or generic vantages. Authors under consideration will vary from class to class, but may include writers such as Pamuk, Grass, Murakami, and Marquez. Time allotted for the study of the works under consideration will vary.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 490","Video Game Lit Studies","A comparative look at the nature and history of video games as cultural artifacts, from Pond to online role-playing. This course meets the Bachelor of Arts degree requirements. The video game industry is larger than the film industry, and yet the academic study of video games has only just begun. This course is a comparative introduction to the nature and history of video games as cultural artifacts, from Pong to online role-playing. It introduces students to academic discussion on and creative work in new digital forms including hypertexts, video games, cell phone novels, machinima, and more. Studentswill learn basic narrative theory, and study its impact on game studies and game production. They will survey major debates over the meaning and value of video games, and review its history from Pong to contemporary games, including online world-based games. The course extends students' skills in literary interpretation to a variety of new objects, and makes them aware of the role medium plays in aesthetic development and production. Students will leave with a far sharper understanding of how the interpretivetools used in the humanities can be extended to include new media, and with a sense of the historical role video games have played and will continue to play in global cultural production.","3 Credits"
"Comparative Literature (CMLIT)","CMLIT 491","Literary Adaptation: International and Comparative Perspectives","A comparative, international study of adapations between literature and other media (film, theater, photography, music).CMLIT 491Literary Adaptations: International and Comparative Perspectives (3 per semester/maximum of 6) (IL) (BA) This course meets the Bachelor of Arts degree requirements.From the very first expressions of literary impulses in prehistoric times, and continuing through the present, literary material has been re-used and creatively recycled through processes of adaptation and appropriation, often involving translations not only between languages, but also between media. This course uses a global perspective to explore the processes and aesthetics of adaptations of literary works, including adaptations into other genres or media, such as the visual arts, a film, opera, stage play (or vice versa adaptations from other media into literature). Drawing upon a broadly international selection of materials, we will explore multiple discourses surrounding adaptation; address the importance of translation and the dynamics between languages, audiences, and texts; study how adaptations address common themes such as race, class, gender, and sexual orientation; discuss international taxonomies of literary genres; and critically assess different cultural notions of authorship, intellectual property, and communal vs. individual ownership. From year to year the works and authors studied in this course may change. Course objectives include (1) to encourage students to think critically about adaptations within and between cultures and media, in different parts of the world (2) to critically evaluate several of the often conflicting analytical paradigms which characterize the study of literary adaptations; (3) to assess varied approaches to genre in adapted works in different cultural settings; (4) to understand different perspectives on the concept of the author, such as the literary author and the 'author' in theatre studies; (5) to question assumptions about the world, re-examine personal points of view, and understand an expanded international range of ethical and value systems as expressed in literature. For methods of student evaluation, see the syllabus for each section; options include class presentations, response papers, research projects, and exams. This course may form part of the Comparative Literature major, the World Literature minor, and other majors.","3 Credits/Maximum of 3"
"Comparative Literature (CMLIT)","CMLIT 494","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.","1-12 Credits/Maximum of 12"
"Comparative Literature (CMLIT)","CMLIT 494H","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.","1-12 Credits/Maximum of 12"
"Comparative Literature (CMLIT)","CMLIT 496","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Comparative Literature (CMLIT)","CMLIT 497","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Comparative Literature (CMLIT)","CMLIT 499","Foreign Study--Comparative Literature","Advanced courses offered on comparative literary topics as part of a foreign-study program.","3-6 Credits/Maximum of 6"
"Computational Materials (CMPMT)","CMPMT 419","Computational Materials Science and Engineering","Introduction to computational material science and engineering. Overview of the computational methods for materials, from atomistic to the continuum scale.MATSE 419Computational Materials Science and Engineering (3) Modeling is a critically important tool in the field of materials. This course is designed to inform students about all areas of materials modeling, and to explore the use of modeling in different research areas. This is a hands-on undergraduate level course, mandatory for all MATSE students, covering current methods for modeling soft and hard matter, at the atomistic, meso and continuum scale levels. It consists of an overview of individual techniques of modeling from atomistic molecular dynamics and Monte Carlo, coarse-grained molecular dynamics, and multiscale modeling, to the continuum (e.g. SAFT, CALPHAD). It also includes a computer laboratory component with hands-on exercises. At the conclusion of the course, students will understand the physical basis and basic procedures of each technique. Students will be able to understand the general literature in modeling and its connection with experimental work, as well as to communicate with experts in the field. From the laboratory practices, they will learn how the individual modeling techniques contribute to knowledge in each area, and to interconnect them with experimental information.","3 Credits"
"Computer Engineering (CMPEH)","CMPEH 472","Microprocessors","This course is designed to provide students with strong foundation in microprocessor programming and hardware interfacing both in the classroom and laboratory settings. This course is a required course in the Electrical Engineering BS curriculum and is intended to be taken by students who have completed their digital systems and first electronics course requirements. As such, the course integrates materials from the above undergraduate electrical courses in addition to related math, engineering, and science courses.","4 Credits"
"Computer Engineering (CMPEN)","CMPEN 111","Computers and Computer Hardware","A brief orientation to University life and resources and an introduction to computers and computer hardware.  CMPEN 111S Computers and Computer Hardware (1)This course contains two components: an orientation to University life and an introduction to the hardware aspects of computer engineering. In the orientation to University life, students learn about the responsibilities of and expectations on a student including ethical behavior, and explore some of the academic and non-academic resources of the University. In the introduction to computer engineering students learn about some of the fundamental concepts, devices, and methodologies that are involved in the design and use of digital and computer hardware. This exploration begins with a foundation of logic and critical thinking. Logic is examined first from a theoretical problem solving standpoint. The discussion then progresses to an implementation perspective examining how logic devices are created and used. Included is a look at some CAD tools and some logic design laboratory exercises. Using logic as a basic building block, the organization and design of a computer is then examined, ending in an exploration of some of the contemporary methods used to make computers faster and more efficient.","1 Credits"
"Computer Engineering (CMPEN)","CMPEN 270","Digital Design: Theory and Practice","Introduction to digital systems and their design.  Topics include combinational and sequential devices and circuits, modern design tools and design practices. Students may take only one course for credit forCMPEN 270orCMPEN 271andCMPEN 270orCMPEN 275.CMPEN 270Digital Design: Theory and Practice (4)CMPEN 270is a first course in digital systems and digital system's design. It lays the groundwork for many later courses in computer organization and architecture and switching theory. The course includes both a lecture component to introduce important concepts, principles, methodologies and theories and a laboratory component in which the lecture material can be applied and practiced. The course introduces the theoretical foundation for digital systems including number systems, a variety of commonly used codes and Boolean algebra. Combinational devices, logic gates, and sequential devices, latches and flip-flops are introduced along with design techniques, methods and tools. Design criteria and objectives are considered and design trade-offs are examined. Higher level design elements are also examined such as decoders, multiplexers, counters, and registers, and their use in system design. Students are exposed to a variety of design tools and implementation techniques, including schematic capture tools, simulation tools, Hardware Description Languages (HDL) and HDL design tools. Laboratory work includes the design, construction and debugging of a variety of digital circuits, and the use of standard laboratory tools such as the oscilloscope and logic analyzer, and various software design tools.","4 Credits"
"Computer Engineering (CMPEN)","CMPEN 271","Introduction to Digital Systems","Introduction to logic design and digital systems. Boolean algebra, and introduction to combinatorial and sequential circuit design and analysis. Students may take only one course for credit forCMPEN 270or271.  CMPEN 271CMPEN 271 Introduction to Digital Systems (3)This course introduces students to logic design and digital systems. The course begins with an overview of number systems, base conversions, and binary arithmetic. Boolean algebra is presented and several basic theorems and postulates are introduced. Boolean algebra is then used to model digital devices. Canonical forms for expressing Boolean functions are introduced including sum-of-products and product-of-sum forms.Basic Small Scale Integrated (SSI) combinational devices are introduced along with a description of their operations characterization, and use. The basic symbols used in a logic diagram/schematic are introduced and the principles involved in reading and creating logic diagrams/schematics are discussed.A systematic design methodology for combinational circuits is covered, including the concepts of function minimization using Karnaugh maps, handling don't care conditions, and designing multiple output circuits. Medium Scale Integrated (MSI) combinational devices and functions such as multiplexors and decoders are discussed and their use in a variety of applications is explained. Simple programmable logic devices and their use in implementing combinational functions is covered. The process of combinational circuit analysis is discussed and the use and interpretation of timing diagrams is introduced. Binary arithmetic is reviewed along with binary addition and subtraction circuits. Various negative number codes are discussed including 2's complement, l's complement and sign-magnitude representation.The concept of state and memory is introduced along with various sequential devices including the R-S latch, the D latch and the D, T, and J-K flip-flops. Timing considerations such as set-up and hold times for sequential devices is discussed along with various flip-flop triggering methods. The basic model for a sequential circuit/finite state machine is introduced. A systematic design methodology for creating synchronous sequential circuits is covered including state table/diagram creation, state reduction, state assignment, and circuit implementation. The process of sequential circuit analysis is also described.Special sequential devices and circuits are introduced including counters and registers. Their use in various applications is highlighted. The course ends with a discussion of memory devices including RAM's and ROM'S.Throughout the course, students use a schematic capture and design simulation CAD tool to model and test a variety of circuits.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 275","Digital Design Laboratory","Introduction to digital design techniques. Students may take only one course for credit forCMPEN 270or275.","1 Credits"
"Computer Engineering (CMPEN)","CMPEN 296","Independent Studies","Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Computer Engineering (CMPEN)","CMPEN 297","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Computer Engineering (CMPEN)","CMPEN 299","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Computer Engineering (CMPEN)","CMPEN 331","Computer Organization And Design","INTRODUCTION TO MAJOR COMPONENTS OF A COMPUTER SYSTEM, HOW THEY FUNCTION TOGETHER IN EXECUTING A PROGRAM, HOW THEY ARE DESIGNED.CMPEN 331Computer Organization and Design (3) The goals of the course are to introduce students to the major components of a computer system (the data path, the control path, the memory system, the I/O system), how they function together in executing a program, and how they are designed. The relationships between instruction set design, addressing modes, fetch and execute operations, and their impact on the underlying architecture are presented. Students will develop skills both in assembly language programming and in designing architecture components in a hardware description language (VHDL or verilog).CMPEN 331is a required course for both computer engineering and computer science majors.CMPEN 331requires access to PCs/workstations with commercial hardware description language tools (e.g., Synopsys VSS compiler and simulator) and a modern assembler/debugger (e.g., SPIM MIPS assembler, simulator, and debugger).","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 351","Microprocessors","Microprocessor architecture; memory system design; assembly language programming; interrupts; the stacks and subroutines; memory and I/O inter- facing; serial I/O and data communications; microprocessors applications.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 352W","Embedded Systems Design","Design/development of embedded systems for data acquisition, process control, and special-purpose computing systems; peripheral interfacing, serial/parallel communications and bus systems.CMPEN 352WMicroprocessor-based System Design (3) In this course students learn how to design application specific embedded systems. Embedded systems are increasingly important as they are used in industrial applications, personal computing, and consumer products. Embedded systems are based on microprocessors and microcomputers, but are not intended to be general-purpose computers. In the laboratory students will design, implement, and validate application specific embedded systems. Being a writing-across-curriculum course, students will learn effective techniques of reporting their technical designs.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 362","Communication Networks","Data transmission, encoding, link control techniques; communication network architecture, design; computer communication system architecture, protocols.  CMPEN 362CMPEN (E E) 362 Communication Networks (3)CMPEN (E E) 362 is an elective course in both the electrical and computer engineering curricula which provides an overview of the broad field of data and computer communications. First, a general model of the communication task is presented, including the layered concept by which each layer provides services for the layer above. First, the lowest (physical) layer is studied. This involves signal design, Fourier analysis representations, bandwidth concepts, transmission impairments and communication media properties. Then the next higher (link) layer is considered which involves organizing bits into frames, data link and error control methods (including frame sequence numbering and error detection principles). Multiplexing to share a link is studied, including frequency division multiplexing, dedicated time division multiplexing, and statistical time multiplexing.At the network layer level, there are two categories: broadcast (usually local area) and switching networks. Broadcast and local area network studies include bus, tree and star topologies, Ethernet, optical fiber bus networks, ring networks, and medium access control protocols.Switching and routing concepts for networks are explained, including both circuit and packet switching, datagrams and virtual circuits. Properties of frame relay and asynchronous transfer mode (ATM) networks are described. Internetworking frame structures, routing and protocols are studied. Also, bridge routing for local networks is described.At the still higher transport (network end-to-end control) layer, transport protocols, including TCP/EP, are described.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 371","Advanced Digital Design","Theory, design, and implementation of digital circuits based on combinational and sequential circuits; implementation of designs using hardware description language.CMPEN 371Advanced Digital Design (3) Students will learn advanced concepts in digital design for complex combinational and sequential logic, and learn how to effectively use minimization and synthesis techniques. Contemporary CAD tools and target digital technologies including Field Programmable Gate Arrays (FPGAs) are utilized. The use of a hardware-description language for digital design is introduced. In the laboratory portion, students will implement, simulate, and test designs.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 395","Internship","Supervised off-campus, nongroup instruction including field experiences, practica, or internships.  Written and oral critique of activity required.","1-18 Credits/Maximum of 18"
"Computer Engineering (CMPEN)","CMPEN 396","Independent Studies","Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Computer Engineering (CMPEN)","CMPEN 396A","Current Technologies in Computer Engineering","Investigation of a current technology relevant to computer engineering.","1-6 Credits"
"Computer Engineering (CMPEN)","CMPEN 397","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Computer Engineering (CMPEN)","CMPEN 399","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Computer Engineering (CMPEN)","CMPEN 411","VLSI Digital Circuits","Basic building blocks of CMOS design, design rules, chip planning, layout design, system power and timing, simulation of VLSI structures.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 415","Computing with Commercial Quantum Computers","This course will introduce practical quantum computing using commercially available noisy quantum computers. The complex relationships among quantum computing, mathematics, physics and computer science and engineering will be conveyed to the students through activities, lab assignments, and class projects. The course is designed for upper-level undergraduate students and graduate students majoring in science or engineering. Although a basic understanding of quantum science and engineering provides important background for the field of quantum computing, this course does not focus on quantum physics. Rather it will focus on the software side of things which only needs logical understanding of quantum bits (qubits) and not the physical implementation. Hence this course is meant for students to contribute to quantum computing without getting into the complexity of quantum mechanics. Upon completing the course, the students are expected to understand the quantum computing taxonomy at the introductory level with simple worked out examples using superconducting qubits. They will also learn techniques to program a real quantum computer to solve combinatorial problems.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 416","Digital Integrated Circuits","Analyses and design of digital integrated circuit building blocks, including logic gates, flip-flops, memory elements, analog switches, multiplexers, and converters.  CMPEN 416CMPEN 416 Digital Integrated Circuits (3)CMPEN 416is a technical elective available to electrical and computer engineering students. It is intended for students who wish to specialize in the field of digital circuits. This course introduces the basic concepts involved in the design of digital circuits, which find practical application as logic and memory circuits in computers and other digital processing systems. The course emphasizes integrated circuit process-compatible circuit design techniques in recognition of the amazing synergy that has characterized the relationship between computer circuits and integrated circuit processing technology. This course includes three lectures and a two-hour laboratory each week. The only prerequisite is E E 310, a basic circuits course required for both electrical engineering and computer engineering students.CMPEN 416begins with a review of the bipolar junction transistor (BJT) device and proceeds into the more advanced Ebers-Moll device model. This is followed by an examination of a series of BJT-based saturating and non-saturating digital circuits of ever increasing complexity illustrating the evolution of the modern bipolar logic circuit families. The next phase of the course reviews the metal oxide semiconductor field effect transistor (MOSFET) and proceeds along the same path taken for the bipolar transistor circuits. Various MOSFET logic circuit families are introduced and analyzed. Computer semiconductor memory circuits are considered next. Both BJT and MOSFET versions of both static and dynamic read-write and read-only memories are considered. The cell array, memory addressing circuits, and sense amplifier designs are all examined in detail. This is followed by the related subject of programmable logic arrays, the final topic.The emphasis of the laboratory component of the course is to compare the performance of representatives of each class of circuits to computer simulations of the same circuits. Parameters such as input-output voltage transfer characteristics, noise margins, and propagation delays are evaluated by building and measuring laboratory models. Most of the laboratory exercises require the student to evaluate a specified circuit, but the final exercise requires the student to design a circuit to meet a predefined set of specifications, then to prove that the design meets the requirements by measuring the circuit performance. Students are required to write a formal engineering report detailing the results of each laboratory exercise.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 417","Digital Design Using Field Programmable Devices","Field programmable device architectures and technologies; rapid prototyping using top down design techniques; quick response systems.  CMPEN 417CMPEN (E E) 417 Digital Design Using Field Programmable Devices (3)Field Programmable Devices, such as Field Programmable Gate Arrays (FPGAs) and Complex Programmable Logic Devices (CPLDs) are widely used for rapid prototyping and quick response-time designs. The objective of this course is to introduce the student to digital design using Field Programmable ICs, and to provide an understanding of the underlying technologies and architectures of these Integrated Circuits.The course begins by introducing design alternatives for modern electronic systems identifying and classifying alternative system solutions, and evaluating when particular design solutions are optimal. These alternatives include microprocessors, microcontrollers, off-the-shelf digital ICs, Programmable logic ICs (FPGAs and CPLDs), and various forms of Application Specific Integrated Circuit (ASIC) designs. A homework assignment requires the student to quantitatively evaluate the cost, complexity, packaging, and time-to-market issues for a complex system design specification.Next, the underlying Field Programmable Logic IC architectures and technologies are studied in detail. Following a broad survey of available programmable IC vendors and on-chip programming technologies (and their cost/performance trade-offs), several specific case studies are presented in the class. The first is the Xilinx XC4000xl line, because of the target boards used in the CAD laboratory component for this class. The initial lab portions of the class help the students to specify their design using various forms of design entry tools and also allows them to see how their design map on to the underlying FPGA architecture. The students also learn the underlying algorithms used by the design software they use in their Labs.Next, the systematic top-down method for specifying complex designs using VHDL is introduced. Students are given a supporting homework assignment to develop high-level behavioral models for a simple digital system to reinforce this segment of the course. VHDL behavioral synthesis is now introduced as a preferred path to go from high-level system behavior to actual implementation on the FPGA. The strengths and weaknesses of synthesis are discussed, as are the emerging CAD tool trends. Additional VHDI-based homework assignments reinforce behavioral design and synthesis using commercial CAD tools.The final segment of the class covers special topics that identify current trends in digital system architecture and programmable logic design. These include such topics as partially reconfigurable architectures and dynamic reconfiguration techniques, system design for testability, and field programmable analog arrays. Applications of FPGAs in special purpose computing environments such as signal processing, Java acceleration and image processing are also introduced. In the laboratory, student design project assignments explore larger and more complete system specifications of such things as controllers, CPU and memory design, and signal processing blocks. These assignments reinforce the lecture content as the students model, synthesize and implement their digital designs on the target Xilinx FPGA boards.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 431","Introduction to Computer Architecture","Introduction to computer architecture. Memory hierarchy and design, CPU design, pipelining, multiprocessor architecture.CMPEN 431Introduction to Computer Architecture (3) This course will introduce students to the architecture-level design issues of a computer system. They will apply their knowledge of digital logic design to explore the high-level interaction of the individual computer system hardware components. Concepts of sequential and parallel architecture including the interaction of different memory components, their layout and placement, communication among multiple processors, effects of pipelining, and performance issues, will be covered. Students will apply these concepts by studying and evaluating the merits and demerits of selected computer system architectures.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 441","Operating Systems","Resource management in computer systems. Process scheduling, memory management, file system design, I/O management, Unix operating system.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 454","Fundamentals of Computer Vision","Introduction to topics such as image formation, segmentation, feature extraction, matching, shape recovery, object recognition, and dynamic scene analysis.  CMPEN 454CMPEN 454 Fundamentals of Computer Vision (3)CMPEN 454is an introduction to computer vision. The goal of computer vision is to make computers understand and interpret visual information. Computer vision systems bring together imaging devices, computers, and sophisticated algorithms for solving problems in areas such as industrial inspection, medicine, document analysis, autonomous navigation, and remote sensing. The course involves both pedagogical written assignments and computer projects.The beginning of the course gives an overview of computer vision and introduces low level image analysis techniques for binary images. Binary vision systems are useful when the silhouette of imaged objects convey enough information to recognize them. Examples can be found in optical character recognition, chromosome analysis and recognition of industrial parts. Moreover, many techniques developed for binary systems can be applied to gray level or color images. Next, the course covers image segmentation and contours. These topics are the foundation of most computer vision techniques. For an image to be correctly interpreted, it must be partitioned into regions that correspond to distinct objects or parts of objects. First, region based techniques such as thresholding, split and merge, region growing and texture analysis are introduced. Next, edge based techniques using gradient and Laplacian operators are discussed. Finally, contour representations and curve approximations linking edges into region boundaries are studied.Next, depth from vision, with emphasis in stereo vision, is considered. Calculating distances to and among various points in the scene is important in many computer vision tasks such as inspection, robot manipulation, and autonomous navigation. In this part of the course the geometry of stereo systems and how to obtain depth maps from stereo image pairs is studied. Also, alternative 3D imaging sensors such as laser based range finders and radars are discussed.Following stereo, the topic of computer vision is broaden to understand sequences of images over time. In this section techniques using information on spatial and temporal changes are used to design computer vision systems capable of coping with moving and changing objects, changing illumination and changing viewpoints. Visual motion is important primarily for two reasons. First, motion is a very important cue to understand the scene structure. Second, biological systems do use motion to infer properties of the surrounding world with very little a priori knowledge.Finally, the topic of 3D object recognition is discussed. Object recognition entails two main issues: object identification and object localization. Identification determines the objects being imaged while localization determines their position in the world and with respect to the sensors. This topic builds upon all the different techniques discussed until this point.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 455","An Introduction to Digital Image Processing","Overview of digital image processing techniques and their applications; image sampling, enhancement, restoration, and analysis; computer projects.  E E (CMPEN) 455 An Introduction to Digital Image Processing (3) E E/CMPEN 455, a technical elective available to both electrical and computer engineering seniors and graduate students, discusses many current techniques for processing and manipulating digital images. The course involves both pedagogical written assignments and computer projects.The beginning of the course gives an overview of digital image processing systems and digital image fundamentals. During this unit, important elements of human visual perception are reviewed; these ideas help motivate many of the computer-based techniques described in subsequent units. Also, the standard model for a digital image, in addition to the concepts of sampling and quantization, are described. Finally, basic topological concepts between digital image pixel are discussed.The next unit considers image transform analysis, with a primary focus on Fourier-based techniques. The one-dimensional Fourier transform is reviewed, and then two-dimensional Fourier transform analysis is discussed. To bridge the gap from the continuous world to the digital world, the sampling theorem is introduced. Next, the Discrete Fourier Transform and its properties are described. Fourier-based filtering techniques, such as the ideal low-pass and Butterworth filters are then introduced. The Fast Fourier Transform is also discussed. Finally, the Discrete Cosine Transform, used later in JPEG and MPEG, is introduced.The next unit discusses techniques for image enhancement and segmentation. These techniques include point-based techniques based on histogram analysis. They also involve linear and nonlinear mask-based methods for noise reduction and region sharpening. Further, techniques of mathematical morphology, which involve an application of set-theoretic concepts to image processing, are described. Finally, image segmentation methods, based on edge detection and thresholding, are described.The final unit considers the concept of image compression. Techniques for image encoding and decoding are discussed. A brief model of the encoding-decoding process is described. Next, compression techniques, such as run-length encoding and Huffman coding, are described. Finally, the multimedia image-compression methodologies, JPEG and MPEG, are discussed.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 461","Communication Networks","Data transmission, encoding, link control techniques, network architecture, design, protocols, and multiple access.CMPEN 461Communication Networks (3) This course introduces students to fundamental concepts and principles underlying data communication networks, with an emphasis on the Internet and its five-layer architecture: the application, transport, network, link, and physical layers. The fundamental issues to be covered include, but not limited to, reliable communication over an unreliable network layer, connection establishment/teardown and handshaking, congestion and flow control, path determination, multiple access control. The student learning these principles will gain knowledge that lasts long after today's network standards and protocols have become obsolete.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 462","Wireless Communications Systems and Security","This course explores the fundamental concepts and engineering processes of wireless communication systems, sensors, and security algorithms through the design, implementation, and evaluation of next generation wireless network architectures, and network and cryptographic protocols. This course is intended as a senior level course for computational majors such as computer science and computer engineering since it covers hardware and software design concepts associated with wireless access, data transmission, and computational security, security models, and privacy in a broad range of settings. The first part of the course studies programmatic, computational, and engineering issues associated with wireless systems and sensors at the physical protocol layer. Hardware, software, and engineering design considerations associated with MIMO, low latency, high reliability, and high data rate constraints will be analyzed. The next part of this course will introduce virtual machines, function virtualization, and network-slicing for constraint matching, resource scheduling, and mobility management at the data link and network protocol layers. The final component of the course focuses on the security and privacy for wireless systems and sensors including models and algorithms. The design and implementation of cryptographic algorithms for cellular, Wi-Fi, Bluetooth, Zigbee, and next generation systems including Device to Device (D2D), Vehicle to Vehicle (V2V),and Machine Type Communications (MTC) are studied and analyzed. Upon completion of the course students will be able to critically analyze the design, implementation, and protocols associated with wireless systems and sensors and assess the computational security and privacy vulnerabilities associated with these systems.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 472","Microprocessors and Embedded Systems","Microprocessors: architecture, design, assembly language, programming, interfacing, bus structure, and interface circuits and their use in embedded systems.CMPEN 472Microprocessors and Embedded Systems (3) In this course students should learn about the operation and design of microprocessor-based systems, including both hardware and software aspects with an emphasis on real time control environments and embedded systems. After completing the course, students should be able to develop, write and debug programs in a microprocessor's assembly language and use standard assembly language program development tools. They should also be able to interpret and analyze basic microprocessor system hardware.This course is a senior level elective for students in computer engineering and computer science.The course requires the use of general department computing facilities consisting of UNIX workstations running the appropriate program development tools.","3 Credits"
"Computer Engineering (CMPEN)","CMPEN 473","Microcomputer Laboratory","Design of digital systems using microprocessors.CMPEN 473Microcomputer Laboratory (3) This laboratory course provides senior students with both theory and practice in designing, implementing, and debugging microprocessor-based systems. Students are guided through a series of projects in which they design, develop, and implement all of the components in a microprocessor based single-board system. After completing the course students will be able to design microprocessor based systems, including both software and hardware design. Students will also be able to use standard system design tools including standard laboratory equipment.This course is a senior level elective for computer engineering majors.CMPEN 472is a prerequisite for this course.The course requires the use of a design laboratory including standard test equipment such as an oscilloscope, logic analyzer and signal generator as well as a PC with appropriate design software and a microprocessor or EPROM emulation system.","3 Credits"
